"clusterID_seq","window_type","watershed","year","window_length","catchment_km2","riparian_area_m2","TO","p_window","f_window","beav_count_all","beav_count_conf","anthro_count","isAnthro","Nhat","time_period","SWA","t"
1,"dammed","BRZ",2023,250,288.19574,4678.31709426455,43.9122949695384,0.893038966587862,0.0228792980648998,1,0,0,0,1.1459914466369,"SWA_t1",4557.65367015296,"1"
1,"dammed","BRZ",2023,250,288.19574,4678.31709426455,43.9122949695384,0.893038966587862,0.0228792980648998,1,0,0,0,1.1459914466369,"SWA_t2",3945.76018457343,"2"
1,"dammed","BRZ",2023,250,288.19574,4678.31709426455,43.9122949695384,0.893038966587862,0.0228792980648998,1,0,0,0,1.1459914466369,"SWA_t3",2079.89134578962,"3"
1,"dammed","BRZ",2023,250,288.19574,4678.31709426455,43.9122949695384,0.893038966587862,0.0228792980648998,1,0,0,0,1.1459914466369,"SWA_t4",1535.13315183626,"4"
1,"dammed","BRZ",2023,250,288.19574,4678.31709426455,43.9122949695384,0.893038966587862,0.0228792980648998,1,0,0,0,1.1459914466369,"SWA_t5",NA,"5"
1,"dammed","BRZ",2023,250,288.19574,4678.31709426455,43.9122949695384,0.893038966587862,0.0228792980648998,1,0,0,0,1.1459914466369,"SWA_t6",371.520441945394,"6"
1,"dammed","BRZ",2023,250,288.19574,4678.31709426455,43.9122949695384,0.893038966587862,0.0228792980648998,1,0,0,0,1.1459914466369,"SWA_t7",150.013685173381,"7"
1,"dammed","BRZ",2023,250,288.19574,4678.31709426455,43.9122949695384,0.893038966587862,0.0228792980648998,1,0,0,0,1.1459914466369,"SWA_t8",253.435656590555,"8"
1,"undammed","BRZ",2023,250,288.19574,5942.08397926763,42.5459042150794,0.896395909145992,0.0214907566472916,0,0,0,0,0,"SWA_t1",5935.68909284017,"1"
1,"undammed","BRZ",2023,250,288.19574,5942.08397926763,42.5459042150794,0.896395909145992,0.0214907566472916,0,0,0,0,0,"SWA_t2",5041.8957406397,"2"
1,"undammed","BRZ",2023,250,288.19574,5942.08397926763,42.5459042150794,0.896395909145992,0.0214907566472916,0,0,0,0,0,"SWA_t3",4374.72227009465,"3"
1,"undammed","BRZ",2023,250,288.19574,5942.08397926763,42.5459042150794,0.896395909145992,0.0214907566472916,0,0,0,0,0,"SWA_t4",2798.06187543939,"4"
1,"undammed","BRZ",2023,250,288.19574,5942.08397926763,42.5459042150794,0.896395909145992,0.0214907566472916,0,0,0,0,0,"SWA_t5",1648.7732089218,"5"
1,"undammed","BRZ",2023,250,288.19574,5942.08397926763,42.5459042150794,0.896395909145992,0.0214907566472916,0,0,0,0,0,"SWA_t6",1705.23944076393,"6"
1,"undammed","BRZ",2023,250,288.19574,5942.08397926763,42.5459042150794,0.896395909145992,0.0214907566472916,0,0,0,0,0,"SWA_t7",1760.651118106,"7"
1,"undammed","BRZ",2023,250,288.19574,5942.08397926763,42.5459042150794,0.896395909145992,0.0214907566472916,0,0,0,0,0,"SWA_t8",1300.43156796016,"8"
4,"dammed","BRZ",2023,250,288.17282,5463.9466358088,36.2669894213994,0.906769946431061,0.0216325490689846,1,0,0,0,1.12719975714843,"SWA_t1",2090.76287331534,"1"
4,"dammed","BRZ",2023,250,288.17282,5463.9466358088,36.2669894213994,0.906769946431061,0.0216325490689846,1,0,0,0,1.12719975714843,"SWA_t2",26.0997560085035,"2"
4,"dammed","BRZ",2023,250,288.17282,5463.9466358088,36.2669894213994,0.906769946431061,0.0216325490689846,1,0,0,0,1.12719975714843,"SWA_t3",18.0527595819211,"3"
4,"dammed","BRZ",2023,250,288.17282,5463.9466358088,36.2669894213994,0.906769946431061,0.0216325490689846,1,0,0,0,1.12719975714843,"SWA_t4",0,"4"
4,"dammed","BRZ",2023,250,288.17282,5463.9466358088,36.2669894213994,0.906769946431061,0.0216325490689846,1,0,0,0,1.12719975714843,"SWA_t5",0,"5"
4,"dammed","BRZ",2023,250,288.17282,5463.9466358088,36.2669894213994,0.906769946431061,0.0216325490689846,1,0,0,0,1.12719975714843,"SWA_t6",12.3054666002591,"6"
4,"dammed","BRZ",2023,250,288.17282,5463.9466358088,36.2669894213994,0.906769946431061,0.0216325490689846,1,0,0,0,1.12719975714843,"SWA_t7",0,"7"
4,"dammed","BRZ",2023,250,288.17282,5463.9466358088,36.2669894213994,0.906769946431061,0.0216325490689846,1,0,0,0,1.12719975714843,"SWA_t8",0,"8"
4,"undammed","BRZ",2023,250,288.19574,4543.4385534972,34.4707027929274,0.889444907935475,0.0226380402686542,0,0,0,0,0,"SWA_t1",3581.97643211215,"1"
4,"undammed","BRZ",2023,250,288.19574,4543.4385534972,34.4707027929274,0.889444907935475,0.0226380402686542,0,0,0,0,0,"SWA_t2",669.739055729146,"2"
4,"undammed","BRZ",2023,250,288.19574,4543.4385534972,34.4707027929274,0.889444907935475,0.0226380402686542,0,0,0,0,0,"SWA_t3",419.876655914737,"3"
4,"undammed","BRZ",2023,250,288.19574,4543.4385534972,34.4707027929274,0.889444907935475,0.0226380402686542,0,0,0,0,0,"SWA_t4",0,"4"
4,"undammed","BRZ",2023,250,288.19574,4543.4385534972,34.4707027929274,0.889444907935475,0.0226380402686542,0,0,0,0,0,"SWA_t5",NA,"5"
4,"undammed","BRZ",2023,250,288.19574,4543.4385534972,34.4707027929274,0.889444907935475,0.0226380402686542,0,0,0,0,0,"SWA_t6",0,"6"
4,"undammed","BRZ",2023,250,288.19574,4543.4385534972,34.4707027929274,0.889444907935475,0.0226380402686542,0,0,0,0,0,"SWA_t7",0,"7"
4,"undammed","BRZ",2023,250,288.19574,4543.4385534972,34.4707027929274,0.889444907935475,0.0226380402686542,0,0,0,0,0,"SWA_t8",0,"8"
7,"dammed","BRZ",2023,470,197.18625,28958.9234607406,41.3557978296235,0.906547779159772,0.0271717038445246,4,0,0,0,4.53558279083875,"SWA_t1",3819.79021952082,"1"
7,"dammed","BRZ",2023,470,197.18625,28958.9234607406,41.3557978296235,0.906547779159772,0.0271717038445246,4,0,0,0,4.53558279083875,"SWA_t2",2632.13363684018,"2"
7,"dammed","BRZ",2023,470,197.18625,28958.9234607406,41.3557978296235,0.906547779159772,0.0271717038445246,4,0,0,0,4.53558279083875,"SWA_t3",1991.97993309311,"3"
7,"dammed","BRZ",2023,470,197.18625,28958.9234607406,41.3557978296235,0.906547779159772,0.0271717038445246,4,0,0,0,4.53558279083875,"SWA_t4",586.258691369552,"4"
7,"dammed","BRZ",2023,470,197.18625,28958.9234607406,41.3557978296235,0.906547779159772,0.0271717038445246,4,0,0,0,4.53558279083875,"SWA_t5",NA,"5"
7,"dammed","BRZ",2023,470,197.18625,28958.9234607406,41.3557978296235,0.906547779159772,0.0271717038445246,4,0,0,0,4.53558279083875,"SWA_t6",149.313057041168,"6"
7,"dammed","BRZ",2023,470,197.18625,28958.9234607406,41.3557978296235,0.906547779159772,0.0271717038445246,4,0,0,0,4.53558279083875,"SWA_t7",88.0762817336064,"7"
7,"dammed","BRZ",2023,470,197.18625,28958.9234607406,41.3557978296235,0.906547779159772,0.0271717038445246,4,0,0,0,4.53558279083875,"SWA_t8",0,"8"
7,"undammed","BRZ",2023,470,198.69354,14614.4478824474,33.3616084459212,0.876198016358292,0.0250088819248461,0,0,0,0,0,"SWA_t1",2899.58013685918,"1"
7,"undammed","BRZ",2023,470,198.69354,14614.4478824474,33.3616084459212,0.876198016358292,0.0250088819248461,0,0,0,0,0,"SWA_t2",1330.00918710349,"2"
7,"undammed","BRZ",2023,470,198.69354,14614.4478824474,33.3616084459212,0.876198016358292,0.0250088819248461,0,0,0,0,0,"SWA_t3",573.046283223816,"3"
7,"undammed","BRZ",2023,470,198.69354,14614.4478824474,33.3616084459212,0.876198016358292,0.0250088819248461,0,0,0,0,0,"SWA_t4",47.2501080929064,"4"
7,"undammed","BRZ",2023,470,198.69354,14614.4478824474,33.3616084459212,0.876198016358292,0.0250088819248461,0,0,0,0,0,"SWA_t5",NA,"5"
7,"undammed","BRZ",2023,470,198.69354,14614.4478824474,33.3616084459212,0.876198016358292,0.0250088819248461,0,0,0,0,0,"SWA_t6",1.37384725762349,"6"
7,"undammed","BRZ",2023,470,198.69354,14614.4478824474,33.3616084459212,0.876198016358292,0.0250088819248461,0,0,0,0,0,"SWA_t7",0,"7"
7,"undammed","BRZ",2023,470,198.69354,14614.4478824474,33.3616084459212,0.876198016358292,0.0250088819248461,0,0,0,0,0,"SWA_t8",0,"8"
8,"dammed","BRZ",2023,350,186.30527,5406.74312252924,36.3125096165064,0.877523954360643,0.0256407752560685,2,2,0,0,2.33911683125507,"SWA_t1",1337.19449044466,"1"
8,"dammed","BRZ",2023,350,186.30527,5406.74312252924,36.3125096165064,0.877523954360643,0.0256407752560685,2,2,0,0,2.33911683125507,"SWA_t2",715.905741433536,"2"
8,"dammed","BRZ",2023,350,186.30527,5406.74312252924,36.3125096165064,0.877523954360643,0.0256407752560685,2,2,0,0,2.33911683125507,"SWA_t3",730.470976322305,"3"
8,"dammed","BRZ",2023,350,186.30527,5406.74312252924,36.3125096165064,0.877523954360643,0.0256407752560685,2,2,0,0,2.33911683125507,"SWA_t4",485.320307998564,"4"
8,"dammed","BRZ",2023,350,186.30527,5406.74312252924,36.3125096165064,0.877523954360643,0.0256407752560685,2,2,0,0,2.33911683125507,"SWA_t5",NA,"5"
8,"dammed","BRZ",2023,350,186.30527,5406.74312252924,36.3125096165064,0.877523954360643,0.0256407752560685,2,2,0,0,2.33911683125507,"SWA_t6",66.4565444831755,"6"
8,"dammed","BRZ",2023,350,186.30527,5406.74312252924,36.3125096165064,0.877523954360643,0.0256407752560685,2,2,0,0,2.33911683125507,"SWA_t7",427.217382924463,"7"
8,"dammed","BRZ",2023,350,186.30527,5406.74312252924,36.3125096165064,0.877523954360643,0.0256407752560685,2,2,0,0,2.33911683125507,"SWA_t8",237.541571920993,"8"
8,"undammed","BRZ",2023,350,185.86389,4676.34741175175,33.3366160281783,0.854768994028563,0.027471032908995,0,0,0,0,0,"SWA_t1",584.778111544777,"1"
8,"undammed","BRZ",2023,350,185.86389,4676.34741175175,33.3366160281783,0.854768994028563,0.027471032908995,0,0,0,0,0,"SWA_t2",237.042589584519,"2"
8,"undammed","BRZ",2023,350,185.86389,4676.34741175175,33.3366160281783,0.854768994028563,0.027471032908995,0,0,0,0,0,"SWA_t3",237.042589584519,"3"
8,"undammed","BRZ",2023,350,185.86389,4676.34741175175,33.3366160281783,0.854768994028563,0.027471032908995,0,0,0,0,0,"SWA_t4",83.8463748670092,"4"
8,"undammed","BRZ",2023,350,185.86389,4676.34741175175,33.3366160281783,0.854768994028563,0.027471032908995,0,0,0,0,0,"SWA_t5",NA,"5"
8,"undammed","BRZ",2023,350,185.86389,4676.34741175175,33.3366160281783,0.854768994028563,0.027471032908995,0,0,0,0,0,"SWA_t6",0,"6"
8,"undammed","BRZ",2023,350,185.86389,4676.34741175175,33.3366160281783,0.854768994028563,0.027471032908995,0,0,0,0,0,"SWA_t7",0,"7"
8,"undammed","BRZ",2023,350,185.86389,4676.34741175175,33.3366160281783,0.854768994028563,0.027471032908995,0,0,0,0,0,"SWA_t8",0,"8"
14,"dammed","BRZ",2023,960,184.43645,11944.6375576146,32.4480805597392,0.905245776963884,0.0244899379006436,7,4,0,0,7.92683428587118,"SWA_t1",1484.98696896703,"1"
14,"dammed","BRZ",2023,960,184.43645,11944.6375576146,32.4480805597392,0.905245776963884,0.0244899379006436,7,4,0,0,7.92683428587118,"SWA_t2",789.490352753097,"2"
14,"dammed","BRZ",2023,960,184.43645,11944.6375576146,32.4480805597392,0.905245776963884,0.0244899379006436,7,4,0,0,7.92683428587118,"SWA_t3",244.886898607834,"3"
14,"dammed","BRZ",2023,960,184.43645,11944.6375576146,32.4480805597392,0.905245776963884,0.0244899379006436,7,4,0,0,7.92683428587118,"SWA_t4",78.0634315736154,"4"
14,"dammed","BRZ",2023,960,184.43645,11944.6375576146,32.4480805597392,0.905245776963884,0.0244899379006436,7,4,0,0,7.92683428587118,"SWA_t5",NA,"5"
14,"dammed","BRZ",2023,960,184.43645,11944.6375576146,32.4480805597392,0.905245776963884,0.0244899379006436,7,4,0,0,7.92683428587118,"SWA_t6",0,"6"
14,"dammed","BRZ",2023,960,184.43645,11944.6375576146,32.4480805597392,0.905245776963884,0.0244899379006436,7,4,0,0,7.92683428587118,"SWA_t7",0,"7"
14,"dammed","BRZ",2023,960,184.43645,11944.6375576146,32.4480805597392,0.905245776963884,0.0244899379006436,7,4,0,0,7.92683428587118,"SWA_t8",0,"8"
14,"undammed","BRZ",2023,960,184.68866,36687.7203691043,42.3746263974852,0.889408515225622,0.0214791222928592,2,1,0,0,2.29804546383828,"SWA_t1",7914.28557931091,"1"
14,"undammed","BRZ",2023,960,184.68866,36687.7203691043,42.3746263974852,0.889408515225622,0.0214791222928592,2,1,0,0,2.29804546383828,"SWA_t2",6736.13174845214,"2"
14,"undammed","BRZ",2023,960,184.68866,36687.7203691043,42.3746263974852,0.889408515225622,0.0214791222928592,2,1,0,0,2.29804546383828,"SWA_t3",4551.17233541947,"3"
14,"undammed","BRZ",2023,960,184.68866,36687.7203691043,42.3746263974852,0.889408515225622,0.0214791222928592,2,1,0,0,2.29804546383828,"SWA_t4",2746.27651360152,"4"
14,"undammed","BRZ",2023,960,184.68866,36687.7203691043,42.3746263974852,0.889408515225622,0.0214791222928592,2,1,0,0,2.29804546383828,"SWA_t5",NA,"5"
14,"undammed","BRZ",2023,960,184.68866,36687.7203691043,42.3746263974852,0.889408515225622,0.0214791222928592,2,1,0,0,2.29804546383828,"SWA_t6",614.04350220339,"6"
14,"undammed","BRZ",2023,960,184.68866,36687.7203691043,42.3746263974852,0.889408515225622,0.0214791222928592,2,1,0,0,2.29804546383828,"SWA_t7",535.040050220957,"7"
14,"undammed","BRZ",2023,960,184.68866,36687.7203691043,42.3746263974852,0.889408515225622,0.0214791222928592,2,1,0,0,2.29804546383828,"SWA_t8",464.812200179287,"8"
15,"dammed","BRZ",2023,250,178.28409,5460.00078299642,39.5344738388887,0.83640756668524,0.0224688338220066,1,1,0,0,1.22307033932837,"SWA_t1",3465.78690360247,"1"
15,"dammed","BRZ",2023,250,178.28409,5460.00078299642,39.5344738388887,0.83640756668524,0.0224688338220066,1,1,0,0,1.22307033932837,"SWA_t2",1990.28754899829,"2"
15,"dammed","BRZ",2023,250,178.28409,5460.00078299642,39.5344738388887,0.83640756668524,0.0224688338220066,1,1,0,0,1.22307033932837,"SWA_t3",955.185548496013,"3"
15,"dammed","BRZ",2023,250,178.28409,5460.00078299642,39.5344738388887,0.83640756668524,0.0224688338220066,1,1,0,0,1.22307033932837,"SWA_t4",168.809047606646,"4"
15,"dammed","BRZ",2023,250,178.28409,5460.00078299642,39.5344738388887,0.83640756668524,0.0224688338220066,1,1,0,0,1.22307033932837,"SWA_t5",NA,"5"
15,"dammed","BRZ",2023,250,178.28409,5460.00078299642,39.5344738388887,0.83640756668524,0.0224688338220066,1,1,0,0,1.22307033932837,"SWA_t6",0,"6"
15,"dammed","BRZ",2023,250,178.28409,5460.00078299642,39.5344738388887,0.83640756668524,0.0224688338220066,1,1,0,0,1.22307033932837,"SWA_t7",0,"7"
15,"dammed","BRZ",2023,250,178.28409,5460.00078299642,39.5344738388887,0.83640756668524,0.0224688338220066,1,1,0,0,1.22307033932837,"SWA_t8",0,"8"
15,"undammed","BRZ",2023,250,169.53835,3312.59497663379,32.8419803531882,0.851761488368876,0.0277873716771384,0,0,0,0,0,"SWA_t1",1571.93941620378,"1"
15,"undammed","BRZ",2023,250,169.53835,3312.59497663379,32.8419803531882,0.851761488368876,0.0277873716771384,0,0,0,0,0,"SWA_t2",1185.60971987014,"2"
15,"undammed","BRZ",2023,250,169.53835,3312.59497663379,32.8419803531882,0.851761488368876,0.0277873716771384,0,0,0,0,0,"SWA_t3",777.086672741993,"3"
15,"undammed","BRZ",2023,250,169.53835,3312.59497663379,32.8419803531882,0.851761488368876,0.0277873716771384,0,0,0,0,0,"SWA_t4",439.807591763197,"4"
15,"undammed","BRZ",2023,250,169.53835,3312.59497663379,32.8419803531882,0.851761488368876,0.0277873716771384,0,0,0,0,0,"SWA_t5",NA,"5"
15,"undammed","BRZ",2023,250,169.53835,3312.59497663379,32.8419803531882,0.851761488368876,0.0277873716771384,0,0,0,0,0,"SWA_t6",51.487295033885,"6"
15,"undammed","BRZ",2023,250,169.53835,3312.59497663379,32.8419803531882,0.851761488368876,0.0277873716771384,0,0,0,0,0,"SWA_t7",0,"7"
15,"undammed","BRZ",2023,250,169.53835,3312.59497663379,32.8419803531882,0.851761488368876,0.0277873716771384,0,0,0,0,0,"SWA_t8",0,"8"
20,"dammed","BRZ",2023,250,148.63518,4739.02703348547,37.4175006030476,0.870329444876888,0.0203932687169864,1,1,0,0,1.17290965847374,"SWA_t1",998.329157404105,"1"
20,"dammed","BRZ",2023,250,148.63518,4739.02703348547,37.4175006030476,0.870329444876888,0.0203932687169864,1,1,0,0,1.17290965847374,"SWA_t2",1424.94129977764,"2"
20,"dammed","BRZ",2023,250,148.63518,4739.02703348547,37.4175006030476,0.870329444876888,0.0203932687169864,1,1,0,0,1.17290965847374,"SWA_t3",853.184700015246,"3"
20,"dammed","BRZ",2023,250,148.63518,4739.02703348547,37.4175006030476,0.870329444876888,0.0203932687169864,1,1,0,0,1.17290965847374,"SWA_t4",867.179147487061,"4"
20,"dammed","BRZ",2023,250,148.63518,4739.02703348547,37.4175006030476,0.870329444876888,0.0203932687169864,1,1,0,0,1.17290965847374,"SWA_t5",NA,"5"
20,"dammed","BRZ",2023,250,148.63518,4739.02703348547,37.4175006030476,0.870329444876888,0.0203932687169864,1,1,0,0,1.17290965847374,"SWA_t6",346.347084038164,"6"
