"","clusterID_seq","window_type","watershed","year","catchment_km2","TO","riparian_area_m2","riparian_area_m2_0","riparian_area_m2_10","riparian_area_m2_20","riparian_area_m2_30","Nhat","t","surveyPeriod","SWA","VA_0","VA_10","VA_20","VA_30","NDVI_0","NDVI_10","NDVI_20","NDVI_30","dam_km","clusterID_unique","clusterID_num","stream","sampleEvent","year_id","damPresence","sampleEvent_new","logSWA","y","dam_km_std"
"1",1,"dammed","WC",2019,1393.9535,34.229566831107,2678.24690937251,2693.9287201719,7966.729931847,13181.147311997,18197.249468387,1.13187482594399,5,"195",106.65156421451,NA,NA,NA,NA,NA,NA,NA,NA,4.52749930377596,"2019.WC.1",16,6,1,1,1,1,4.67889975426226,1,0.499078550475722
"2",1,"dammed","WC",2019,1393.9535,34.229566831107,2678.24690937251,2693.9287201719,7966.729931847,13181.147311997,18197.249468387,1.13187482594399,6,"196",0,2578.54085301418,7807.89346789192,12937.7375307869,17732.1355174944,0.490155684727378,0.454282022898837,0.40127681256897,0.359481778526919,4.52749930377596,"2019.WC.1",16,6,2,1,1,2,0,0,0.499078550475722
"3",1,"dammed","WC",2019,1393.9535,34.229566831107,2678.24690937251,2693.9287201719,7966.729931847,13181.147311997,18197.249468387,1.13187482594399,7,"197",94.5745081742605,NA,NA,NA,NA,NA,NA,NA,NA,4.52749930377596,"2019.WC.1",16,6,3,1,1,3,4.55990613360283,1,0.499078550475722
"4",1,"dammed","WC",2019,1393.9535,34.229566831107,2678.24690937251,2693.9287201719,7966.729931847,13181.147311997,18197.249468387,1.13187482594399,8,"198",2383.89018291095,NA,NA,NA,NA,NA,NA,NA,NA,4.52749930377596,"2019.WC.1",16,6,4,1,1,4,7.77690835736127,1,0.499078550475722
"5",1,"undammed","WC",2019,1390.5115,35.70603232487,2765.79322362691,2761.6305141509,8042.67927119,13247.113519113,18247.659320827,0,5,"195",66.6700465034036,NA,NA,NA,NA,NA,NA,NA,NA,0,"2019.WC.1",16,6,1,1,0,1,4.21464363745246,1,-0.939641437061175
"6",1,"undammed","WC",2019,1390.5115,35.70603232487,2765.79322362691,2761.6305141509,8042.67927119,13247.113519113,18247.659320827,0,6,"196",39.9680521170298,2391.34735765644,7341.89650415159,11848.5878224691,15429.5874516506,0.460660228837231,0.443264068991728,0.401973559459584,0.370398669831197,0,"2019.WC.1",16,6,2,1,0,2,3.7127925462994,1,-0.939641437061175
"7",1,"undammed","WC",2019,1390.5115,35.70603232487,2765.79322362691,2761.6305141509,8042.67927119,13247.113519113,18247.659320827,0,7,"197",155.842007514075,NA,NA,NA,NA,NA,NA,NA,NA,0,"2019.WC.1",16,6,3,1,0,3,5.05523897710041,1,-0.939641437061175
"8",1,"undammed","WC",2019,1390.5115,35.70603232487,2765.79322362691,2761.6305141509,8042.67927119,13247.113519113,18247.659320827,0,8,"198",1670.50660170854,NA,NA,NA,NA,NA,NA,NA,NA,0,"2019.WC.1",16,6,4,1,0,4,7.42148065542372,1,-0.939641437061175
"9",3,"dammed","WC",2019,1383.4216,33.2348025607962,2551.09455936402,2555.7108818312,7799.974275157,12997.574422476,18114.045131365,1.12852775993408,5,"195",188.304177776271,NA,NA,NA,NA,NA,NA,NA,NA,4.51411103973632,"2019.WC.3",34,6,1,1,1,1,5.24335512757698,1,0.494824112919832
"10",3,"dammed","WC",2019,1383.4216,33.2348025607962,2551.09455936402,2555.7108818312,7799.974275157,12997.574422476,18114.045131365,1.12852775993408,6,"196",133.24267183963,2107.18010316737,6554.38959757487,10892.6366973279,14612.7421544393,0.437564046444006,0.43115070849554,0.407355331866897,0.389541938550883,4.51411103973632,"2019.WC.3",34,6,2,1,1,2,4.89964914597456,1,0.494824112919832
"11",3,"dammed","WC",2019,1383.4216,33.2348025607962,2551.09455936402,2555.7108818312,7799.974275157,12997.574422476,18114.045131365,1.12852775993408,7,"197",352.949266570923,NA,NA,NA,NA,NA,NA,NA,NA,4.51411103973632,"2019.WC.3",34,6,3,1,1,3,5.86915358809183,1,0.494824112919832
"12",3,"dammed","WC",2019,1383.4216,33.2348025607962,2551.09455936402,2555.7108818312,7799.974275157,12997.574422476,18114.045131365,1.12852775993408,8,"198",2243.96229463301,NA,NA,NA,NA,NA,NA,NA,NA,4.51411103973632,"2019.WC.3",34,6,4,1,1,4,7.71644400477162,1,0.494824112919832
"13",3,"undammed","WC",2019,1383.4216,33.1194335659017,2523.24443988502,2516.5004246899,7800.398938303,13028.165841033,18219.3181508,0,5,"195",108.105306135907,NA,NA,NA,NA,NA,NA,NA,NA,0,"2019.WC.3",34,6,1,1,0,1,4.69231352718254,1,-0.939641437061175
"14",3,"undammed","WC",2019,1383.4216,33.1194335659017,2523.24443988502,2516.5004246899,7800.398938303,13028.165841033,18219.3181508,0,6,"196",332.593339277015,1834.54111899582,6609.74357192096,11083.9918735579,14859.1571464389,0.397230020595276,0.387967751654087,0.364721936977852,0.346832562858158,0,"2019.WC.3",34,6,2,1,0,2,5.80992270408927,1,-0.939641437061175
"15",3,"undammed","WC",2019,1383.4216,33.1194335659017,2523.24443988502,2516.5004246899,7800.398938303,13028.165841033,18219.3181508,0,7,"197",375.070018046977,NA,NA,NA,NA,NA,NA,NA,NA,0,"2019.WC.3",34,6,3,1,0,3,5.92977534426348,1,-0.939641437061175
"16",3,"undammed","WC",2019,1383.4216,33.1194335659017,2523.24443988502,2516.5004246899,7800.398938303,13028.165841033,18219.3181508,0,8,"198",2292.62963221284,NA,NA,NA,NA,NA,NA,NA,NA,0,"2019.WC.3",34,6,4,1,0,4,7.73789083400647,1,-0.939641437061175
"17",4,"dammed","WC",2019,1363.905,45.551622376863,3883.05703376234,3902.9254685572,9336.696152976,14703.320416025,20044.259152909,1.1311565675576,5,"195",1919.15934131099,NA,NA,NA,NA,NA,NA,NA,NA,4.5246262702304,"2019.WC.4",43,6,1,1,1,1,7.56016345184447,1,0.498165576114045
"18",4,"dammed","WC",2019,1363.905,45.551622376863,3883.05703376234,3902.9254685572,9336.696152976,14703.320416025,20044.259152909,1.1311565675576,6,"196",1672.68442879962,1927.58156914804,5639.90847775328,8556.56974834367,10717.3998583326,0.424702028317448,0.412648998192272,0.396384185420055,0.380861306155446,4.5246262702304,"2019.WC.4",43,6,2,1,1,2,7.42278272001669,1,0.498165576114045
"19",4,"dammed","WC",2019,1363.905,45.551622376863,3883.05703376234,3902.9254685572,9336.696152976,14703.320416025,20044.259152909,1.1311565675576,7,"197",1940.76523064772,NA,NA,NA,NA,NA,NA,NA,NA,4.5246262702304,"2019.WC.4",43,6,3,1,1,3,7.57135275104277,1,0.498165576114045
"20",4,"dammed","WC",2019,1363.905,45.551622376863,3883.05703376234,3902.9254685572,9336.696152976,14703.320416025,20044.259152909,1.1311565675576,8,"198",3674.58465699308,NA,NA,NA,NA,NA,NA,NA,NA,4.5246262702304,"2019.WC.4",43,6,4,1,1,4,8.20946748933167,1,0.498165576114045
"21",4,"undammed","WC",2019,1363.9509,40.2597745841464,3250.89158758521,3246.5863467355,8491.780592094,13708.81625553,18818.41267634,0,5,"195",763.035735354704,NA,NA,NA,NA,NA,NA,NA,NA,0,"2019.WC.4",43,6,1,1,0,1,6.63861456209713,1,-0.939641437061175
"22",4,"undammed","WC",2019,1363.9509,40.2597745841464,3250.89158758521,3246.5863467355,8491.780592094,13708.81625553,18818.41267634,0,6,"196",816.760033414177,1817.96870359533,5627.66764113482,9318.91938919366,12544.4821103264,0.394077214100051,0.395300508976171,0.388915565080436,0.378769018076186,0,"2019.WC.4",43,6,2,1,0,2,6.70656893588058,1,-0.939641437061175
"23",4,"undammed","WC",2019,1363.9509,40.2597745841464,3250.89158758521,3246.5863467355,8491.780592094,13708.81625553,18818.41267634,0,7,"197",699.294900846481,NA,NA,NA,NA,NA,NA,NA,NA,0,"2019.WC.4",43,6,3,1,0,3,6.55150153325053,1,-0.939641437061175
"24",4,"undammed","WC",2019,1363.9509,40.2597745841464,3250.89158758521,3246.5863467355,8491.780592094,13708.81625553,18818.41267634,0,8,"198",2932.11288908416,NA,NA,NA,NA,NA,NA,NA,NA,0,"2019.WC.4",43,6,4,1,0,4,7.9838195575256,1,-0.939641437061175
"25",5,"dammed","WC",2019,844.21106,36.6882415732789,3305.28809922934,3306.0227245541,8267.221242513,12830.9755099,16460.424329163,1.13437961646556,5,"195",110.931131474645,NA,NA,NA,NA,NA,NA,NA,NA,4.53751846586224,"2019.WC.5",52,6,1,1,1,1,4.71788378462025,1,0.502262376200418
"26",5,"dammed","WC",2019,844.21106,36.6882415732789,3305.28809922934,3306.0227245541,8267.221242513,12830.9755099,16460.424329163,1.13437961646556,6,"196",311.012165932328,1366.33909292782,3655.56388627595,6087.35182342529,7518.00711891324,0.292335062078608,0.281456517889187,0.268226212836157,0.260175186502813,4.53751846586224,"2019.WC.5",52,6,2,1,1,2,5.74304218042211,1,0.502262376200418
"27",5,"dammed","WC",2019,844.21106,36.6882415732789,3305.28809922934,3306.0227245541,8267.221242513,12830.9755099,16460.424329163,1.13437961646556,7,"197",264.161734682438,NA,NA,NA,NA,NA,NA,NA,NA,4.53751846586224,"2019.WC.5",52,6,3,1,1,3,5.58033995937336,1,0.502262376200418
"28",5,"dammed","WC",2019,844.21106,36.6882415732789,3305.28809922934,3306.0227245541,8267.221242513,12830.9755099,16460.424329163,1.13437961646556,8,"198",1645.99376851741,NA,NA,NA,NA,NA,NA,NA,NA,4.53751846586224,"2019.WC.5",52,6,4,1,1,4,7.40670694663521,1,0.502262376200418
"29",5,"undammed","WC",2019,844.5446,34.007423501777,2813.72452360392,2823.1470711834,8066.03561304,13316.552585197,18604.836987995,0,5,"195",245.548097635952,NA,NA,NA,NA,NA,NA,NA,NA,0,"2019.WC.5",52,6,1,1,0,1,5.50755709670426,1,-0.939641437061175
"30",5,"undammed","WC",2019,844.5446,34.007423501777,2813.72452360392,2823.1470711834,8066.03561304,13316.552585197,18604.836987995,0,6,"196",742.304716849327,1435.84106861189,5197.54006320729,9182.13720317167,12948.0381052653,0.317002667647161,0.321716261271529,0.30633806270427,0.286828001146125,0,"2019.WC.5",52,6,2,1,0,2,6.61110607753289,1,-0.939641437061175
"31",5,"undammed","WC",2019,844.5446,34.007423501777,2813.72452360392,2823.1470711834,8066.03561304,13316.552585197,18604.836987995,0,7,"197",1138.96651016614,NA,NA,NA,NA,NA,NA,NA,NA,0,"2019.WC.5",52,6,3,1,0,3,7.03875416390978,1,-0.939641437061175
"32",5,"undammed","WC",2019,844.5446,34.007423501777,2813.72452360392,2823.1470711834,8066.03561304,13316.552585197,18604.836987995,0,8,"198",2261.81747013237,NA,NA,NA,NA,NA,NA,NA,NA,0,"2019.WC.5",52,6,4,1,0,4,7.72436598402094,1,-0.939641437061175
"33",6,"dammed","WC",2019,844.119,37.9058602928293,3560.12986496091,3561.312276015,8797.678902331,13232.405173521,16477.678223911,1.15275340054945,5,"195",363.602383592316,NA,NA,NA,NA,NA,NA,NA,NA,4.6110136021978,"2019.WC.6",61,6,1,1,1,1,5.89880739977754,1,0.525617194067432
"34",6,"dammed","WC",2019,844.119,37.9058602928293,3560.12986496091,3561.312276015,8797.678902331,13232.405173521,16477.678223911,1.15275340054945,6,"196",1329.12465008661,894.276498532763,3642.75008003384,6877.74057467592,9765.63058657179,0.271483484850316,0.267543550946204,0.25741329499083,0.25480113756683,4.6110136021978,"2019.WC.6",61,6,2,1,1,2,7.19302793869381,1,0.525617194067432
"35",6,"dammed","WC",2019,844.119,37.9058602928293,3560.12986496091,3561.312276015,8797.678902331,13232.405173521,16477.678223911,1.15275340054945,7,"197",1718.94270431785,NA,NA,NA,NA,NA,NA,NA,NA,4.6110136021978,"2019.WC.6",61,6,3,1,1,3,7.45004625780955,1,0.525617194067432
"36",6,"dammed","WC",2019,844.119,37.9058602928293,3560.12986496091,3561.312276015,8797.678902331,13232.405173521,16477.678223911,1.15275340054945,8,"198",2633.14124259715,NA,NA,NA,NA,NA,NA,NA,NA,4.6110136021978,"2019.WC.6",61,6,4,1,1,4,7.87631250371946,1,0.525617194067432
"37",6,"undammed","WC",2019,843.8602,34.5231316632249,3206.95258781314,3211.9142643078,8388.658028513,13532.118518635,18670.210339918,0,5,"195",313.406335782304,NA,NA,NA,NA,NA,NA,NA,NA,0,"2019.WC.6",61,6,1,1,0,1,5.75068621233134,1,-0.939641437061175
"38",6,"undammed","WC",2019,843.8602,34.5231316632249,3206.95258781314,3211.9142643078,8388.658028513,13532.118518635,18670.210339918,0,6,"196",1216.99032794284,630.698870759852,2868.86190421908,6799.57214582855,10919.5990097046,0.281373993456458,0.26570365081471,0.245588364863752,0.232662657779148,0,"2019.WC.6",61,6,2,1,0,2,7.10495750730468,1,-0.939641437061175
"39",6,"undammed","WC",2019,843.8602,34.5231316632249,3206.95258781314,3211.9142643078,8388.658028513,13532.118518635,18670.210339918,0,7,"197",1805.51161928341,NA,NA,NA,NA,NA,NA,NA,NA,0,"2019.WC.6",61,6,3,1,0,3,7.49915298249804,1,-0.939641437061175
"40",6,"undammed","WC",2019,843.8602,34.5231316632249,3206.95258781314,3211.9142643078,8388.658028513,13532.118518635,18670.210339918,0,8,"198",2141.67254566094,NA,NA,NA,NA,NA,NA,NA,NA,0,"2019.WC.6",61,6,4,1,0,4,7.66980918196008,1,-0.939641437061175
"41",8,"dammed","WC",2019,842.2326,35.6770007862735,3111.99763146043,3120.200987625,8103.35657624,13042.934104128,17095.90923253,1.15210766471748,5,"195",266.177141827462,NA,NA,NA,NA,NA,NA,NA,NA,4.60843065886992,"2019.WC.8",81,6,1,1,1,1,5.58791189095022,1,0.524796402733594
"42",8,"dammed","WC",2019,842.2326,35.6770007862735,3111.99763146043,3120.200987625,8103.35657624,13042.934104128,17095.90923253,1.15210766471748,6,"196",430.612925824465,1914.3201463288,4717.7912778069,8343.71010547713,10846.7763111488,0.319838139316324,0.31108145456976,0.286779530047421,0.279126423972749,4.60843065886992,"2019.WC.8",81,6,2,1,1,2,6.0675291815557,1,0.524796402733594
