"clusterID_seq","window_type","watershed","year","window_length","catchment_km2","riparian_area_m2","riparian_area_m2_0","riparian_area_m2_10","riparian_area_m2_20","riparian_area_m2_30","TO","p_window","f_window","beav_count_all","beav_count_conf","anthro_count","isAnthro","Nhat","t","SWA","VA_0","VA_10","VA_20","VA_30","NDVI_0","NDVI_10","NDVI_20","NDVI_30","NDVI_sd_0","NDVI_sd_10","NDVI_sd_20","NDVI_sd_30","containsNull"
1,"dammed","LBV",2023,250,5399.473,4086.06644070148,4087.516639524,9592.172643104,14957.343331039,20277.681274137,47.9221934587101,0.904882253723484,0.0247420167895936,1,0,0,0,1.13315264000072,"5",2471.76932757298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,"dammed","LBV",2023,250,5399.473,4086.06644070148,4087.516639524,9592.172643104,14957.343331039,20277.681274137,47.9221934587101,0.904882253723484,0.0247420167895936,1,0,0,0,1.13315264000072,"6",2475.51639502212,1352.61944307813,5499.28049262552,10703.4418523452,15589.8237139234,0.471084122269034,0.480969352938856,0.4748451761357,0.462717113099576,0.0669946523691339,0.0838794645124339,0.0958995099114792,0.101175035889526,0
1,"dammed","LBV",2023,250,5399.473,4086.06644070148,4087.516639524,9592.172643104,14957.343331039,20277.681274137,47.9221934587101,0.904882253723484,0.0247420167895936,1,0,0,0,1.13315264000072,"7",2230.24907577599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,"dammed","LBV",2023,250,5399.473,4086.06644070148,4087.516639524,9592.172643104,14957.343331039,20277.681274137,47.9221934587101,0.904882253723484,0.0247420167895936,1,0,0,0,1.13315264000072,"8",1531.72174145404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,"undammed","LBV",2023,250,5394.16,3900.1573804915,3911.580641593,9514.577518319,14898.579977489,20199.324300272,43.5152876316203,0.888577277947813,0.0260351287968444,0,0,0,0,0,"5",2109.47635679081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,"undammed","LBV",2023,250,5394.16,3900.1573804915,3911.580641593,9514.577518319,14898.579977489,20199.324300272,43.5152876316203,0.888577277947813,0.0260351287968444,0,0,0,0,0,"6",593.433161203534,2827.8843935499,7693.58510706284,12826.5490929996,17501.8345144833,0.515806096998564,0.530064139285761,0.506125278025536,0.47179520100848,0.0475653098351354,0.0422856166830605,0.0389343901286787,0.0394047705508112,0
1,"undammed","LBV",2023,250,5394.16,3900.1573804915,3911.580641593,9514.577518319,14898.579977489,20199.324300272,43.5152876316203,0.888577277947813,0.0260351287968444,0,0,0,0,0,"7",562.06561979406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,"undammed","LBV",2023,250,5394.16,3900.1573804915,3911.580641593,9514.577518319,14898.579977489,20199.324300272,43.5152876316203,0.888577277947813,0.0260351287968444,0,0,0,0,0,"8",252.879623715317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
7,"dammed","LBV",2023,250,5393.3955,3782.82522270083,3794.65103899,9244.954694762,14582.76623316,19870.901593987,45.5593450391796,0.899700897023502,0.0217456856334246,1,1,0,0,1.13618767684674,"5",1537.32433627119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
7,"dammed","LBV",2023,250,5393.3955,3782.82522270083,3794.65103899,9244.954694762,14582.76623316,19870.901593987,45.5593450391796,0.899700897023502,0.0217456856334246,1,1,0,0,1.13618767684674,"6",796.989302283175,2365.85866325229,7523.69442105761,12542.1721809537,16804.5001148897,0.4712700930343,0.484746262357083,0.459961803879317,0.440161262514784,0.0411807235508726,0.0401502157132367,0.0374880044924282,0.0396199229840659,0
7,"dammed","LBV",2023,250,5393.3955,3782.82522270083,3794.65103899,9244.954694762,14582.76623316,19870.901593987,45.5593450391796,0.899700897023502,0.0217456856334246,1,1,0,0,1.13618767684674,"7",875.350834928541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
7,"dammed","LBV",2023,250,5393.3955,3782.82522270083,3794.65103899,9244.954694762,14582.76623316,19870.901593987,45.5593450391796,0.899700897023502,0.0217456856334246,1,1,0,0,1.13618767684674,"8",220.757406533933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
