date,value,model_no,location,version
1982-01-01,31.5705,1,1005001205,vPUB2025
1982-01-02,18.761,1,1005001205,vPUB2025
1982-01-03,17.684,1,1005001205,vPUB2025
1982-01-04,19.8573,1,1005001205,vPUB2025
1982-01-05,20.7411,1,1005001205,vPUB2025
1982-01-06,24.1387,1,1005001205,vPUB2025
1982-01-07,26.8427,1,1005001205,vPUB2025
1982-01-08,27.529,1,1005001205,vPUB2025
1982-01-09,28.0318,1,1005001205,vPUB2025
1982-01-10,29.7443,1,1005001205,vPUB2025
1982-01-11,31.1386,1,1005001205,vPUB2025
1982-01-12,31.9154,1,1005001205,vPUB2025
1982-01-13,30.48,1,1005001205,vPUB2025
1982-01-14,31.6587,1,1005001205,vPUB2025
1982-01-15,29.0845,1,1005001205,vPUB2025
1982-01-16,31.5011,1,1005001205,vPUB2025
1982-01-17,30.7862,1,1005001205,vPUB2025
1982-01-18,29.7259,1,1005001205,vPUB2025
1982-01-19,29.2878,1,1005001205,vPUB2025
1982-01-20,29.5242,1,1005001205,vPUB2025
1982-01-21,29.9533,1,1005001205,vPUB2025
1982-01-22,29.4639,1,1005001205,vPUB2025
1982-01-23,27.7047,1,1005001205,vPUB2025
1982-01-24,26.1888,1,1005001205,vPUB2025
1982-01-25,25.4338,1,1005001205,vPUB2025
1982-01-26,25.745,1,1005001205,vPUB2025
1982-01-27,28.2203,1,1005001205,vPUB2025
1982-01-28,29.7404,1,1005001205,vPUB2025
1982-01-29,29.7543,1,1005001205,vPUB2025
1982-01-30,28.2275,1,1005001205,vPUB2025
1982-01-31,26.8628,1,1005001205,vPUB2025
1982-02-01,27.592,1,1005001205,vPUB2025
1982-02-02,24.6046,1,1005001205,vPUB2025
1982-02-03,24.5279,1,1005001205,vPUB2025
1982-02-04,24.1745,1,1005001205,vPUB2025
1982-02-05,24.1273,1,1005001205,vPUB2025
1982-02-06,23.4357,1,1005001205,vPUB2025
1982-02-07,21.7088,1,1005001205,vPUB2025
1982-02-08,23.0073,1,1005001205,vPUB2025
1982-02-09,22.8913,1,1005001205,vPUB2025
1982-02-10,21.8916,1,1005001205,vPUB2025
1982-02-11,21.0384,1,1005001205,vPUB2025
1982-02-12,21.0969,1,1005001205,vPUB2025
1982-02-13,20.5174,1,1005001205,vPUB2025
1982-02-14,19.7118,1,1005001205,vPUB2025
1982-02-15,20.432,1,1005001205,vPUB2025
1982-02-16,18.5275,1,1005001205,vPUB2025
1982-02-17,21.9726,1,1005001205,vPUB2025
1982-02-18,25.7317,1,1005001205,vPUB2025
1982-02-19,31.1346,1,1005001205,vPUB2025
1982-02-20,34.1905,1,1005001205,vPUB2025
1982-02-21,53.793,1,1005001205,vPUB2025
1982-02-22,150.1245,1,1005001205,vPUB2025
1982-02-23,74.9568,1,1005001205,vPUB2025
1982-02-24,62.3714,1,1005001205,vPUB2025
1982-02-25,61.502,1,1005001205,vPUB2025
1982-02-26,51.5209,1,1005001205,vPUB2025
1982-02-27,46.5796,1,1005001205,vPUB2025
1982-02-28,46.0302,1,1005001205,vPUB2025
1982-03-01,45.1191,1,1005001205,vPUB2025
1982-03-02,43.0973,1,1005001205,vPUB2025
1982-03-03,39.8878,1,1005001205,vPUB2025
