date,value,model_no,location,version
1982-01-01,5.1505,1,1005001401,vPUB2025
1982-01-02,3.1516,1,1005001401,vPUB2025
1982-01-03,3.2639,1,1005001401,vPUB2025
1982-01-04,4.3057,1,1005001401,vPUB2025
1982-01-05,3.6003,1,1005001401,vPUB2025
1982-01-06,3.5845,1,1005001401,vPUB2025
1982-01-07,4.3401,1,1005001401,vPUB2025
1982-01-08,5.1447,1,1005001401,vPUB2025
1982-01-09,5.2571,1,1005001401,vPUB2025
1982-01-10,4.8294,1,1005001401,vPUB2025
1982-01-11,4.7217,1,1005001401,vPUB2025
1982-01-12,5.2103,1,1005001401,vPUB2025
1982-01-13,5.5237,1,1005001401,vPUB2025
1982-01-14,5.8719,1,1005001401,vPUB2025
1982-01-15,6.6924,1,1005001401,vPUB2025
1982-01-16,6.9624,1,1005001401,vPUB2025
1982-01-17,7.6181,1,1005001401,vPUB2025
1982-01-18,8.295,1,1005001401,vPUB2025
1982-01-19,8.684,1,1005001401,vPUB2025
1982-01-20,8.691,1,1005001401,vPUB2025
1982-01-21,8.3612,1,1005001401,vPUB2025
1982-01-22,8.046,1,1005001401,vPUB2025
1982-01-23,6.6644,1,1005001401,vPUB2025
1982-01-24,5.6291,1,1005001401,vPUB2025
1982-01-25,6.1608,1,1005001401,vPUB2025
1982-01-26,7.8655,1,1005001401,vPUB2025
1982-01-27,9.2356,1,1005001401,vPUB2025
1982-01-28,11.3083,1,1005001401,vPUB2025
1982-01-29,11.5865,1,1005001401,vPUB2025
1982-01-30,11.1986,1,1005001401,vPUB2025
1982-01-31,11.3183,1,1005001401,vPUB2025
1982-02-01,10.8035,1,1005001401,vPUB2025
1982-02-02,8.9669,1,1005001401,vPUB2025
1982-02-03,6.8926,1,1005001401,vPUB2025
1982-02-04,5.7108,1,1005001401,vPUB2025
1982-02-05,5.1805,1,1005001401,vPUB2025
1982-02-06,4.6984,1,1005001401,vPUB2025
1982-02-07,4.4428,1,1005001401,vPUB2025
1982-02-08,4.0459,1,1005001401,vPUB2025
1982-02-09,4.0166,1,1005001401,vPUB2025
1982-02-10,4.5261,1,1005001401,vPUB2025
1982-02-11,4.6487,1,1005001401,vPUB2025
1982-02-12,5.2118,1,1005001401,vPUB2025
1982-02-13,6.0301,1,1005001401,vPUB2025
1982-02-14,7.3078,1,1005001401,vPUB2025
1982-02-15,10.0718,1,1005001401,vPUB2025
1982-02-16,11.1515,1,1005001401,vPUB2025
1982-02-17,14.7735,1,1005001401,vPUB2025
1982-02-18,22.278,1,1005001401,vPUB2025
1982-02-19,30.7651,1,1005001401,vPUB2025
1982-02-20,37.8037,1,1005001401,vPUB2025
1982-02-21,53.6396,1,1005001401,vPUB2025
1982-02-22,91.4347,1,1005001401,vPUB2025
1982-02-23,67.208,1,1005001401,vPUB2025
1982-02-24,48.0305,1,1005001401,vPUB2025
1982-02-25,33.2122,1,1005001401,vPUB2025
1982-02-26,35.9822,1,1005001401,vPUB2025
1982-02-27,34.8178,1,1005001401,vPUB2025
1982-02-28,31.2265,1,1005001401,vPUB2025
1982-03-01,29.0669,1,1005001401,vPUB2025
1982-03-02,27.9684,1,1005001401,vPUB2025
1982-03-03,29.5007,1,1005001401,vPUB2025
1982-03-04,29.9996,1,1005001401,vPUB2025
1982-03-05,28.127,1,1005001401,vPUB2025
1982-03-06,28.2362,1,1005001401,vPUB2025
1982-03-07,29.541,1,1005001401,vPUB2025
1982-03-08,28.5657,1,1005001401,vPUB2025
1982-03-09,40.9923,1,1005001401,vPUB2025
1982-03-10,65.6154,1,1005001401,vPUB2025
1982-03-11,60.3553,1,1005001401,vPUB2025
1982-03-12,102.861,1,1005001401,vPUB2025
1982-03-13,199.7684,1,1005001401,vPUB2025
1982-03-14,244.5512,1,1005001401,vPUB2025
1982-03-15,447.4497,1,1005001401,vPUB2025
1982-03-16,718.936,1,1005001401,vPUB2025
1982-03-17,618.7126,1,1005001401,vPUB2025
1982-03-18,387.2036,1,1005001401,vPUB2025
1982-03-19,243.6245,1,1005001401,vPUB2025
1982-03-20,185.2698,1,1005001401,vPUB2025
1982-03-21,154.6651,1,1005001401,vPUB2025
1982-03-22,149.0318,1,1005001401,vPUB2025
1982-03-23,163.5277,1,1005001401,vPUB2025
1982-03-24,193.2777,1,1005001401,vPUB2025
1982-03-25,187.6338,1,1005001401,vPUB2025
1982-03-26,173.295,1,1005001401,vPUB2025
1982-03-27,202.5518,1,1005001401,vPUB2025
1982-03-28,338.842,1,1005001401,vPUB2025
1982-03-29,412.732,1,1005001401,vPUB2025
1982-03-30,416.2383,1,1005001401,vPUB2025
1982-03-31,306.4511,1,1005001401,vPUB2025
1982-04-01,294.3229,1,1005001401,vPUB2025
1982-04-02,258.1733,1,1005001401,vPUB2025
1982-04-03,236.8966,1,1005001401,vPUB2025
1982-04-04,218.6731,1,1005001401,vPUB2025
1982-04-05,196.0304,1,1005001401,vPUB2025
1982-04-06,182.5572,1,1005001401,vPUB2025
1982-04-07,186.5921,1,1005001401,vPUB2025
1982-04-08,207.1717,1,1005001401,vPUB2025
1982-04-09,241.4868,1,1005001401,vPUB2025
1982-04-10,299.3566,1,1005001401,vPUB2025
1982-04-11,433.3274,1,1005001401,vPUB2025
1982-04-12,736.1626,1,1005001401,vPUB2025
1982-04-13,637.4439,1,1005001401,vPUB2025
1982-04-14,546.0759,1,1005001401,vPUB2025
1982-04-15,511.4884,1,1005001401,vPUB2025
1982-04-16,496.4417,1,1005001401,vPUB2025
1982-04-17,488.178,1,1005001401,vPUB2025
1982-04-18,428.4849,1,1005001401,vPUB2025
1982-04-19,375.8648,1,1005001401,vPUB2025
1982-04-20,325.9011,1,1005001401,vPUB2025
1982-04-21,287.4212,1,1005001401,vPUB2025
1982-04-22,257.0461,1,1005001401,vPUB2025
1982-04-23,241.6965,1,1005001401,vPUB2025
1982-04-24,235.3785,1,1005001401,vPUB2025
1982-04-25,218.3354,1,1005001401,vPUB2025
1982-04-26,208.3936,1,1005001401,vPUB2025
1982-04-27,199.1604,1,1005001401,vPUB2025
1982-04-28,195.5016,1,1005001401,vPUB2025
