date,value,model_no,location,version
1982-01-01,38.9474,1,1005001403,vPUB2025
1982-01-02,35.8638,1,1005001403,vPUB2025
1982-01-03,32.7388,1,1005001403,vPUB2025
1982-01-04,33.8832,1,1005001403,vPUB2025
1982-01-05,39.5123,1,1005001403,vPUB2025
1982-01-06,44.0654,1,1005001403,vPUB2025
1982-01-07,45.8264,1,1005001403,vPUB2025
1982-01-08,45.1591,1,1005001403,vPUB2025
1982-01-09,44.1331,1,1005001403,vPUB2025
1982-01-10,44.0296,1,1005001403,vPUB2025
1982-01-11,44.8371,1,1005001403,vPUB2025
1982-01-12,41.6917,1,1005001403,vPUB2025
1982-01-13,37.7063,1,1005001403,vPUB2025
1982-01-14,37.4928,1,1005001403,vPUB2025
1982-01-15,37.0695,1,1005001403,vPUB2025
1982-01-16,37.4594,1,1005001403,vPUB2025
1982-01-17,37.2954,1,1005001403,vPUB2025
1982-01-18,34.5124,1,1005001403,vPUB2025
1982-01-19,33.1131,1,1005001403,vPUB2025
1982-01-20,34.5998,1,1005001403,vPUB2025
1982-01-21,32.7884,1,1005001403,vPUB2025
1982-01-22,30.9065,1,1005001403,vPUB2025
1982-01-23,30.0853,1,1005001403,vPUB2025
1982-01-24,27.5319,1,1005001403,vPUB2025
1982-01-25,26.4834,1,1005001403,vPUB2025
1982-01-26,26.8576,1,1005001403,vPUB2025
1982-01-27,27.4917,1,1005001403,vPUB2025
1982-01-28,24.3711,1,1005001403,vPUB2025
1982-01-29,23.2364,1,1005001403,vPUB2025
1982-01-30,20.6202,1,1005001403,vPUB2025
1982-01-31,20.2101,1,1005001403,vPUB2025
1982-02-01,21.5125,1,1005001403,vPUB2025
1982-02-02,20.4807,1,1005001403,vPUB2025
1982-02-03,18.9426,1,1005001403,vPUB2025
1982-02-04,19.0577,1,1005001403,vPUB2025
1982-02-05,18.8511,1,1005001403,vPUB2025
1982-02-06,17.3557,1,1005001403,vPUB2025
1982-02-07,16.5678,1,1005001403,vPUB2025
1982-02-08,14.5054,1,1005001403,vPUB2025
1982-02-09,13.8976,1,1005001403,vPUB2025
1982-02-10,13.4037,1,1005001403,vPUB2025
1982-02-11,13.1634,1,1005001403,vPUB2025
1982-02-12,12.2996,1,1005001403,vPUB2025
1982-02-13,11.7581,1,1005001403,vPUB2025
1982-02-14,11.1896,1,1005001403,vPUB2025
1982-02-15,9.6815,1,1005001403,vPUB2025
1982-02-16,9.9849,1,1005001403,vPUB2025
1982-02-17,9.5908,1,1005001403,vPUB2025
1982-02-18,10.1703,1,1005001403,vPUB2025
1982-02-19,10.5485,1,1005001403,vPUB2025
1982-02-20,11.5032,1,1005001403,vPUB2025
1982-02-21,18.7307,1,1005001403,vPUB2025
1982-02-22,29.9691,1,1005001403,vPUB2025
1982-02-23,27.8243,1,1005001403,vPUB2025
1982-02-24,24.9364,1,1005001403,vPUB2025
1982-02-25,20.5014,1,1005001403,vPUB2025
1982-02-26,20.847,1,1005001403,vPUB2025
1982-02-27,20.9186,1,1005001403,vPUB2025
1982-02-28,19.1786,1,1005001403,vPUB2025
1982-03-01,20.8383,1,1005001403,vPUB2025
1982-03-02,20.014,1,1005001403,vPUB2025
1982-03-03,19.3088,1,1005001403,vPUB2025
1982-03-04,18.2678,1,1005001403,vPUB2025
1982-03-05,17.3933,1,1005001403,vPUB2025
1982-03-06,18.7597,1,1005001403,vPUB2025
1982-03-07,20.4652,1,1005001403,vPUB2025
1982-03-08,21.4401,1,1005001403,vPUB2025
1982-03-09,24.9113,1,1005001403,vPUB2025
1982-03-10,58.2222,1,1005001403,vPUB2025
1982-03-11,45.0207,1,1005001403,vPUB2025
1982-03-12,47.8349,1,1005001403,vPUB2025
1982-03-13,51.952,1,1005001403,vPUB2025
1982-03-14,70.9281,1,1005001403,vPUB2025
1982-03-15,139.2434,1,1005001403,vPUB2025
1982-03-16,222.0024,1,1005001403,vPUB2025
1982-03-17,172.699,1,1005001403,vPUB2025
1982-03-18,125.8929,1,1005001403,vPUB2025
1982-03-19,97.5774,1,1005001403,vPUB2025
1982-03-20,84.7796,1,1005001403,vPUB2025
1982-03-21,86.0501,1,1005001403,vPUB2025
1982-03-22,93.8082,1,1005001403,vPUB2025
1982-03-23,108.8085,1,1005001403,vPUB2025
1982-03-24,114.7915,1,1005001403,vPUB2025
1982-03-25,118.917,1,1005001403,vPUB2025
1982-03-26,123.908,1,1005001403,vPUB2025
1982-03-27,139.1628,1,1005001403,vPUB2025
1982-03-28,205.2207,1,1005001403,vPUB2025
1982-03-29,287.6111,1,1005001403,vPUB2025
1982-03-30,253.2221,1,1005001403,vPUB2025
1982-03-31,225.7389,1,1005001403,vPUB2025
1982-04-01,210.4506,1,1005001403,vPUB2025
1982-04-02,191.2362,1,1005001403,vPUB2025
1982-04-03,156.8084,1,1005001403,vPUB2025
1982-04-04,131.7732,1,1005001403,vPUB2025
1982-04-05,120.6321,1,1005001403,vPUB2025
1982-04-06,117.4696,1,1005001403,vPUB2025
1982-04-07,136.7276,1,1005001403,vPUB2025
1982-04-08,147.4355,1,1005001403,vPUB2025
1982-04-09,203.3429,1,1005001403,vPUB2025
1982-04-10,297.4597,1,1005001403,vPUB2025
1982-04-11,497.5206,1,1005001403,vPUB2025
1982-04-12,500.6448,1,1005001403,vPUB2025
1982-04-13,351.4587,1,1005001403,vPUB2025
1982-04-14,302.9932,1,1005001403,vPUB2025
1982-04-15,248.9961,1,1005001403,vPUB2025
1982-04-16,242.2861,1,1005001403,vPUB2025
1982-04-17,232.9728,1,1005001403,vPUB2025
1982-04-18,209.9785,1,1005001403,vPUB2025
1982-04-19,193.0446,1,1005001403,vPUB2025
1982-04-20,180.7873,1,1005001403,vPUB2025
1982-04-21,166.1045,1,1005001403,vPUB2025
1982-04-22,159.0833,1,1005001403,vPUB2025
1982-04-23,150.7754,1,1005001403,vPUB2025
1982-04-24,148.9121,1,1005001403,vPUB2025
1982-04-25,144.9818,1,1005001403,vPUB2025
1982-04-26,141.4579,1,1005001403,vPUB2025
1982-04-27,137.0312,1,1005001403,vPUB2025
1982-04-28,135.6858,1,1005001403,vPUB2025
1982-04-29,136.3288,1,1005001403,vPUB2025
1982-04-30,130.0198,1,1005001403,vPUB2025
1982-05-01,127.083,1,1005001403,vPUB2025
1982-05-02,125.7307,1,1005001403,vPUB2025
1982-05-03,125.351,1,1005001403,vPUB2025
1982-05-04,124.5516,1,1005001403,vPUB2025
1982-05-05,120.8339,1,1005001403,vPUB2025
1982-05-06,123.7617,1,1005001403,vPUB2025
1982-05-07,120.5765,1,1005001403,vPUB2025
1982-05-08,119.2945,1,1005001403,vPUB2025
1982-05-09,215.739,1,1005001403,vPUB2025
1982-05-10,190.1632,1,1005001403,vPUB2025
1982-05-11,163.6651,1,1005001403,vPUB2025
1982-05-12,149.1419,1,1005001403,vPUB2025
1982-05-13,140.815,1,1005001403,vPUB2025
1982-05-14,132.3676,1,1005001403,vPUB2025
1982-05-15,126.9381,1,1005001403,vPUB2025
1982-05-16,125.5759,1,1005001403,vPUB2025
1982-05-17,121.4742,1,1005001403,vPUB2025
1982-05-18,127.0586,1,1005001403,vPUB2025
1982-05-19,162.9497,1,1005001403,vPUB2025
1982-05-20,178.7311,1,1005001403,vPUB2025
1982-05-21,154.6532,1,1005001403,vPUB2025
1982-05-22,146.7779,1,1005001403,vPUB2025
1982-05-23,137.1175,1,1005001403,vPUB2025
1982-05-24,131.0693,1,1005001403,vPUB2025
1982-05-25,128.8756,1,1005001403,vPUB2025
1982-05-26,127.9528,1,1005001403,vPUB2025
1982-05-27,338.9252,1,1005001403,vPUB2025
1982-05-28,1879.3834,1,1005001403,vPUB2025
1982-05-29,2310.5932,1,1005001403,vPUB2025
1982-05-30,882.6696,1,1005001403,vPUB2025
1982-05-31,407.7527,1,1005001403,vPUB2025
1982-06-01,320.2538,1,1005001403,vPUB2025
1982-06-02,286.0455,1,1005001403,vPUB2025
1982-06-03,279.4319,1,1005001403,vPUB2025
1982-06-04,287.5488,1,1005001403,vPUB2025
1982-06-05,251.9821,1,1005001403,vPUB2025
1982-06-06,219.008,1,1005001403,vPUB2025
1982-06-07,189.8403,1,1005001403,vPUB2025
1982-06-08,175.3636,1,1005001403,vPUB2025
1982-06-09,177.0742,1,1005001403,vPUB2025
1982-06-10,178.1187,1,1005001403,vPUB2025
1982-06-11,173.5175,1,1005001403,vPUB2025
1982-06-12,168.1568,1,1005001403,vPUB2025
1982-06-13,163.665,1,1005001403,vPUB2025
1982-06-14,174.0632,1,1005001403,vPUB2025
1982-06-15,205.2938,1,1005001403,vPUB2025
1982-06-16,321.6297,1,1005001403,vPUB2025
1982-06-17,435.0197,1,1005001403,vPUB2025
1982-06-18,378.1235,1,1005001403,vPUB2025
1982-06-19,244.0598,1,1005001403,vPUB2025
1982-06-20,185.3728,1,1005001403,vPUB2025
1982-06-21,163.8664,1,1005001403,vPUB2025
1982-06-22,157.9502,1,1005001403,vPUB2025
1982-06-23,156.9362,1,1005001403,vPUB2025
1982-06-24,150.9929,1,1005001403,vPUB2025
1982-06-25,152.6327,1,1005001403,vPUB2025
1982-06-26,159.4127,1,1005001403,vPUB2025
1982-06-27,162.5236,1,1005001403,vPUB2025
1982-06-28,218.4019,1,1005001403,vPUB2025
1982-06-29,292.5574,1,1005001403,vPUB2025
1982-06-30,227.2405,1,1005001403,vPUB2025
1982-07-01,201.709,1,1005001403,vPUB2025
1982-07-02,197.2845,1,1005001403,vPUB2025
1982-07-03,212.5738,1,1005001403,vPUB2025
1982-07-04,166.5105,1,1005001403,vPUB2025
1982-07-05,146.3985,1,1005001403,vPUB2025
1982-07-06,141.6294,1,1005001403,vPUB2025
1982-07-07,134.4623,1,1005001403,vPUB2025
1982-07-08,135.4721,1,1005001403,vPUB2025
1982-07-09,133.4102,1,1005001403,vPUB2025
1982-07-10,129.145,1,1005001403,vPUB2025
1982-07-11,122.8437,1,1005001403,vPUB2025
1982-07-12,117.6784,1,1005001403,vPUB2025
1982-07-13,113.8444,1,1005001403,vPUB2025
1982-07-14,110.6987,1,1005001403,vPUB2025
1982-07-15,110.9446,1,1005001403,vPUB2025
1982-07-16,128.7338,1,1005001403,vPUB2025
1982-07-17,145.9923,1,1005001403,vPUB2025
1982-07-18,142.0873,1,1005001403,vPUB2025
1982-07-19,136.0406,1,1005001403,vPUB2025
1982-07-20,136.1131,1,1005001403,vPUB2025
1982-07-21,124.0637,1,1005001403,vPUB2025
1982-07-22,122.2018,1,1005001403,vPUB2025
1982-07-23,120.9251,1,1005001403,vPUB2025
1982-07-24,118.6079,1,1005001403,vPUB2025
1982-07-25,126.1845,1,1005001403,vPUB2025
1982-07-26,140.4081,1,1005001403,vPUB2025
1982-07-27,145.4132,1,1005001403,vPUB2025
1982-07-28,138.5745,1,1005001403,vPUB2025
1982-07-29,126.3072,1,1005001403,vPUB2025
1982-07-30,117.2533,1,1005001403,vPUB2025
1982-07-31,112.074,1,1005001403,vPUB2025
1982-08-01,108.01,1,1005001403,vPUB2025
1982-08-02,110.2687,1,1005001403,vPUB2025
1982-08-03,108.4137,1,1005001403,vPUB2025
1982-08-04,106.9681,1,1005001403,vPUB2025
1982-08-05,106.3569,1,1005001403,vPUB2025
1982-08-06,108.6079,1,1005001403,vPUB2025
1982-08-07,110.9961,1,1005001403,vPUB2025
1982-08-08,111.3515,1,1005001403,vPUB2025
1982-08-09,112.6542,1,1005001403,vPUB2025
1982-08-10,113.6656,1,1005001403,vPUB2025
1982-08-11,110.7124,1,1005001403,vPUB2025
1982-08-12,110.226,1,1005001403,vPUB2025
1982-08-13,111.9686,1,1005001403,vPUB2025
1982-08-14,112.1693,1,1005001403,vPUB2025
1982-08-15,109.5594,1,1005001403,vPUB2025
1982-08-16,107.948,1,1005001403,vPUB2025
1982-08-17,107.4994,1,1005001403,vPUB2025
1982-08-18,108.9862,1,1005001403,vPUB2025
1982-08-19,108.7251,1,1005001403,vPUB2025
1982-08-20,108.6799,1,1005001403,vPUB2025
1982-08-21,108.6515,1,1005001403,vPUB2025
1982-08-22,108.3611,1,1005001403,vPUB2025
1982-08-23,110.1135,1,1005001403,vPUB2025
1982-08-24,114.0136,1,1005001403,vPUB2025
1982-08-25,117.376,1,1005001403,vPUB2025
1982-08-26,118.721,1,1005001403,vPUB2025
1982-08-27,124.6197,1,1005001403,vPUB2025
1982-08-28,121.9041,1,1005001403,vPUB2025
1982-08-29,118.6564,1,1005001403,vPUB2025
1982-08-30,122.0814,1,1005001403,vPUB2025
1982-08-31,127.6119,1,1005001403,vPUB2025
1982-09-01,124.5184,1,1005001403,vPUB2025
1982-09-02,122.6614,1,1005001403,vPUB2025
1982-09-03,121.3988,1,1005001403,vPUB2025
1982-09-04,119.8909,1,1005001403,vPUB2025
1982-09-05,119.9043,1,1005001403,vPUB2025
1982-09-06,118.8873,1,1005001403,vPUB2025
1982-09-07,119.0605,1,1005001403,vPUB2025
1982-09-08,116.9327,1,1005001403,vPUB2025
1982-09-09,115.0252,1,1005001403,vPUB2025
1982-09-10,117.6197,1,1005001403,vPUB2025
1982-09-11,118.2638,1,1005001403,vPUB2025
1982-09-12,119.8851,1,1005001403,vPUB2025
1982-09-13,119.191,1,1005001403,vPUB2025
1982-09-14,122.2856,1,1005001403,vPUB2025
1982-09-15,127.4225,1,1005001403,vPUB2025
1982-09-16,134.7776,1,1005001403,vPUB2025
1982-09-17,141.3404,1,1005001403,vPUB2025
1982-09-18,145.133,1,1005001403,vPUB2025
1982-09-19,147.2986,1,1005001403,vPUB2025
1982-09-20,145.7389,1,1005001403,vPUB2025
1982-09-21,140.9081,1,1005001403,vPUB2025
1982-09-22,137.4583,1,1005001403,vPUB2025
1982-09-23,128.5469,1,1005001403,vPUB2025
1982-09-24,126.6927,1,1005001403,vPUB2025
1982-09-25,125.2469,1,1005001403,vPUB2025
1982-09-26,125.5823,1,1005001403,vPUB2025
1982-09-27,132.9338,1,1005001403,vPUB2025
1982-09-28,160.7016,1,1005001403,vPUB2025
1982-09-29,164.6844,1,1005001403,vPUB2025
1982-09-30,172.6102,1,1005001403,vPUB2025
1982-10-01,168.9769,1,1005001403,vPUB2025
1982-10-02,170.3635,1,1005001403,vPUB2025
1982-10-03,164.4116,1,1005001403,vPUB2025
1982-10-04,145.8219,1,1005001403,vPUB2025
1982-10-05,132.6124,1,1005001403,vPUB2025
1982-10-06,126.9662,1,1005001403,vPUB2025
1982-10-07,117.0832,1,1005001403,vPUB2025
1982-10-08,116.7157,1,1005001403,vPUB2025
1982-10-09,114.7394,1,1005001403,vPUB2025
1982-10-10,108.1886,1,1005001403,vPUB2025
1982-10-11,106.1972,1,1005001403,vPUB2025
1982-10-12,106.1517,1,1005001403,vPUB2025
1982-10-13,104.8468,1,1005001403,vPUB2025
1982-10-14,102.7478,1,1005001403,vPUB2025
1982-10-15,98.8054,1,1005001403,vPUB2025
1982-10-16,93.8259,1,1005001403,vPUB2025
1982-10-17,93.9329,1,1005001403,vPUB2025
1982-10-18,100.7998,1,1005001403,vPUB2025
1982-10-19,108.3108,1,1005001403,vPUB2025
1982-10-20,105.86,1,1005001403,vPUB2025
1982-10-21,104.4028,1,1005001403,vPUB2025
1982-10-22,105.8435,1,1005001403,vPUB2025
1982-10-23,109.5787,1,1005001403,vPUB2025
1982-10-24,110.4862,1,1005001403,vPUB2025
1982-10-25,107.3951,1,1005001403,vPUB2025
1982-10-26,105.8239,1,1005001403,vPUB2025
1982-10-27,105.1122,1,1005001403,vPUB2025
1982-10-28,102.9254,1,1005001403,vPUB2025
1982-10-29,102.0298,1,1005001403,vPUB2025
1982-10-30,101.3728,1,1005001403,vPUB2025
1982-10-31,102.456,1,1005001403,vPUB2025
1982-11-01,103.3573,1,1005001403,vPUB2025
1982-11-02,100.6209,1,1005001403,vPUB2025
1982-11-03,95.6846,1,1005001403,vPUB2025
1982-11-04,92.9465,1,1005001403,vPUB2025
1982-11-05,93.0876,1,1005001403,vPUB2025
1982-11-06,95.7244,1,1005001403,vPUB2025
1982-11-07,93.8177,1,1005001403,vPUB2025
1982-11-08,93.3915,1,1005001403,vPUB2025
1982-11-09,93.0072,1,1005001403,vPUB2025
1982-11-10,92.9013,1,1005001403,vPUB2025
1982-11-11,90.6056,1,1005001403,vPUB2025
1982-11-12,85.9142,1,1005001403,vPUB2025
1982-11-13,85.4428,1,1005001403,vPUB2025
1982-11-14,86.1802,1,1005001403,vPUB2025
1982-11-15,88.6692,1,1005001403,vPUB2025
1982-11-16,92.3727,1,1005001403,vPUB2025
1982-11-17,97.6117,1,1005001403,vPUB2025
1982-11-18,101.7199,1,1005001403,vPUB2025
1982-11-19,103.2193,1,1005001403,vPUB2025
1982-11-20,95.7695,1,1005001403,vPUB2025
1982-11-21,88.4268,1,1005001403,vPUB2025
1982-11-22,84.7639,1,1005001403,vPUB2025
1982-11-23,80.1678,1,1005001403,vPUB2025
1982-11-24,76.4045,1,1005001403,vPUB2025
1982-11-25,72.8165,1,1005001403,vPUB2025
1982-11-26,75.8947,1,1005001403,vPUB2025
1982-11-27,80.0813,1,1005001403,vPUB2025
1982-11-28,82.6008,1,1005001403,vPUB2025
1982-11-29,78.89,1,1005001403,vPUB2025
1982-11-30,76.2401,1,1005001403,vPUB2025
1982-12-01,74.3112,1,1005001403,vPUB2025
1982-12-02,73.7213,1,1005001403,vPUB2025
1982-12-03,74.281,1,1005001403,vPUB2025
1982-12-04,75.1229,1,1005001403,vPUB2025
1982-12-05,80.9635,1,1005001403,vPUB2025
1982-12-06,85.1138,1,1005001403,vPUB2025
1982-12-07,87.1744,1,1005001403,vPUB2025
1982-12-08,78.1723,1,1005001403,vPUB2025
1982-12-09,67.5889,1,1005001403,vPUB2025
1982-12-10,65.315,1,1005001403,vPUB2025
1982-12-11,57.1648,1,1005001403,vPUB2025
1982-12-12,60.6603,1,1005001403,vPUB2025
1982-12-13,62.8889,1,1005001403,vPUB2025
1982-12-14,51.3902,1,1005001403,vPUB2025
1982-12-15,46.0985,1,1005001403,vPUB2025
1982-12-16,54.7237,1,1005001403,vPUB2025
1982-12-17,56.8706,1,1005001403,vPUB2025
1982-12-18,57.5429,1,1005001403,vPUB2025
1982-12-19,59.3807,1,1005001403,vPUB2025
1982-12-20,59.5437,1,1005001403,vPUB2025
1982-12-21,64.2361,1,1005001403,vPUB2025
1982-12-22,66.6608,1,1005001403,vPUB2025
1982-12-23,62.1158,1,1005001403,vPUB2025
1982-12-24,62.2409,1,1005001403,vPUB2025
1982-12-25,61.4291,1,1005001403,vPUB2025
1982-12-26,63.667,1,1005001403,vPUB2025
1982-12-27,58.9913,1,1005001403,vPUB2025
1982-12-28,55.5107,1,1005001403,vPUB2025
1982-12-29,59.1542,1,1005001403,vPUB2025
1982-12-30,57.4245,1,1005001403,vPUB2025
1982-12-31,50.0953,1,1005001403,vPUB2025
1983-01-01,47.3542,1,1005001403,vPUB2025
1983-01-02,27.8665,1,1005001403,vPUB2025
