date,value,model_no,location,version
1982-01-01,8.071,1,1005000419,vPUB2025
1982-01-02,6.3356,1,1005000419,vPUB2025
1982-01-03,6.1163,1,1005000419,vPUB2025
1982-01-04,5.4311,1,1005000419,vPUB2025
1982-01-05,5.5084,1,1005000419,vPUB2025
1982-01-06,6.0793,1,1005000419,vPUB2025
1982-01-07,6.7786,1,1005000419,vPUB2025
1982-01-08,7.2042,1,1005000419,vPUB2025
1982-01-09,6.8981,1,1005000419,vPUB2025
1982-01-10,7.2533,1,1005000419,vPUB2025
1982-01-11,7.2287,1,1005000419,vPUB2025
1982-01-12,7.1186,1,1005000419,vPUB2025
1982-01-13,6.9939,1,1005000419,vPUB2025
1982-01-14,6.5459,1,1005000419,vPUB2025
1982-01-15,6.0955,1,1005000419,vPUB2025
1982-01-16,5.7622,1,1005000419,vPUB2025
1982-01-17,5.145,1,1005000419,vPUB2025
1982-01-18,4.7652,1,1005000419,vPUB2025
1982-01-19,4.7246,1,1005000419,vPUB2025
1982-01-20,4.9669,1,1005000419,vPUB2025
1982-01-21,5.0353,1,1005000419,vPUB2025
1982-01-22,4.6303,1,1005000419,vPUB2025
1982-01-23,4.3915,1,1005000419,vPUB2025
1982-01-24,4.1454,1,1005000419,vPUB2025
1982-01-25,4.544,1,1005000419,vPUB2025
1982-01-26,4.7703,1,1005000419,vPUB2025
1982-01-27,5.0992,1,1005000419,vPUB2025
1982-01-28,5.9768,1,1005000419,vPUB2025
1982-01-29,5.9857,1,1005000419,vPUB2025
1982-01-30,5.3036,1,1005000419,vPUB2025
1982-01-31,4.4241,1,1005000419,vPUB2025
1982-02-01,4.6571,1,1005000419,vPUB2025
1982-02-02,4.8994,1,1005000419,vPUB2025
1982-02-03,3.5136,1,1005000419,vPUB2025
1982-02-04,3.3229,1,1005000419,vPUB2025
1982-02-05,3.3054,1,1005000419,vPUB2025
1982-02-06,2.9813,1,1005000419,vPUB2025
1982-02-07,2.5489,1,1005000419,vPUB2025
1982-02-08,2.493,1,1005000419,vPUB2025
1982-02-09,2.5906,1,1005000419,vPUB2025
1982-02-10,2.786,1,1005000419,vPUB2025
1982-02-11,2.7503,1,1005000419,vPUB2025
1982-02-12,2.9935,1,1005000419,vPUB2025
1982-02-13,3.4647,1,1005000419,vPUB2025
1982-02-14,4.1964,1,1005000419,vPUB2025
1982-02-15,4.9968,1,1005000419,vPUB2025
1982-02-16,4.862,1,1005000419,vPUB2025
1982-02-17,5.0859,1,1005000419,vPUB2025
1982-02-18,4.365,1,1005000419,vPUB2025
1982-02-19,4.2969,1,1005000419,vPUB2025
1982-02-20,5.8254,1,1005000419,vPUB2025
1982-02-21,11.4447,1,1005000419,vPUB2025
1982-02-22,54.7676,1,1005000419,vPUB2025
1982-02-23,101.3127,1,1005000419,vPUB2025
1982-02-24,100.7664,1,1005000419,vPUB2025
1982-02-25,77.9818,1,1005000419,vPUB2025
1982-02-26,53.7208,1,1005000419,vPUB2025
1982-02-27,36.6711,1,1005000419,vPUB2025
1982-02-28,24.191,1,1005000419,vPUB2025
1982-03-01,17.4345,1,1005000419,vPUB2025
