date,value,model_no,location,version
1982-01-01,7.9464,1,1005001407,vPUB2025
1982-01-02,4.8842,1,1005001407,vPUB2025
1982-01-03,4.7694,1,1005001407,vPUB2025
1982-01-04,4.197,1,1005001407,vPUB2025
1982-01-05,3.9209,1,1005001407,vPUB2025
1982-01-06,4.2789,1,1005001407,vPUB2025
1982-01-07,5.501,1,1005001407,vPUB2025
1982-01-08,6.732,1,1005001407,vPUB2025
1982-01-09,6.5934,1,1005001407,vPUB2025
1982-01-10,6.8312,1,1005001407,vPUB2025
1982-01-11,6.6955,1,1005001407,vPUB2025
1982-01-12,6.4488,1,1005001407,vPUB2025
1982-01-13,6.8604,1,1005001407,vPUB2025
1982-01-14,6.3736,1,1005001407,vPUB2025
1982-01-15,6.1305,1,1005001407,vPUB2025
1982-01-16,6.2,1,1005001407,vPUB2025
1982-01-17,6.6385,1,1005001407,vPUB2025
1982-01-18,6.2938,1,1005001407,vPUB2025
1982-01-19,6.5409,1,1005001407,vPUB2025
1982-01-20,7.3404,1,1005001407,vPUB2025
1982-01-21,7.6619,1,1005001407,vPUB2025
1982-01-22,7.4396,1,1005001407,vPUB2025
1982-01-23,7.1872,1,1005001407,vPUB2025
1982-01-24,7.0426,1,1005001407,vPUB2025
1982-01-25,7.2347,1,1005001407,vPUB2025
1982-01-26,7.7365,1,1005001407,vPUB2025
1982-01-27,8.4328,1,1005001407,vPUB2025
1982-01-28,8.2556,1,1005001407,vPUB2025
1982-01-29,8.1631,1,1005001407,vPUB2025
1982-01-30,7.6325,1,1005001407,vPUB2025
1982-01-31,6.5245,1,1005001407,vPUB2025
1982-02-01,6.2735,1,1005001407,vPUB2025
1982-02-02,6.5348,1,1005001407,vPUB2025
1982-02-03,5.9182,1,1005001407,vPUB2025
1982-02-04,5.4366,1,1005001407,vPUB2025
1982-02-05,5.3558,1,1005001407,vPUB2025
1982-02-06,5.0947,1,1005001407,vPUB2025
1982-02-07,5.0425,1,1005001407,vPUB2025
1982-02-08,5.5463,1,1005001407,vPUB2025
1982-02-09,5.2751,1,1005001407,vPUB2025
1982-02-10,5.0608,1,1005001407,vPUB2025
1982-02-11,4.8459,1,1005001407,vPUB2025
1982-02-12,4.8269,1,1005001407,vPUB2025
1982-02-13,5.0366,1,1005001407,vPUB2025
1982-02-14,4.9322,1,1005001407,vPUB2025
1982-02-15,6.0881,1,1005001407,vPUB2025
1982-02-16,6.0527,1,1005001407,vPUB2025
1982-02-17,6.8383,1,1005001407,vPUB2025
1982-02-18,7.5309,1,1005001407,vPUB2025
1982-02-19,10.0602,1,1005001407,vPUB2025
1982-02-20,12.5217,1,1005001407,vPUB2025
1982-02-21,12.4629,1,1005001407,vPUB2025
1982-02-22,18.907,1,1005001407,vPUB2025
1982-02-23,27.9428,1,1005001407,vPUB2025
1982-02-24,46.8844,1,1005001407,vPUB2025
1982-02-25,95.034,1,1005001407,vPUB2025
1982-02-26,113.9969,1,1005001407,vPUB2025
1982-02-27,82.4131,1,1005001407,vPUB2025
1982-02-28,58.5631,1,1005001407,vPUB2025
1982-03-01,54.6557,1,1005001407,vPUB2025
1982-03-02,52.9949,1,1005001407,vPUB2025
1982-03-03,45.3184,1,1005001407,vPUB2025
1982-03-04,42.4876,1,1005001407,vPUB2025
1982-03-05,39.1831,1,1005001407,vPUB2025
1982-03-06,36.1936,1,1005001407,vPUB2025
1982-03-07,34.3374,1,1005001407,vPUB2025
1982-03-08,32.9441,1,1005001407,vPUB2025
1982-03-09,32.8567,1,1005001407,vPUB2025
1982-03-10,33.3902,1,1005001407,vPUB2025
1982-03-11,33.2727,1,1005001407,vPUB2025
1982-03-12,26.7844,1,1005001407,vPUB2025
1982-03-13,25.635,1,1005001407,vPUB2025
1982-03-14,28.5684,1,1005001407,vPUB2025
1982-03-15,53.2774,1,1005001407,vPUB2025
1982-03-16,104.3117,1,1005001407,vPUB2025
1982-03-17,289.2867,1,1005001407,vPUB2025
1982-03-18,415.6043,1,1005001407,vPUB2025
1982-03-19,535.5094,1,1005001407,vPUB2025
1982-03-20,525.3055,1,1005001407,vPUB2025
1982-03-21,456.495,1,1005001407,vPUB2025
1982-03-22,385.5156,1,1005001407,vPUB2025
1982-03-23,364.1781,1,1005001407,vPUB2025
1982-03-24,345.0171,1,1005001407,vPUB2025
1982-03-25,289.9203,1,1005001407,vPUB2025
1982-03-26,255.1616,1,1005001407,vPUB2025
1982-03-27,237.687,1,1005001407,vPUB2025
1982-03-28,244.0808,1,1005001407,vPUB2025
1982-03-29,292.306,1,1005001407,vPUB2025
1982-03-30,327.0312,1,1005001407,vPUB2025
1982-03-31,288.8833,1,1005001407,vPUB2025
1982-04-01,257.5276,1,1005001407,vPUB2025
1982-04-02,233.2528,1,1005001407,vPUB2025
1982-04-03,194.7069,1,1005001407,vPUB2025
1982-04-04,154.8221,1,1005001407,vPUB2025
1982-04-05,139.86,1,1005001407,vPUB2025
1982-04-06,120.8144,1,1005001407,vPUB2025
1982-04-07,109.5198,1,1005001407,vPUB2025
1982-04-08,97.9457,1,1005001407,vPUB2025
1982-04-09,99.1731,1,1005001407,vPUB2025
1982-04-10,105.532,1,1005001407,vPUB2025
1982-04-11,135.689,1,1005001407,vPUB2025
1982-04-12,157.794,1,1005001407,vPUB2025
1982-04-13,180.757,1,1005001407,vPUB2025
1982-04-14,172.1007,1,1005001407,vPUB2025
1982-04-15,153.401,1,1005001407,vPUB2025
1982-04-16,141.0919,1,1005001407,vPUB2025
1982-04-17,129.7138,1,1005001407,vPUB2025
1982-04-18,118.9635,1,1005001407,vPUB2025
1982-04-19,106.9639,1,1005001407,vPUB2025
1982-04-20,95.3743,1,1005001407,vPUB2025
1982-04-21,86.6167,1,1005001407,vPUB2025
1982-04-22,78.7626,1,1005001407,vPUB2025
1982-04-23,73.5844,1,1005001407,vPUB2025
1982-04-24,69.8636,1,1005001407,vPUB2025
1982-04-25,64.3583,1,1005001407,vPUB2025
1982-04-26,60.6444,1,1005001407,vPUB2025
1982-04-27,58.3936,1,1005001407,vPUB2025
1982-04-28,55.9053,1,1005001407,vPUB2025
1982-04-29,53.7392,1,1005001407,vPUB2025
1982-04-30,51.0122,1,1005001407,vPUB2025
1982-05-01,49.4955,1,1005001407,vPUB2025
1982-05-02,47.5207,1,1005001407,vPUB2025
1982-05-03,44.8947,1,1005001407,vPUB2025
1982-05-04,42.4703,1,1005001407,vPUB2025
1982-05-05,42.025,1,1005001407,vPUB2025
1982-05-06,39.3561,1,1005001407,vPUB2025
1982-05-07,39.5743,1,1005001407,vPUB2025
1982-05-08,41.1701,1,1005001407,vPUB2025
1982-05-09,45.7044,1,1005001407,vPUB2025
1982-05-10,52.6473,1,1005001407,vPUB2025
1982-05-11,60.4581,1,1005001407,vPUB2025
1982-05-12,66.5185,1,1005001407,vPUB2025
