date,value,model_no,location,version
1982-01-01,30.9412,1,1005001406,vPUB2025
1982-01-02,21.3149,1,1005001406,vPUB2025
1982-01-03,23.9452,1,1005001406,vPUB2025
1982-01-04,25.7622,1,1005001406,vPUB2025
1982-01-05,27.157,1,1005001406,vPUB2025
1982-01-06,29.7615,1,1005001406,vPUB2025
1982-01-07,33.6065,1,1005001406,vPUB2025
1982-01-08,32.1326,1,1005001406,vPUB2025
1982-01-09,29.5789,1,1005001406,vPUB2025
1982-01-10,30.757,1,1005001406,vPUB2025
1982-01-11,33.5645,1,1005001406,vPUB2025
1982-01-12,35.3259,1,1005001406,vPUB2025
1982-01-13,36.106,1,1005001406,vPUB2025
1982-01-14,40.1957,1,1005001406,vPUB2025
1982-01-15,41.9328,1,1005001406,vPUB2025
1982-01-16,42.7138,1,1005001406,vPUB2025
1982-01-17,42.4403,1,1005001406,vPUB2025
1982-01-18,38.7578,1,1005001406,vPUB2025
1982-01-19,37.0752,1,1005001406,vPUB2025
1982-01-20,35.1105,1,1005001406,vPUB2025
1982-01-21,34.6841,1,1005001406,vPUB2025
1982-01-22,33.1276,1,1005001406,vPUB2025
1982-01-23,30.9007,1,1005001406,vPUB2025
1982-01-24,26.4664,1,1005001406,vPUB2025
1982-01-25,24.0553,1,1005001406,vPUB2025
1982-01-26,22.0628,1,1005001406,vPUB2025
1982-01-27,22.6101,1,1005001406,vPUB2025
1982-01-28,23.9277,1,1005001406,vPUB2025
1982-01-29,24.7503,1,1005001406,vPUB2025
1982-01-30,24.0417,1,1005001406,vPUB2025
1982-01-31,20.7342,1,1005001406,vPUB2025
1982-02-01,20.7825,1,1005001406,vPUB2025
1982-02-02,20.4636,1,1005001406,vPUB2025
1982-02-03,18.7656,1,1005001406,vPUB2025
1982-02-04,18.0432,1,1005001406,vPUB2025
1982-02-05,17.5774,1,1005001406,vPUB2025
1982-02-06,16.5073,1,1005001406,vPUB2025
1982-02-07,17.5508,1,1005001406,vPUB2025
1982-02-08,16.954,1,1005001406,vPUB2025
1982-02-09,17.7296,1,1005001406,vPUB2025
1982-02-10,18.3483,1,1005001406,vPUB2025
1982-02-11,18.3182,1,1005001406,vPUB2025
1982-02-12,17.172,1,1005001406,vPUB2025
1982-02-13,17.8633,1,1005001406,vPUB2025
1982-02-14,20.2522,1,1005001406,vPUB2025
1982-02-15,18.9498,1,1005001406,vPUB2025
1982-02-16,16.8751,1,1005001406,vPUB2025
