date,value,model_no,location,version
1982-01-01,21.6813,1,1005001404,vPUB2025
1982-01-02,23.1964,1,1005001404,vPUB2025
1982-01-03,24.0646,1,1005001404,vPUB2025
1982-01-04,24.1224,1,1005001404,vPUB2025
1982-01-05,27.0513,1,1005001404,vPUB2025
1982-01-06,30.5621,1,1005001404,vPUB2025
1982-01-07,35.1126,1,1005001404,vPUB2025
1982-01-08,36.2473,1,1005001404,vPUB2025
1982-01-09,35.1078,1,1005001404,vPUB2025
1982-01-10,35.0958,1,1005001404,vPUB2025
1982-01-11,35.5699,1,1005001404,vPUB2025
1982-01-12,32.6815,1,1005001404,vPUB2025
1982-01-13,30.6545,1,1005001404,vPUB2025
1982-01-14,31.876,1,1005001404,vPUB2025
1982-01-15,32.8058,1,1005001404,vPUB2025
1982-01-16,34.6405,1,1005001404,vPUB2025
1982-01-17,36.7461,1,1005001404,vPUB2025
1982-01-18,33.3532,1,1005001404,vPUB2025
1982-01-19,31.1838,1,1005001404,vPUB2025
1982-01-20,31.2289,1,1005001404,vPUB2025
1982-01-21,30.5125,1,1005001404,vPUB2025
1982-01-22,29.1557,1,1005001404,vPUB2025
1982-01-23,27.5242,1,1005001404,vPUB2025
1982-01-24,25.3463,1,1005001404,vPUB2025
1982-01-25,24.6656,1,1005001404,vPUB2025
1982-01-26,23.7785,1,1005001404,vPUB2025
1982-01-27,24.0779,1,1005001404,vPUB2025
1982-01-28,22.2349,1,1005001404,vPUB2025
1982-01-29,21.1204,1,1005001404,vPUB2025
1982-01-30,20.9951,1,1005001404,vPUB2025
1982-01-31,20.4906,1,1005001404,vPUB2025
1982-02-01,23.2529,1,1005001404,vPUB2025
1982-02-02,19.9254,1,1005001404,vPUB2025
1982-02-03,17.7862,1,1005001404,vPUB2025
1982-02-04,18.5083,1,1005001404,vPUB2025
1982-02-05,18.4354,1,1005001404,vPUB2025
1982-02-06,18.272,1,1005001404,vPUB2025
1982-02-07,18.0748,1,1005001404,vPUB2025
1982-02-08,16.2614,1,1005001404,vPUB2025
1982-02-09,15.354,1,1005001404,vPUB2025
1982-02-10,15.3421,1,1005001404,vPUB2025
1982-02-11,14.9429,1,1005001404,vPUB2025
1982-02-12,14.7744,1,1005001404,vPUB2025
1982-02-13,15.0461,1,1005001404,vPUB2025
1982-02-14,16.7382,1,1005001404,vPUB2025
1982-02-15,15.0268,1,1005001404,vPUB2025
1982-02-16,12.5183,1,1005001404,vPUB2025
1982-02-17,13.0011,1,1005001404,vPUB2025
1982-02-18,12.8858,1,1005001404,vPUB2025
1982-02-19,12.5356,1,1005001404,vPUB2025
1982-02-20,11.2981,1,1005001404,vPUB2025
1982-02-21,10.7416,1,1005001404,vPUB2025
1982-02-22,15.3309,1,1005001404,vPUB2025
1982-02-23,14.0706,1,1005001404,vPUB2025
1982-02-24,15.1908,1,1005001404,vPUB2025
1982-02-25,16.4006,1,1005001404,vPUB2025
1982-02-26,19.071,1,1005001404,vPUB2025
1982-02-27,18.9692,1,1005001404,vPUB2025
1982-02-28,17.9589,1,1005001404,vPUB2025
1982-03-01,16.2972,1,1005001404,vPUB2025
1982-03-02,14.9038,1,1005001404,vPUB2025
1982-03-03,14.4393,1,1005001404,vPUB2025
1982-03-04,15.2221,1,1005001404,vPUB2025
1982-03-05,15.863,1,1005001404,vPUB2025
1982-03-06,16.953,1,1005001404,vPUB2025
1982-03-07,17.91,1,1005001404,vPUB2025
1982-03-08,18.8825,1,1005001404,vPUB2025
1982-03-09,23.1371,1,1005001404,vPUB2025
1982-03-10,25.7303,1,1005001404,vPUB2025
1982-03-11,35.2211,1,1005001404,vPUB2025
1982-03-12,34.1097,1,1005001404,vPUB2025
1982-03-13,30.4677,1,1005001404,vPUB2025
1982-03-14,28.5175,1,1005001404,vPUB2025
1982-03-15,28.9929,1,1005001404,vPUB2025
1982-03-16,40.6283,1,1005001404,vPUB2025
1982-03-17,51.545,1,1005001404,vPUB2025
1982-03-18,78.9049,1,1005001404,vPUB2025
1982-03-19,97.1513,1,1005001404,vPUB2025
1982-03-20,100.9327,1,1005001404,vPUB2025
1982-03-21,93.239,1,1005001404,vPUB2025
1982-03-22,90.8515,1,1005001404,vPUB2025
1982-03-23,103.0071,1,1005001404,vPUB2025
1982-03-24,116.1615,1,1005001404,vPUB2025
1982-03-25,111.4391,1,1005001404,vPUB2025
1982-03-26,111.305,1,1005001404,vPUB2025
1982-03-27,124.5618,1,1005001404,vPUB2025
