date,value,model_no,location,version
1982-01-01,20.5608,1,1005001204,vPUB2025
1982-01-02,9.8849,1,1005001204,vPUB2025
1982-01-03,9.8224,1,1005001204,vPUB2025
1982-01-04,10.0799,1,1005001204,vPUB2025
1982-01-05,10.5462,1,1005001204,vPUB2025
1982-01-06,11.206,1,1005001204,vPUB2025
1982-01-07,12.7354,1,1005001204,vPUB2025
1982-01-08,12.4882,1,1005001204,vPUB2025
1982-01-09,11.939,1,1005001204,vPUB2025
1982-01-10,11.9976,1,1005001204,vPUB2025
1982-01-11,12.0772,1,1005001204,vPUB2025
1982-01-12,10.9884,1,1005001204,vPUB2025
1982-01-13,10.2197,1,1005001204,vPUB2025
1982-01-14,10.1894,1,1005001204,vPUB2025
1982-01-15,9.5587,1,1005001204,vPUB2025
1982-01-16,11.4751,1,1005001204,vPUB2025
1982-01-17,12.5502,1,1005001204,vPUB2025
1982-01-18,11.5049,1,1005001204,vPUB2025
1982-01-19,11.8713,1,1005001204,vPUB2025
1982-01-20,12.2005,1,1005001204,vPUB2025
1982-01-21,11.4778,1,1005001204,vPUB2025
1982-01-22,10.6376,1,1005001204,vPUB2025
1982-01-23,10.0239,1,1005001204,vPUB2025
1982-01-24,9.7912,1,1005001204,vPUB2025
1982-01-25,9.6348,1,1005001204,vPUB2025
1982-01-26,10.9331,1,1005001204,vPUB2025
1982-01-27,11.7913,1,1005001204,vPUB2025
1982-01-28,11.647,1,1005001204,vPUB2025
1982-01-29,11.5646,1,1005001204,vPUB2025
1982-01-30,10.349,1,1005001204,vPUB2025
1982-01-31,10.5044,1,1005001204,vPUB2025
1982-02-01,10.4954,1,1005001204,vPUB2025
1982-02-02,10.2254,1,1005001204,vPUB2025
1982-02-03,9.4175,1,1005001204,vPUB2025
1982-02-04,8.8181,1,1005001204,vPUB2025
1982-02-05,8.2165,1,1005001204,vPUB2025
1982-02-06,7.9615,1,1005001204,vPUB2025
1982-02-07,7.2485,1,1005001204,vPUB2025
1982-02-08,6.89,1,1005001204,vPUB2025
1982-02-09,6.785,1,1005001204,vPUB2025
1982-02-10,6.3311,1,1005001204,vPUB2025
1982-02-11,5.9062,1,1005001204,vPUB2025
1982-02-12,5.7682,1,1005001204,vPUB2025
1982-02-13,6.111,1,1005001204,vPUB2025
1982-02-14,6.5795,1,1005001204,vPUB2025
1982-02-15,6.0844,1,1005001204,vPUB2025
1982-02-16,4.729,1,1005001204,vPUB2025
1982-02-17,4.7096,1,1005001204,vPUB2025
1982-02-18,4.5096,1,1005001204,vPUB2025
1982-02-19,4.8597,1,1005001204,vPUB2025
1982-02-20,5.52,1,1005001204,vPUB2025
1982-02-21,5.3664,1,1005001204,vPUB2025
1982-02-22,5.8636,1,1005001204,vPUB2025
1982-02-23,5.4384,1,1005001204,vPUB2025
1982-02-24,5.6598,1,1005001204,vPUB2025
1982-02-25,4.101,1,1005001204,vPUB2025
1982-02-26,3.307,1,1005001204,vPUB2025
1982-02-27,2.9844,1,1005001204,vPUB2025
1982-02-28,2.4901,1,1005001204,vPUB2025
1982-03-01,2.145,1,1005001204,vPUB2025
1982-03-02,1.9823,1,1005001204,vPUB2025
1982-03-03,2.2134,1,1005001204,vPUB2025
1982-03-04,2.6971,1,1005001204,vPUB2025
1982-03-05,3.1355,1,1005001204,vPUB2025
1982-03-06,4.3352,1,1005001204,vPUB2025
1982-03-07,6.1591,1,1005001204,vPUB2025
1982-03-08,8.0332,1,1005001204,vPUB2025
1982-03-09,9.7251,1,1005001204,vPUB2025
1982-03-10,11.8082,1,1005001204,vPUB2025
1982-03-11,14.4233,1,1005001204,vPUB2025
1982-03-12,12.175,1,1005001204,vPUB2025
1982-03-13,7.932,1,1005001204,vPUB2025
1982-03-14,5.3165,1,1005001204,vPUB2025
1982-03-15,5.5596,1,1005001204,vPUB2025
1982-03-16,4.9052,1,1005001204,vPUB2025
1982-03-17,11.2259,1,1005001204,vPUB2025
1982-03-18,35.3382,1,1005001204,vPUB2025
1982-03-19,58.8253,1,1005001204,vPUB2025
1982-03-20,64.5604,1,1005001204,vPUB2025
1982-03-21,57.879,1,1005001204,vPUB2025
1982-03-22,62.5479,1,1005001204,vPUB2025
1982-03-23,73.9417,1,1005001204,vPUB2025
1982-03-24,95.3145,1,1005001204,vPUB2025
1982-03-25,111.6085,1,1005001204,vPUB2025
1982-03-26,118.2221,1,1005001204,vPUB2025
1982-03-27,121.9457,1,1005001204,vPUB2025
1982-03-28,163.3108,1,1005001204,vPUB2025
1982-03-29,261.5616,1,1005001204,vPUB2025
1982-03-30,298.7459,1,1005001204,vPUB2025
1982-03-31,217.4608,1,1005001204,vPUB2025
1982-04-01,176.1229,1,1005001204,vPUB2025
1982-04-02,137.8047,1,1005001204,vPUB2025
1982-04-03,104.6018,1,1005001204,vPUB2025
1982-04-04,82.46,1,1005001204,vPUB2025
1982-04-05,75.7012,1,1005001204,vPUB2025
1982-04-06,71.8324,1,1005001204,vPUB2025
1982-04-07,65.8543,1,1005001204,vPUB2025
1982-04-08,66.891,1,1005001204,vPUB2025
1982-04-09,75.2928,1,1005001204,vPUB2025
1982-04-10,85.2458,1,1005001204,vPUB2025
1982-04-11,147.1996,1,1005001204,vPUB2025
1982-04-12,257.3284,1,1005001204,vPUB2025
1982-04-13,380.6797,1,1005001204,vPUB2025
1982-04-14,338.4236,1,1005001204,vPUB2025
1982-04-15,309.195,1,1005001204,vPUB2025
1982-04-16,265.8598,1,1005001204,vPUB2025
1982-04-17,264.0236,1,1005001204,vPUB2025
1982-04-18,260.1931,1,1005001204,vPUB2025
1982-04-19,240.6895,1,1005001204,vPUB2025
1982-04-20,222.0862,1,1005001204,vPUB2025
1982-04-21,200.1572,1,1005001204,vPUB2025
1982-04-22,177.2626,1,1005001204,vPUB2025
1982-04-23,161.6764,1,1005001204,vPUB2025
1982-04-24,144.7179,1,1005001204,vPUB2025
1982-04-25,135.7788,1,1005001204,vPUB2025
1982-04-26,129.3655,1,1005001204,vPUB2025
1982-04-27,123.369,1,1005001204,vPUB2025
1982-04-28,120.4239,1,1005001204,vPUB2025
1982-04-29,118.2003,1,1005001204,vPUB2025
1982-04-30,116.0969,1,1005001204,vPUB2025
1982-05-01,114.5254,1,1005001204,vPUB2025
1982-05-02,113.987,1,1005001204,vPUB2025
1982-05-03,112.2109,1,1005001204,vPUB2025
1982-05-04,115.1582,1,1005001204,vPUB2025
1982-05-05,116.5712,1,1005001204,vPUB2025
1982-05-06,108.8639,1,1005001204,vPUB2025
1982-05-07,106.7325,1,1005001204,vPUB2025
1982-05-08,107.6267,1,1005001204,vPUB2025
1982-05-09,119.9291,1,1005001204,vPUB2025
1982-05-10,156.1573,1,1005001204,vPUB2025
1982-05-11,155.5218,1,1005001204,vPUB2025
1982-05-12,144.763,1,1005001204,vPUB2025
1982-05-13,136.9331,1,1005001204,vPUB2025
1982-05-14,124.5289,1,1005001204,vPUB2025
1982-05-15,130.7708,1,1005001204,vPUB2025
1982-05-16,151.7949,1,1005001204,vPUB2025
1982-05-17,149.7869,1,1005001204,vPUB2025
1982-05-18,160.4309,1,1005001204,vPUB2025
1982-05-19,234.3284,1,1005001204,vPUB2025
1982-05-20,321.0249,1,1005001204,vPUB2025
1982-05-21,307.7503,1,1005001204,vPUB2025
1982-05-22,329.2441,1,1005001204,vPUB2025
1982-05-23,287.5562,1,1005001204,vPUB2025
1982-05-24,212.0023,1,1005001204,vPUB2025
1982-05-25,185.6502,1,1005001204,vPUB2025
1982-05-26,150.1695,1,1005001204,vPUB2025
1982-05-27,159.7491,1,1005001204,vPUB2025
1982-05-28,734.0198,1,1005001204,vPUB2025
1982-05-29,1319.595,1,1005001204,vPUB2025
1982-05-30,790.5621,1,1005001204,vPUB2025
1982-05-31,529.3048,1,1005001204,vPUB2025
1982-06-01,354.9256,1,1005001204,vPUB2025
1982-06-02,278.7385,1,1005001204,vPUB2025
1982-06-03,257.119,1,1005001204,vPUB2025
1982-06-04,249.1121,1,1005001204,vPUB2025
1982-06-05,223.1097,1,1005001204,vPUB2025
1982-06-06,203.5225,1,1005001204,vPUB2025
1982-06-07,185.5481,1,1005001204,vPUB2025
1982-06-08,170.285,1,1005001204,vPUB2025
1982-06-09,163.732,1,1005001204,vPUB2025
1982-06-10,161.2045,1,1005001204,vPUB2025
1982-06-11,165.0082,1,1005001204,vPUB2025
1982-06-12,164.7558,1,1005001204,vPUB2025
1982-06-13,158.1416,1,1005001204,vPUB2025
1982-06-14,156.0326,1,1005001204,vPUB2025
1982-06-15,149.1498,1,1005001204,vPUB2025
1982-06-16,157.3928,1,1005001204,vPUB2025
1982-06-17,223.5431,1,1005001204,vPUB2025
1982-06-18,245.4968,1,1005001204,vPUB2025
1982-06-19,219.8022,1,1005001204,vPUB2025
1982-06-20,198.666,1,1005001204,vPUB2025
1982-06-21,195.9904,1,1005001204,vPUB2025
1982-06-22,194.9421,1,1005001204,vPUB2025
1982-06-23,183.9069,1,1005001204,vPUB2025
1982-06-24,173.8507,1,1005001204,vPUB2025
1982-06-25,167.855,1,1005001204,vPUB2025
1982-06-26,165.3357,1,1005001204,vPUB2025
1982-06-27,166.9268,1,1005001204,vPUB2025
1982-06-28,180.6393,1,1005001204,vPUB2025
1982-06-29,207.1221,1,1005001204,vPUB2025
1982-06-30,224.0017,1,1005001204,vPUB2025
1982-07-01,207.4562,1,1005001204,vPUB2025
