date,value,model_no,location,version
1982-01-01,9.1233,1,1005000421,vPUB2025
1982-01-02,3.7112,1,1005000421,vPUB2025
1982-01-03,3.594,1,1005000421,vPUB2025
1982-01-04,3.9435,1,1005000421,vPUB2025
1982-01-05,4.0942,1,1005000421,vPUB2025
1982-01-06,4.1907,1,1005000421,vPUB2025
1982-01-07,4.2562,1,1005000421,vPUB2025
1982-01-08,4.1248,1,1005000421,vPUB2025
1982-01-09,3.9072,1,1005000421,vPUB2025
1982-01-10,4.1637,1,1005000421,vPUB2025
1982-01-11,4.0094,1,1005000421,vPUB2025
1982-01-12,3.5694,1,1005000421,vPUB2025
1982-01-13,3.748,1,1005000421,vPUB2025
1982-01-14,3.6728,1,1005000421,vPUB2025
1982-01-15,3.6763,1,1005000421,vPUB2025
1982-01-16,3.9503,1,1005000421,vPUB2025
1982-01-17,4.2881,1,1005000421,vPUB2025
1982-01-18,4.1362,1,1005000421,vPUB2025
1982-01-19,4.3504,1,1005000421,vPUB2025
1982-01-20,4.3947,1,1005000421,vPUB2025
1982-01-21,4.3436,1,1005000421,vPUB2025
1982-01-22,3.906,1,1005000421,vPUB2025
1982-01-23,3.6972,1,1005000421,vPUB2025
1982-01-24,3.8133,1,1005000421,vPUB2025
1982-01-25,4.2843,1,1005000421,vPUB2025
1982-01-26,5.0689,1,1005000421,vPUB2025
1982-01-27,5.528,1,1005000421,vPUB2025
1982-01-28,4.8758,1,1005000421,vPUB2025
1982-01-29,5.0063,1,1005000421,vPUB2025
1982-01-30,4.7232,1,1005000421,vPUB2025
1982-01-31,3.9491,1,1005000421,vPUB2025
1982-02-01,4.0316,1,1005000421,vPUB2025
1982-02-02,3.9697,1,1005000421,vPUB2025
1982-02-03,3.4434,1,1005000421,vPUB2025
1982-02-04,3.3982,1,1005000421,vPUB2025
1982-02-05,3.2558,1,1005000421,vPUB2025
1982-02-06,2.8492,1,1005000421,vPUB2025
1982-02-07,2.8977,1,1005000421,vPUB2025
1982-02-08,2.8141,1,1005000421,vPUB2025
1982-02-09,2.8058,1,1005000421,vPUB2025
1982-02-10,2.6721,1,1005000421,vPUB2025
1982-02-11,2.6128,1,1005000421,vPUB2025
1982-02-12,2.6681,1,1005000421,vPUB2025
1982-02-13,2.7705,1,1005000421,vPUB2025
1982-02-14,2.9515,1,1005000421,vPUB2025
1982-02-15,3.1293,1,1005000421,vPUB2025
