date,value,model_no,location,version
1982-01-01,2.6462,1,1005001402,vPUB2025
1982-01-02,1.5054,1,1005001402,vPUB2025
1982-01-03,1.9474,1,1005001402,vPUB2025
1982-01-04,2.8257,1,1005001402,vPUB2025
1982-01-05,2.2637,1,1005001402,vPUB2025
1982-01-06,2.008,1,1005001402,vPUB2025
1982-01-07,2.8482,1,1005001402,vPUB2025
1982-01-08,3.5227,1,1005001402,vPUB2025
1982-01-09,3.8283,1,1005001402,vPUB2025
1982-01-10,3.916,1,1005001402,vPUB2025
1982-01-11,4.3634,1,1005001402,vPUB2025
1982-01-12,4.7969,1,1005001402,vPUB2025
1982-01-13,5.1041,1,1005001402,vPUB2025
1982-01-14,5.4949,1,1005001402,vPUB2025
1982-01-15,5.4736,1,1005001402,vPUB2025
1982-01-16,6.1131,1,1005001402,vPUB2025
1982-01-17,7.6185,1,1005001402,vPUB2025
1982-01-18,7.6104,1,1005001402,vPUB2025
1982-01-19,7.2709,1,1005001402,vPUB2025
1982-01-20,7.4876,1,1005001402,vPUB2025
1982-01-21,7.2321,1,1005001402,vPUB2025
1982-01-22,6.8012,1,1005001402,vPUB2025
1982-01-23,6.0345,1,1005001402,vPUB2025
1982-01-24,5.6347,1,1005001402,vPUB2025
1982-01-25,5.9984,1,1005001402,vPUB2025
1982-01-26,7.6551,1,1005001402,vPUB2025
1982-01-27,8.6853,1,1005001402,vPUB2025
1982-01-28,9.3286,1,1005001402,vPUB2025
1982-01-29,9.2435,1,1005001402,vPUB2025
1982-01-30,8.4083,1,1005001402,vPUB2025
1982-01-31,8.7888,1,1005001402,vPUB2025
1982-02-01,8.5266,1,1005001402,vPUB2025
1982-02-02,7.3801,1,1005001402,vPUB2025
1982-02-03,6.3006,1,1005001402,vPUB2025
1982-02-04,5.6929,1,1005001402,vPUB2025
1982-02-05,5.2252,1,1005001402,vPUB2025
1982-02-06,5.1558,1,1005001402,vPUB2025
1982-02-07,4.9016,1,1005001402,vPUB2025
1982-02-08,5.2895,1,1005001402,vPUB2025
1982-02-09,5.4582,1,1005001402,vPUB2025
1982-02-10,5.6551,1,1005001402,vPUB2025
1982-02-11,5.8097,1,1005001402,vPUB2025
1982-02-12,6.3139,1,1005001402,vPUB2025
1982-02-13,7.5612,1,1005001402,vPUB2025
1982-02-14,8.6945,1,1005001402,vPUB2025
1982-02-15,9.0295,1,1005001402,vPUB2025
1982-02-16,9.6266,1,1005001402,vPUB2025
1982-02-17,10.431,1,1005001402,vPUB2025
1982-02-18,12.3159,1,1005001402,vPUB2025
1982-02-19,13.4446,1,1005001402,vPUB2025
1982-02-20,14.5286,1,1005001402,vPUB2025
1982-02-21,17.0644,1,1005001402,vPUB2025
1982-02-22,18.0235,1,1005001402,vPUB2025
1982-02-23,19.0495,1,1005001402,vPUB2025
1982-02-24,19.9236,1,1005001402,vPUB2025
1982-02-25,20.2306,1,1005001402,vPUB2025
1982-02-26,19.8905,1,1005001402,vPUB2025
1982-02-27,18.459,1,1005001402,vPUB2025
1982-02-28,16.7732,1,1005001402,vPUB2025
1982-03-01,14.7169,1,1005001402,vPUB2025
1982-03-02,16.7614,1,1005001402,vPUB2025
1982-03-03,19.1175,1,1005001402,vPUB2025
1982-03-04,20.7726,1,1005001402,vPUB2025
1982-03-05,21.8058,1,1005001402,vPUB2025
1982-03-06,22.2572,1,1005001402,vPUB2025
1982-03-07,24.0584,1,1005001402,vPUB2025
1982-03-08,25.2565,1,1005001402,vPUB2025
1982-03-09,28.6964,1,1005001402,vPUB2025
1982-03-10,32.6941,1,1005001402,vPUB2025
1982-03-11,21.8292,1,1005001402,vPUB2025
1982-03-12,28.429,1,1005001402,vPUB2025
1982-03-13,66.9931,1,1005001402,vPUB2025
1982-03-14,84.0172,1,1005001402,vPUB2025
1982-03-15,124.1077,1,1005001402,vPUB2025
1982-03-16,234.727,1,1005001402,vPUB2025
1982-03-17,272.3002,1,1005001402,vPUB2025
1982-03-18,203.8924,1,1005001402,vPUB2025
1982-03-19,146.8325,1,1005001402,vPUB2025
1982-03-20,126.1188,1,1005001402,vPUB2025
1982-03-21,117.3081,1,1005001402,vPUB2025
1982-03-22,122.2181,1,1005001402,vPUB2025
1982-03-23,137.1605,1,1005001402,vPUB2025
1982-03-24,138.4143,1,1005001402,vPUB2025
1982-03-25,134.0751,1,1005001402,vPUB2025
1982-03-26,128.0396,1,1005001402,vPUB2025
1982-03-27,138.6909,1,1005001402,vPUB2025
1982-03-28,166.9899,1,1005001402,vPUB2025
1982-03-29,214.8143,1,1005001402,vPUB2025
1982-03-30,236.4676,1,1005001402,vPUB2025
1982-03-31,208.0486,1,1005001402,vPUB2025
1982-04-01,207.9485,1,1005001402,vPUB2025
1982-04-02,190.6825,1,1005001402,vPUB2025
1982-04-03,167.9115,1,1005001402,vPUB2025
1982-04-04,154.2687,1,1005001402,vPUB2025
1982-04-05,140.6319,1,1005001402,vPUB2025
1982-04-06,133.7078,1,1005001402,vPUB2025
1982-04-07,150.5116,1,1005001402,vPUB2025
1982-04-08,161.8226,1,1005001402,vPUB2025
1982-04-09,169.3525,1,1005001402,vPUB2025
1982-04-10,203.1452,1,1005001402,vPUB2025
1982-04-11,263.6007,1,1005001402,vPUB2025
1982-04-12,357.161,1,1005001402,vPUB2025
1982-04-13,347.1826,1,1005001402,vPUB2025
1982-04-14,330.0075,1,1005001402,vPUB2025
1982-04-15,315.2005,1,1005001402,vPUB2025
1982-04-16,275.8839,1,1005001402,vPUB2025
1982-04-17,259.3255,1,1005001402,vPUB2025
1982-04-18,240.3611,1,1005001402,vPUB2025
1982-04-19,226.1733,1,1005001402,vPUB2025
1982-04-20,211.993,1,1005001402,vPUB2025
1982-04-21,200.9919,1,1005001402,vPUB2025
1982-04-22,184.9703,1,1005001402,vPUB2025
1982-04-23,168.1913,1,1005001402,vPUB2025
1982-04-24,160.3262,1,1005001402,vPUB2025
1982-04-25,151.7058,1,1005001402,vPUB2025
1982-04-26,147.0109,1,1005001402,vPUB2025
1982-04-27,142.3073,1,1005001402,vPUB2025
1982-04-28,139.895,1,1005001402,vPUB2025
1982-04-29,139.0025,1,1005001402,vPUB2025
1982-04-30,135.4879,1,1005001402,vPUB2025
1982-05-01,136.0894,1,1005001402,vPUB2025
1982-05-02,133.655,1,1005001402,vPUB2025
1982-05-03,131.3661,1,1005001402,vPUB2025
1982-05-04,134.8951,1,1005001402,vPUB2025
1982-05-05,141.1403,1,1005001402,vPUB2025
1982-05-06,148.85,1,1005001402,vPUB2025
1982-05-07,151.6228,1,1005001402,vPUB2025
1982-05-08,150.2904,1,1005001402,vPUB2025
1982-05-09,163.795,1,1005001402,vPUB2025
1982-05-10,166.8919,1,1005001402,vPUB2025
1982-05-11,176.3777,1,1005001402,vPUB2025
1982-05-12,176.1785,1,1005001402,vPUB2025
1982-05-13,179.4732,1,1005001402,vPUB2025
1982-05-14,185.0168,1,1005001402,vPUB2025
1982-05-15,166.6171,1,1005001402,vPUB2025
1982-05-16,164.3538,1,1005001402,vPUB2025
1982-05-17,164.7928,1,1005001402,vPUB2025
1982-05-18,168.4919,1,1005001402,vPUB2025
1982-05-19,222.8878,1,1005001402,vPUB2025
1982-05-20,239.1039,1,1005001402,vPUB2025
1982-05-21,238.7525,1,1005001402,vPUB2025
1982-05-22,224.1796,1,1005001402,vPUB2025
1982-05-23,210.0067,1,1005001402,vPUB2025
1982-05-24,203.0679,1,1005001402,vPUB2025
1982-05-25,201.7129,1,1005001402,vPUB2025
1982-05-26,208.5238,1,1005001402,vPUB2025
1982-05-27,392.8743,1,1005001402,vPUB2025
1982-05-28,1817.1531,1,1005001402,vPUB2025
1982-05-29,1747.744,1,1005001402,vPUB2025
1982-05-30,876.7924,1,1005001402,vPUB2025
1982-05-31,579.2422,1,1005001402,vPUB2025
1982-06-01,389.3076,1,1005001402,vPUB2025
1982-06-02,336.296,1,1005001402,vPUB2025
1982-06-03,308.3545,1,1005001402,vPUB2025
1982-06-04,279.2126,1,1005001402,vPUB2025
1982-06-05,242.5209,1,1005001402,vPUB2025
1982-06-06,218.7943,1,1005001402,vPUB2025
1982-06-07,209.4977,1,1005001402,vPUB2025
1982-06-08,209.5017,1,1005001402,vPUB2025
1982-06-09,205.205,1,1005001402,vPUB2025
1982-06-10,198.8477,1,1005001402,vPUB2025
1982-06-11,196.1681,1,1005001402,vPUB2025
