date,value,model_no,location,version
1982-01-01,49.532,1,1005001209,vPUB2025
1982-01-02,29.2986,1,1005001209,vPUB2025
1982-01-03,22.0815,1,1005001209,vPUB2025
1982-01-04,20.2013,1,1005001209,vPUB2025
1982-01-05,25.8192,1,1005001209,vPUB2025
1982-01-06,32.608,1,1005001209,vPUB2025
1982-01-07,36.9422,1,1005001209,vPUB2025
1982-01-08,40.2823,1,1005001209,vPUB2025
1982-01-09,42.2822,1,1005001209,vPUB2025
1982-01-10,45.7389,1,1005001209,vPUB2025
1982-01-11,48.5263,1,1005001209,vPUB2025
1982-01-12,49.994,1,1005001209,vPUB2025
1982-01-13,50.4381,1,1005001209,vPUB2025
1982-01-14,53.7729,1,1005001209,vPUB2025
1982-01-15,58.353,1,1005001209,vPUB2025
1982-01-16,61.8365,1,1005001209,vPUB2025
1982-01-17,60.3115,1,1005001209,vPUB2025
1982-01-18,61.2219,1,1005001209,vPUB2025
1982-01-19,63.6289,1,1005001209,vPUB2025
1982-01-20,63.4653,1,1005001209,vPUB2025
1982-01-21,63.63,1,1005001209,vPUB2025
1982-01-22,62.2679,1,1005001209,vPUB2025
1982-01-23,60.1006,1,1005001209,vPUB2025
1982-01-24,58.5093,1,1005001209,vPUB2025
1982-01-25,60.3752,1,1005001209,vPUB2025
1982-01-26,65.7098,1,1005001209,vPUB2025
1982-01-27,68.5124,1,1005001209,vPUB2025
1982-01-28,61.9475,1,1005001209,vPUB2025
1982-01-29,59.297,1,1005001209,vPUB2025
1982-01-30,58.5798,1,1005001209,vPUB2025
1982-01-31,57.1262,1,1005001209,vPUB2025
1982-02-01,60.1248,1,1005001209,vPUB2025
1982-02-02,53.5392,1,1005001209,vPUB2025
1982-02-03,49.06,1,1005001209,vPUB2025
1982-02-04,50.3437,1,1005001209,vPUB2025
1982-02-05,51.2538,1,1005001209,vPUB2025
1982-02-06,48.3488,1,1005001209,vPUB2025
1982-02-07,47.6845,1,1005001209,vPUB2025
1982-02-08,51.8099,1,1005001209,vPUB2025
1982-02-09,52.8745,1,1005001209,vPUB2025
1982-02-10,51.9811,1,1005001209,vPUB2025
1982-02-11,50.5563,1,1005001209,vPUB2025
1982-02-12,50.3734,1,1005001209,vPUB2025
1982-02-13,50.2831,1,1005001209,vPUB2025
1982-02-14,50.2718,1,1005001209,vPUB2025
1982-02-15,48.7345,1,1005001209,vPUB2025
1982-02-16,47.5719,1,1005001209,vPUB2025
1982-02-17,59.8968,1,1005001209,vPUB2025
1982-02-18,66.0884,1,1005001209,vPUB2025
1982-02-19,92.1004,1,1005001209,vPUB2025
1982-02-20,136.773,1,1005001209,vPUB2025
1982-02-21,269.9194,1,1005001209,vPUB2025
1982-02-22,671.7394,1,1005001209,vPUB2025
1982-02-23,333.1365,1,1005001209,vPUB2025
1982-02-24,161.262,1,1005001209,vPUB2025
1982-02-25,134.7211,1,1005001209,vPUB2025
1982-02-26,114.2681,1,1005001209,vPUB2025
1982-02-27,113.0534,1,1005001209,vPUB2025
1982-02-28,109.2233,1,1005001209,vPUB2025
1982-03-01,102.2499,1,1005001209,vPUB2025
1982-03-02,93.5317,1,1005001209,vPUB2025
1982-03-03,88.4568,1,1005001209,vPUB2025
1982-03-04,83.1455,1,1005001209,vPUB2025
1982-03-05,78.2623,1,1005001209,vPUB2025
1982-03-06,73.9996,1,1005001209,vPUB2025
1982-03-07,68.7173,1,1005001209,vPUB2025
1982-03-08,65.5453,1,1005001209,vPUB2025
1982-03-09,66.3544,1,1005001209,vPUB2025
1982-03-10,92.2885,1,1005001209,vPUB2025
1982-03-11,513.2899,1,1005001209,vPUB2025
