Stream,Year,dams_detected_sites,stream_km_surveyed,dams_per_km
BRZ,2017,72,54.93938197,1.31053531
BW,2017,23,91.27951765,0.251973286
FC,2017,24,28.62432416,0.838447743
LBV,2017,30,143.5009772,0.20905781
LLB,2017,10,50.63735959,0.197482651
LRB,2017,119,113.826943,1.045446683
LT,2017,38,41.46885268,0.916350406
LW,2017,43,23.7903303,1.80745704
MBV,2017,16,84.6379948,0.189040395
UBV,2017,151,163.9373369,0.921083646
WC,2017,96,126.898211,0.756511847
BRZ,2019,106,54.93938197,1.929399207
BW,2019,51,91.27951765,0.558723373
FC,2019,4,28.62432416,0.139741291
LBV,2019,2,143.5009772,0.013937187
LLB,2019,41,50.63735959,0.809678868
LRB,2019,25,113.826943,0.219631656
LT,2019,39,41.46885268,0.940464891
LW,2019,31,23.7903303,1.303050424
MBV,2019,0,84.6379948,0
UBV,2019,111,163.9373369,0.677087978
WC,2019,70,126.898211,0.551623222
BRZ,2021,116,54.93938197,2.111418
BW,2021,72,91.27951765,0.788785939
FC,2021,27,28.62432416,0.943253711
LBV,2021,18,143.5009772,0.125434686
LLB,2021,27,50.63735959,0.533203157
LRB,2021,89,113.826943,0.781888696
LT,2021,68,41.46885268,1.639784937
LW,2021,32,23.7903303,1.345084309
MBV,2021,10,84.6379948,0.118150247
UBV,2021,185,163.9373369,1.128479963
WC,2021,137,126.898211,1.079605449
BRZ,2023,68,54.93938197,1.237727793
BW,2023,86,91.27951765,0.942160982
FC,2023,12,28.62432416,0.419223872
LBV,2023,46,143.5009772,0.320555308
LLB,2023,9,50.63735959,0.177734386
LRB,2023,64,113.826943,0.56225704
LT,2023,55,41.46885268,1.32629664
LW,2023,46,23.7903303,1.933558694
MBV,2023,27,84.6379948,0.319005667
UBV,2023,124,163.9373369,0.75638657
WC,2023,43,126.898211,0.338854265
