system:index,FID_Braz_1,FID_Brazil,Id,Input_FID,ORIG_FID,Shape_Area,Shape_Le_1,Shape_Leng,gridcode,.geo
00000000000000000e27,0,3615,2,754,1,237.019130684,78.6008626722,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.71458428846665,48.197377371572536],[-106.71476649463847,48.19763367134509],[-106.7147800380347,48.197637967553234],[-106.71483241967826,48.19760589709223],[-106.71485885091417,48.19759657197926],[-106.71489803848455,48.19756919983252],[-106.71492416350783,48.19755095173433],[-106.71458428846665,48.197377371572536]]]}"
00000000000000000e7e,0,3702,2,1551,1,451.158711297,118.036299024,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.7388968103418,48.18937946776243],[-106.73890333888014,48.18937490488766],[-106.73855859709604,48.189255018849096],[-106.73893995953053,48.18966912078092],[-106.73894631037811,48.18966006141311],[-106.73895057721833,48.18958853704815],[-106.73892810537009,48.18951742156461],[-106.73894720110529,48.18949031506151],[-106.73896612931317,48.18945434354738],[-106.7388968103418,48.18937946776243]]]}"
00000000000000000f21,0,3865,2,1598,1,837.919727948,198.454327574,50491.4272148,1,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-106.74086722609012,48.18741131482836],[-106.7408605505985,48.18741141594788],[-106.74086039937923,48.187406952090704]]},{""type"":""Polygon"",""coordinates"":[[[-106.74086726389322,48.18741132949295],[-106.74089532904104,48.18745111570235],[-106.74095008874455,48.18749042112165],[-106.7413038376378,48.18768162668856],[-106.7413299500295,48.18766337516789],[-106.7413423372859,48.187636335798636],[-106.7413687624644,48.187627005329276],[-106.74138772105215,48.187595474607235],[-106.74086726389322,48.18741132949295]]]},{""type"":""Polygon"",""coordinates"":[[[-106.74154319400209,48.187651152514405],[-106.74153702207694,48.18766470796796],[-106.74147743211621,48.187678995687016],[-106.74145881974327,48.18772388747097],[-106.74143888923543,48.18772421515543],[-106.74142632393514,48.18774675829325],[-106.74175961452922,48.18792480172054],[-106.74186961033388,48.18782039712494],[-106.74189491868808,48.187779806976536],[-106.74189478385563,48.1877753821986],[-106.74154319400209,48.187651152514405]]]}]}"
0000000000000000107b,0,4211,2,1926,1,497.248515467,112.742475268,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.757724848831,48.177257684765515],[-106.75798621681433,48.17748149166137],[-106.758030547198,48.1774093630962],[-106.7580892752218,48.17736829559138],[-106.75816204059869,48.17734929840827],[-106.7582013294174,48.17732634387948],[-106.75826711539375,48.17729856672685],[-106.75830626722527,48.1772711883567],[-106.75832579980532,48.1772574276833],[-106.757724848831,48.177257684765515]]]}"
000000000000000010d7,0,4303,2,2114,1,93.5757273174,38.0444553127,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76501967673732,48.172090219767995],[-106.7649134810044,48.17210970395262],[-106.7649497677752,48.17219400904835],[-106.76497650155305,48.172193593302865],[-106.76504291576006,48.17218365087711],[-106.76505999481014,48.17209852949243],[-106.76501967673732,48.172090219767995]]]}"
000000000000000010d8,0,4304,2,2116,1,1.95950007502,10.9126765478,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76518258712707,48.172168121042695],[-106.76519577291785,48.17216341829775],[-106.76519545400508,48.172154500096035],[-106.7651949539701,48.172141087057405],[-106.76519441753986,48.172123235483575],[-106.76518258712707,48.172168121042695]]]}"
000000000000000010da,0,4305,2,2115,1,88.1585194898,37.0012552492,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76509357143215,48.172102468869625],[-106.76505999481014,48.17209852949243],[-106.76504291576006,48.17218365087711],[-106.76511667288496,48.17219147661203],[-106.76514304447925,48.172182071134316],[-106.76518258712707,48.172168121042695],[-106.76519441753986,48.172123235483575],[-106.76519396083594,48.17210989393061],[-106.76509357143215,48.172102468869625]]]}"
000000000000000010db,0,4306,2,2113,1,78.8267638391,35.9069788546,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.7649134810044,48.17210970395262],[-106.76482097095243,48.1721378983773],[-106.76478839420221,48.17216078498874],[-106.76489722040041,48.17221715660763],[-106.7649497677752,48.17219400904835],[-106.7649134810044,48.17210970395262]]]}"
000000000000000010dd,0,4308,2,2107,1,99.6906613029,41.1223720509,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76437824745572,48.172466291410274],[-106.76436506157229,48.172470994072654],[-106.76427889385157,48.17249013028713],[-106.76426507060211,48.17247699640637],[-106.7642685180098,48.17257518406346],[-106.76432854612915,48.17257422847901],[-106.76441453305091,48.17255059730672],[-106.76437824745572,48.172466291410274]]]}"
000000000000000010df,0,4310,2,2111,1,116.356201959,42.8874625975,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76469723887901,48.17222916220823],[-106.7646846906482,48.17225170133265],[-106.76465905097739,48.17228329504572],[-106.764639978653,48.17231039721972],[-106.76474870346121,48.1723667843449],[-106.7648008959033,48.172330280001916],[-106.76482014923118,48.17230767264178],[-106.76483287849763,48.17228962832938],[-106.76469723887901,48.17222916220823]]]}"
000000000000000010e2,0,4313,2,2110,1,95.0060612268,39.124672123,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.764639978653,48.17231039721972],[-106.7646336356492,48.17231945510621],[-106.76460785817905,48.172346625467746],[-106.76456907586545,48.172382993380296],[-106.7645691121823,48.17238743194296],[-106.76465740983609,48.172430738420886],[-106.76467730084198,48.17242596754421],[-106.7647291746065,48.17238054495157],[-106.76474870346121,48.1723667843449],[-106.764639978653,48.17231039721972]]]}"
000000000000000010e5,0,4316,2,2109,1,89.845941723,38.6112997618,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.7645691121823,48.17238743194296],[-106.76451656451067,48.172410579386934],[-106.76449699226657,48.17242426848095],[-106.76445739132022,48.172438305022055],[-106.76455969328175,48.172499240357105],[-106.76456621737542,48.172494677314766],[-106.76460531858224,48.172467227581926],[-106.76464432535535,48.17243542593916],[-106.76465740983609,48.172430738420886],[-106.7645691121823,48.17238743194296]]]}"
000000000000000010e8,0,4319,2,2108,1,96.0490658545,39.1915177789,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76445739132022,48.172438305022055],[-106.76437824745572,48.172466291410274],[-106.76441453305091,48.17255059730672],[-106.76444779103846,48.1725456186653],[-106.76449381481022,48.172527034234996],[-106.76452054869497,48.1725266186107],[-106.76453359689529,48.17251749252624],[-106.76455969328175,48.172499240357105],[-106.76445739132022,48.172438305022055]]]}"
000000000000000010ec,0,4323,2,2019,1,233.816649374,81.3997427468,50491.4272148,1,"{""type"":""MultiPolygon"",""coordinates"":[[[[-106.76087172702854,48.17399394158044],[-106.76087870666281,48.1740027207364],[-106.7608920736063,48.1740025134209],[-106.76087172702854,48.17399394158044]]],[[[-106.76050664165814,48.173861072260735],[-106.76041317524631,48.17386250785706],[-106.76062649088784,48.1740467831113],[-106.76067971996343,48.174041545614045],[-106.76074375255638,48.173960155497106],[-106.76078420693334,48.17397289086282],[-106.76080409840793,48.17396812063457],[-106.76050664165814,48.173861072260735]]]]}"
000000000000000010f1,0,4328,2,2099,1,103.247347137,42.3628902844,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76335638433179,48.172263113858634],[-106.76331628430788,48.17226373678435],[-106.76332647038201,48.172366294626364],[-106.76333317540104,48.17236622654472],[-106.76336022728759,48.172374729510246],[-106.76340022605643,48.17237412173902],[-106.76347648171615,48.17226127533416],[-106.76335638433179,48.172263113858634]]]}"
000000000000000010f2,0,4329,2,2102,1,123.99712396,44.4025258101,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76379459566618,48.17238595847583],[-106.76371328025743,48.17235142985396],[-106.76370629999552,48.1723426511938],[-106.76362312245841,48.17244663260612],[-106.76367049975653,48.172468231719016],[-106.76373805041541,48.17248953982593],[-106.76381515993033,48.17240346285862],[-106.76379459566618,48.17238595847583]]]}"
000000000000000010f3,0,4330,2,2104,1,106.516837331,41.9507381888,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76400426471469,48.17246309953335],[-106.76393018962914,48.172446354627304],[-106.76385321780563,48.172536855154476],[-106.76388687379054,48.172545305047244],[-106.76392719157231,48.17255361532471],[-106.76395424391188,48.17256211814218],[-106.76399456175778,48.17257042839248],[-106.76402437289948,48.17246726223237],[-106.76400426471469,48.17246309953335]]]}"
000000000000000010f4,0,4331,2,2093,1,127.677097838,54.7561899134,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76270879871954,48.17246062153859],[-106.7626956128776,48.17246532397094],[-106.76270181875832,48.1724518427799],[-106.76262607458044,48.17238599543834],[-106.76263222263442,48.17256454952072],[-106.76269895466302,48.1725635269462],[-106.76279812687002,48.17253519479592],[-106.76270879871954,48.17246062153859]]]}"
000000000000000010f5,0,4332,2,2106,1,108.400441394,42.9281590014,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76423843822447,48.172477396778014],[-106.76420499935341,48.172477880465735],[-106.76417836699278,48.17247828082036],[-106.7641382663721,48.172478904105795],[-106.76413160460159,48.17247904372442],[-106.76414193068956,48.17258602524139],[-106.76417486998629,48.17257212840947],[-106.7642685180098,48.17257518406346],[-106.76426507060211,48.17247699640637],[-106.76423843822447,48.172477396778014]]]}"
000000000000000010f6,0,4333,2,2098,1,120.393847564,44.834121128,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76331628430788,48.17226373678435],[-106.76318250205537,48.17225686448692],[-106.76318666289743,48.17237739840271],[-106.76321973954893,48.17236792534542],[-106.76332647038201,48.172366294626364],[-106.76331628430788,48.17226373678435]]]}"
000000000000000010f7,0,4334,2,2094,1,246.678153349,101.219778529,50491.4272148,1,"{""type"":""MultiPolygon"",""coordinates"":[[[[-106.76258088306837,48.17223480410364],[-106.76259745370226,48.17232837573617],[-106.76262607458044,48.17238599543834],[-106.76270181875832,48.1724518427799],[-106.76274531786373,48.172357387874804],[-106.76258088306837,48.17223480410364]]],[[[-106.7628137206616,48.172405466590526],[-106.76280719649928,48.17241002950821],[-106.7627810998382,48.17242828117876],[-106.7627550031582,48.17244653284904],[-106.76270879871954,48.17246062153859],[-106.76279812687002,48.17253519479592],[-106.76286432369022,48.17251632035648],[-106.76287758899284,48.172516127954665],[-106.7629040040477,48.17250679450802],[-106.76293708078383,48.17249732152242],[-106.7628137206616,48.172405466590526]]]]}"
000000000000000010f8,0,4335,2,2082,1,858.563152404,196.469535217,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76274021562055,48.17162497955553],[-106.76182019561043,48.17185795729942],[-106.76181502317445,48.17190270285801],[-106.76273970293533,48.171803670551306],[-106.76275805986296,48.171754222684974],[-106.7627681635748,48.1716603236587],[-106.76274021562055,48.17162497955553]],[[-106.76244451455806,48.17176349802703],[-106.76243114819668,48.1717637055344],[-106.76243146643897,48.17177262369619],[-106.76244451455806,48.17176349802703]],[[-106.76239300184196,48.171817908520104],[-106.76236626909684,48.17181832351968],[-106.76236690554782,48.17183615986448],[-106.76239300184196,48.171817908520104]],[[-106.76233900131382,48.17180088699597],[-106.76232531673851,48.17179217632119],[-106.76231258680951,48.171810220149005],[-106.76233900131382,48.17180088699597]],[[-106.76229922045063,48.17181042763819],[-106.76227925064647,48.171810687952785],[-106.7622861722996,48.17181955329659],[-106.76229922045063,48.17181042763819]],[[-106.76227127299568,48.171775083285894],[-106.76225102834263,48.171766496908695],[-106.76224495990638,48.17178440123905],[-106.76227127299568,48.171775083285894]]]}"
000000000000000010f9,0,4336,2,2083,1,847.663548454,176.154822871,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76278296351138,48.17189675479206],[-106.76273363469384,48.17182157492012],[-106.76273970293533,48.171803670551306],[-106.76181502317445,48.17190270285801],[-106.76180863644073,48.17191168901966],[-106.76180895452823,48.17192060721241],[-106.76186281726565,48.17193320572423],[-106.7627594351493,48.17199094845541],[-106.7627980010538,48.171945648162136],[-106.76278296351138,48.17189675479206]],[[-106.76262109805978,48.17185011410625],[-106.76260773164103,48.1718503216399],[-106.76261475479839,48.17185917178736],[-106.76262109805978,48.17185011410625]],[[-106.7625292692078,48.17189621399802],[-106.76254235344241,48.171891526821064],[-106.76252877014903,48.17188280098651],[-106.7625292692078,48.17189621399802]],[[-106.7625292692078,48.17189621399802],[-106.76250919791329,48.171896489539655],[-106.76252278120369,48.171905215379304],[-106.7625292692078,48.17189621399802]]]}"
000000000000000010fa,0,4337,2,2096,1,283.176115369,108.83709796,50491.4272148,1,"{""type"":""MultiPolygon"",""coordinates"":[[[[-106.76273365710814,48.17201811816086],[-106.76265016029414,48.17211317990034],[-106.76276033312955,48.17220973698805],[-106.76275816298616,48.17214722273507],[-106.76280454785497,48.17213762896519],[-106.76280971921399,48.17209288318158],[-106.76273365710814,48.17201811816086]],[[-106.76277678036371,48.17210677940934],[-106.76278380361754,48.17211562958503],[-106.76279032772533,48.17211106669575],[-106.76277678036371,48.17210677940934]]],[[[-106.76300953918043,48.172272930954],[-106.76298933005219,48.17226878322425],[-106.76295617407015,48.172273746143574],[-106.7629376361951,48.17231869967206],[-106.76291135879012,48.17233245647781],[-106.76290483464638,48.17233701939532],[-106.76302877359953,48.17244679728337],[-106.76306139437999,48.172423982604364],[-106.76308749098312,48.17240573086084],[-106.76310053927759,48.17239660498897],[-106.76313361593627,48.17238713195763],[-106.76300953918043,48.172272930954]]]]}"
000000000000000010fb,0,4338,2,2095,1,376.114393184,114.180470525,50491.4272148,1,"{""type"":""MultiPolygon"",""coordinates"":[[[[-106.76290483464638,48.17233701939532],[-106.76288544304309,48.17235520301563],[-106.76285236644411,48.17236467595453],[-106.7628137206616,48.172405466590526],[-106.76293708078383,48.17249732152242],[-106.7629636766714,48.17249248294225],[-106.76301572527906,48.17245592315484],[-106.76302877359953,48.17244679728337],[-106.76290483464638,48.17233701939532]]],[[[-106.76276033312955,48.17220973698805],[-106.76265016029414,48.17211317990034],[-106.76257205163341,48.17217242931482],[-106.76257236990362,48.172181347544466],[-106.76256652563391,48.17220381837036],[-106.76258088306837,48.17223480410364],[-106.76274531786373,48.172357387874804],[-106.76275197951193,48.17235724835543],[-106.7627690635093,48.172272126972025],[-106.76276033312955,48.17220973698805]]]]}"
000000000000000010fc,0,4339,2,2097,1,171.896576977,87.3385161959,50491.4272148,1,"{""type"":""MultiPolygon"",""coordinates"":[[[[-106.7627980010538,48.171945648162136],[-106.7627594351493,48.17199094845541],[-106.76273365710814,48.17201811816086],[-106.76280971921399,48.17209288318158],[-106.76282009798925,48.17200783026526],[-106.7627980010538,48.171945648162136]]],[[[-106.76310902909992,48.172253516894145],[-106.7630364894319,48.17228144917864],[-106.76300953918043,48.172272930954],[-106.76313361593627,48.17238713195763],[-106.76315368763613,48.1723868562731],[-106.76318666289743,48.17237739840271],[-106.76318250205537,48.17225686448692],[-106.76317594178867,48.17225698885878],[-106.76311595108972,48.17226238224419],[-106.76310902909992,48.172253516894145]],[[-106.76310272198494,48.172267013233984],[-106.7631164070293,48.172275723864836],[-106.76311595108972,48.17226238224419],[-106.76310272198494,48.172267013233984]]]]}"
000000000000000010fd,0,4340,2,2103,1,107.078954277,42.450884357,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76388987195979,48.17243804436514],[-106.76381515993033,48.17240346285862],[-106.76373805041541,48.17248953982593],[-106.76377836803562,48.17249785016097],[-106.76381950378156,48.17252849190769],[-106.76385321780563,48.172536855154476],[-106.76393018962914,48.172446354627304],[-106.76388987195979,48.17243804436514]]]}"
000000000000000010fe,0,4341,2,2100,1,130.20659098,49.0969361572,50491.4272148,1,"{""type"":""Polygon"",""coordinates"":[[[-106.76355069344004,48.172282443933916],[-106.76349655342374,48.172260999578654],[-106.76347648171615,48.17226127533416],[-106.76340022605643,48.17237412173902],[-106.7634267786066,48.17236921156358],[-106.76345391005579,48.172382224546986],[-106.76349422736659,48.17239053499185],[-106.76363789544683,48.172294573213215],[-106.76355069344004,48.172282443933916]]]}"
