system:index,E,N,NE,NW,S,SE,SW,TO_mean,TP_ID,W,first,label,minElev,.geo
00000000000000000e27_+22712-3971,84.0093198755108,91.19120742825267,53.45769999540771,39.14682517100442,17.545911611706742,87.126697000958,14.492090698687235,50.37087783238937,754,15.997270877587312,1,1,639.1500244140625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.71487062832857,48.19753074942926]}"
00000000000000000e7e_+20970-3002,47.82800476278865,84.63040484326916,37.59327322895022,36.96784061540749,36.96869843677248,56.3833116301933,31.71817405638764,44.82059525838987,1551,26.475054493350065,1,1,643.6900024414062,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.73875773417811,48.18937306360283]}"
00000000000000000f21_+20791-2795,34.493496809091845,64.45142998285925,30.94523150400922,72.56066107944017,48.8708598376526,36.18850004789057,24.613725758420216,42.36724096921919,1598,26.81402273438959,1,1,643.7000122070312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.74126274241456,48.187568606424946]}"
0000000000000000107b_+19599-1609,37.872297119199246,68.38818662223952,39.37558489785537,57.801719556904466,49.95275732597985,67.88536705443879,36.23186910859666,49.305872344857555,1926,36.93919707364656,1,1,646.530029296875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.75784912224071,48.17728139032589]}"
000000000000000010d7_+19086-1018,29.588499555083366,21.295586492199533,20.484726182768796,20.59832421121085,20.552105990833823,30.570921326282964,24.136687309516617,28.23381816458547,2114,58.6436942487878,1,1,646.6400146484375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.7650232222566,48.17212879920187]}"
000000000000000010da_+19081-1019,82.64468403494786,21.447357685539785,21.63835581666828,19.55348169196087,20.559401616828197,23.252586433770887,19.28475103344593,28.360170545629863,2115,18.500746051877087,1,1,646.6500244140625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.76508996401833,48.17213936108113]}"
000000000000000010db_+19099-1023,20.151534934286104,20.168693582881602,20.06812553679697,31.589949510924363,25.975573368626527,82.70373985806893,20.61976417740641,31.425944155275843,2113,30.130172273215834,1,1,646.6400146484375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.76483916893504,48.17217401180904]}"
000000000000000010dd_+19139-1066,75.48560509215257,21.75130726589066,23.208085476521603,29.18790745975413,22.34547860669325,22.00591586001184,22.024612482581702,31.720410475572226,2107,37.754371560972096,1,1,646.6900024414062,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.76428823732772,48.17254373961025]}"
000000000000000010df_+19108-1033,20.970574134918365,21.3286918334975,21.618946496877527,87.03786629608972,46.30615997202528,22.349310125381407,25.457111826679025,33.77884819274145,2111,25.162124856462725,1,1,646.6400146484375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.76472044824149,48.17225676055465]}"
000000000000000010e2_+19115-1049,20.37046438295296,20.809709603932163,20.221793128375168,51.18092303765997,20.783584892492897,83.12326898768865,20.40471176007425,32.19774639269011,2110,20.687515348344817,1,1,646.6300048828125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.76461883800137,48.17239842477937]}"
000000000000000010e5_+19121-1057,24.319080456438442,20.79174794782371,19.801617236177393,81.56172157528346,20.472405896641447,70.5212426701637,20.589307161808435,34.763995135303986,2109,20.054838138095306,1,1,646.6300048828125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.76453442680697,48.17246847149445]}"
000000000000000010e8_+19123-1060,30.070884172507256,24.657858513255377,20.77682537876308,60.98678183039597,21.265536621462104,25.512124549102055,21.25501105378305,28.16424281605775,2108,20.788920409193125,1,1,646.6300048828125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.7645061331393,48.172494817533604]}"
000000000000000010ec_+19409-1233,32.400251435755735,31.13985836114029,28.756606540509985,80.96527974330237,19.15738501814012,72.77161407520889,21.45545105026865,38.60782658217512,2019,22.21616643307489,1,1,646.0499877929688,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.76058025929464,48.173960424398715]}"
000000000000000010f1_+19203-1041,94.84189836796237,22.99631948024907,22.85848596197117,22.437493180250527,22.488469831681158,25.80446108694997,37.296662910321714,34.47815174661232,2099,27.101423153512584,1,1,646.8099975585938,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.7634396723381,48.17229884327723]}"
000000000000000010f2_+19182-1053,26.027495272844725,21.288330541708945,50.26428197133982,21.214252665905576,21.437602248533764,21.435971337542938,59.39891977650537,30.417868297496238,2102,22.276092565588783,1,1,646.6099853515625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.7637163231068,48.17241333994918]}"
000000000000000010f3_+19168-1063,22.50083852821797,21.73021526768541,37.583347632725165,21.685729575364633,22.040377398903132,22.288215714402753,23.28010014475788,26.658500803581806,2104,42.159182166597496,1,1,646.75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.76389981810001,48.172507653581306]}"
000000000000000010f4_+19259-1069,89.10517371128383,22.995730034122957,26.600694448168994,83.2794774110138,23.576732776606192,23.62547526283322,22.73080903818439,39.70039105646022,2093,25.68903576946842,1,1,646.7000122070312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.76267374477764,48.17253300189944]}"
000000000000000010f5_+19141-1066,80.4477758406094,22.368419895002006,23.95325768634308,28.721803812170755,22.517505034752688,22.19402176914086,22.280854193558397,33.48446327645101,2106,45.39206798003085,1,1,646.7100219726562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.76426135259817,48.17254311125863]}"
000000000000000010f6_+19213-1042,70.19757538977858,21.408403610545363,21.696850615481523,21.62527538701967,20.60322789158161,23.64119475509395,22.281177750496923,34.7720222244051,2098,76.72247239524319,1,1,646.6300048828125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.76330477951343,48.17230469192373]}"
000000000000000010f7_+19249-1063,31.30621049144323,21.811987901220647,20.07477694188296,45.279200393753925,20.171759995233742,30.827716207648983,20.204957851357506,26.67988526160902,2094,23.762472310331134,1,1,646.530029296875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.7628109880075,48.1724821967914]}"
000000000000000010f8_+19296-993,25.452002303882622,25.4234782778624,86.94961201537362,24.19641059519647,92.6855176572734,25.881928569179067,23.36629282976874,41.00009805965424,2082,24.045542228697613,1,1,646.719970703125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.7622121018059,48.17183802033201]}"
000000000000000010f9_+19296-1001,22.777234559529262,70.91874413717673,29.67122155107066,22.755100396118067,51.35488250444725,25.13380458550793,22.98057826272411,33.46750699499986,2083,22.148489963424893,1,1,646.6599731445312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.76220834143292,48.17190995183955]}"
000000000000000010fa_+19232-1044,21.511077998582152,22.164744039323637,21.62968724208011,22.014845250222933,24.436425495893104,67.4299576049061,22.475993823532164,31.747555819682752,2096,52.31771510292181,1,1,646.6099853515625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.76304843607295,48.17231670306785]}"
000000000000000010fb_+19246-1057,21.114483782694634,21.242152285560337,21.107763992727683,84.17143867436863,26.701352239462047,84.60474664486985,22.742251438217437,38.79227475765589,2095,28.654009003346474,1,1,646.6699829101562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.76285413467858,48.17242919118657]}"
000000000000000010fc_+19227-1043,38.21370828609745,22.02333424473416,22.10349492674935,21.911815558935587,21.87392432509519,40.5643289938177,22.222899704769077,32.85810244737024,2097,73.95131353876346,1,1,646.5999755859375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.76311611746634,48.17230928319171]}"
000000000000000010fd_+19173-1060,22.991546325119444,21.684274273980563,46.40038825704819,21.52277880329089,22.122936856400713,21.95683628763213,29.351475995504316,27.319288406362322,2103,32.524070451922306,1,1,646.6900024414062,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.76383401565613,48.17247910814171]}"
000000000000000010fe_+19201-1041,69.00317658771692,22.328488264123237,22.35493200517965,21.98574320750349,22.71299290580133,25.144542682219395,43.04672002972795,31.500931175750267,2100,25.43085372373018,1,1,646.6699829101562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.76346655693246,48.17229947181758]}"
