system:index,Input_FID,NDVI_mean_veg23_3,NDVI_mean_veg23_4,NDVI_mean_veg23_5,NDVI_mean_veg23_6,NDVI_mean_veg23_7,NDVI_mean_veg23_8,NDVI_sd_veg23_3,NDVI_sd_veg23_4,NDVI_sd_veg23_5,NDVI_sd_veg23_6,NDVI_sd_veg23_7,NDVI_sd_veg23_8,Shape_Area,Shape_Leng,Veg_area_m2_veg23_3,Veg_area_m2_veg23_4,Veg_area_m2_veg23_5,Veg_area_m2_veg23_6,Veg_area_m2_veg23_7,Veg_area_m2_veg23_8,.geo
00000000000000000000,5122,0.36482806090619885,0.34049039812070925,0.2675086603084915,0.25178496821458085,0.20663844992261415,0.2095198108709119,0.07994875766700583,0.07265739203256531,0.05338825277960046,0.03662333052503367,0.005415700376033783,0.00945543445729182,640.274250072,133.857400374,225.6117853501264,219.06849796070776,219.06849796070776,217.2363869162167,85.58590554630055,131.65059581083412,"{""type"":""Polygon"",""coordinates"":[[[-106.9524629251681,48.16964330503441],[-106.95226617186724,48.17008882868345],[-106.9523400789404,48.17010095870881],[-106.95235357524444,48.170105233212595],[-106.95238062561353,48.17011369545671],[-106.95240747172382,48.170117663988236],[-106.9524276429497,48.170121785498],[-106.95245453286884,48.17012582539526],[-106.95248137901821,48.17012979390608],[-106.95250806467372,48.17012934008195],[-106.952514783363,48.17012925846923],[-106.95252859475809,48.16961541497081],[-106.9524629251681,48.16964330503441]]]}"
00000000000000000001,6431,0.36465235101416726,0.32462160134156093,0.2986365187050351,0.33141730115651824,0.29798401245679806,0.3154345635305006,0.10026387589489495,0.07202125704496135,0.05337549941012277,0.06772537402756684,0.04420522911458649,0.05690752455269433,1196.35221196,232.687433524,340.8753015854779,274.11401815975415,238.5080000933479,238.5080000933479,197.92761185589958,197.92761185589958,"{""type"":""Polygon"",""coordinates"":[[[-107.02755254531249,48.154149139879905],[-107.0273722835978,48.15414786881468],[-107.02746787753925,48.15420422873138],[-107.02865791059104,48.154589674687436],[-107.02870286684575,48.15454421740313],[-107.02870927297414,48.154539653905026],[-107.02872207449506,48.15452600402685],[-107.02872830002221,48.15451249699763],[-107.02874088771011,48.1544943551569],[-107.02874722550283,48.15448535555699],[-107.02875313565256,48.154467372027796],[-107.02755254531249,48.154149139879905]]]}"
00000000000000000002,3553,0.5271019901094192,0.4533561706728076,0.4422672481433441,0.5128507618763434,0.42298473880527926,0.40708658076036064,0.17664085338360178,0.1979936630492741,0.05787179224588529,0.07872360473572579,0.0723224954961106,0.08283408392520887,831.113882541,155.423740415,142.38745045381432,210.7019464829389,114.64280826344209,168.56154874913835,168.56154874913835,168.56154874913835,"{""type"":""Polygon"",""coordinates"":[[[-106.85609702900321,48.16756907366192],[-106.85608973691096,48.167551299977816],[-106.85608958806654,48.167546877416825],[-106.85528914497868,48.167568748472796],[-106.8552227965507,48.16757873790246],[-106.85520956682014,48.16758338114839],[-106.85606339907243,48.16774827133571],[-106.85606976894466,48.16773928006726],[-106.85608261397498,48.167725648684254],[-106.85608870050923,48.167707654143264],[-106.85609468558594,48.167689674883476],[-106.85610071420408,48.16767176705486],[-106.85610699311262,48.167658266526715],[-106.85610626708683,48.1676403619737],[-106.85610558460854,48.16762252885197],[-106.85610500358095,48.167604680460975],[-106.85610432110218,48.1675868473513],[-106.85609702900321,48.16756907366192]]]}"
00000000000000000003,3655,0.5831349849512306,0.5881079228807098,0.44847333671737316,0.5425247959792614,0.4534971934079117,0.4592385931954354,0.03300565297393926,0.03455023912635865,0.02350381468304971,0.028312724715103276,0.01913775795127867,0.022998560784532128,501.474335489,122.746793203,496.29024397906136,496.29024397906136,496.29024397906136,496.29024397906136,496.29024397906136,496.29024397906136,"{""type"":""Polygon"",""coordinates"":[[[-106.85785612677488,48.16451703160257],[-106.85784250876094,48.1645083213238],[-106.85740205409499,48.16469855407979],[-106.85730603431536,48.16481173336123],[-106.8579726205747,48.16460000292589],[-106.85785612677488,48.16451703160257]]]}"
00000000000000000004,2896,0.4592174299409456,0.4896009447207868,,0.33867475750381903,0.29344019859354636,0.2961658975300547,0.10645598337350062,0.12604405974490346,,0.0683826508807587,0.04072057026283562,0.045227444614727136,1183.87371908,265.407121628,980.0375384162453,950.9897772396312,0.0,813.6014320822321,647.4270052741556,778.011246535357,"{""type"":""Polygon"",""coordinates"":[[[-106.82015970338968,48.177232594876926],[-106.8201461821568,48.17722838714315],[-106.82002202804786,48.177306229567705],[-106.82133731178878,48.177486406963205],[-106.82169876689403,48.177511962755474],[-106.82170491300141,48.1774984054353],[-106.82170434912696,48.17748055306637],[-106.82171039410436,48.177462643658366],[-106.82170987336914,48.17744923009377],[-106.82015970338968,48.177232594876926]]]}"
00000000000000000005,5280,0.49142066698807935,0.4436571576503606,0.33524253324820447,0.31259613497899136,0.2569774188293369,0.26738865798254063,0.028184261804658453,0.04851782407903194,0.045059889549449283,0.05201592306057251,0.020014348056170812,0.036152627405418185,343.247578951,80.5437965775,340.2673405665977,340.2673405665977,340.2673405665977,340.2673405665977,192.90530320709829,303.3613477220722,"{""type"":""Polygon"",""coordinates"":[[[-106.96236524546696,48.1670405494026],[-106.96230415384287,48.16701478316734],[-106.96216294354477,48.16698594900833],[-106.9621095711719,48.16698686197817],[-106.96226001573265,48.167256750022666],[-106.96240138569256,48.16711136466107],[-106.96240737003103,48.16709345151408],[-106.96240679722752,48.16708004270065],[-106.96236524546696,48.1670405494026]]]}"
00000000000000000006,1607,0.5772590264089135,0.5398431582682168,0.4381330166209509,0.48222702301984355,0.46788166866032277,0.427926418437121,0.05684583866728087,0.10386611864308805,0.0970029277447993,0.1443979765800007,0.12915565874756543,0.10819641858765666,1492.94856782,307.904783739,1390.3831350887522,1507.5991250430834,1470.9692105162376,1507.5991250430834,1507.5991250430834,1507.5991250430834,"{""type"":""Polygon"",""coordinates"":[[[-106.7410758161057,48.18627378220998],[-106.7409708463475,48.18632892917293],[-106.74096431848635,48.186333491907625],[-106.7409446001663,48.18634275544972],[-106.74093167916294,48.18635630558084],[-106.74092515129472,48.18636086831542],[-106.74091209555473,48.186369993784545],[-106.74209108122088,48.18726326047218],[-106.74223315265971,48.187314701805434],[-106.74225336271162,48.187318855047415],[-106.7410758161057,48.18627378220998]]]}"
00000000000000000007,4173,0.40619425488915206,0.4180296062239349,,0.3546755992194273,0.2940727650332372,0.30299970353713057,0.14894959528802,0.12812896613616423,,0.08905922060999413,0.024650324131184672,0.026295916207904522,721.026290746,149.20945963,263.59070228127877,263.59070228127877,0.0,263.59070228127877,158.62549258961397,167.2635136323817,"{""type"":""Polygon"",""coordinates"":[[[-106.88949494628154,48.16400563631243],[-106.88946062355849,48.16397938693458],[-106.88945356120178,48.163970548375545],[-106.8894397781297,48.16395742086122],[-106.8894192385542,48.16394429899849],[-106.88940560841938,48.16393559358798],[-106.88938520756794,48.1639270519408],[-106.88937844324177,48.1639226915796],[-106.88936471166497,48.16391400147592],[-106.88934417215613,48.16390087960628],[-106.88889378068384,48.16435938853473],[-106.88890223372947,48.1644084141326],[-106.88952897742986,48.16402288335291],[-106.88949494628154,48.16400563631243]]]}"
00000000000000000008,5431,0.27280995234542965,0.30681356279687444,0.23265106010843403,0.2516612455926158,0.2230921997129917,0.2401129380960968,0.06649400805616817,0.02484076676352849,0.026473643182211862,0.01676006469484014,0.004912979900836945,0.01745533392066076,781.632807849,134.492485187,153.8984048282399,115.16201064165901,115.16201064165901,115.16201064165901,26.173149557674634,89.25059257956113,"{""type"":""Polygon"",""coordinates"":[[[-106.97312453725054,48.16922342459068],[-106.97307560865679,48.16916617113957],[-106.97302047917199,48.16912249673504],[-106.97300718450114,48.16912271885448],[-106.97298065662002,48.16912760063468],[-106.97295417257222,48.16913255377496],[-106.97292774997372,48.16914194445675],[-106.97290757230328,48.169137827485706],[-106.97288088144361,48.169138287092245],[-106.97286086677299,48.16913859225838],[-106.9728398753688,48.16963467849752],[-106.97316113548989,48.16930759130776],[-106.97316049729781,48.16928974453453],[-106.97315996441358,48.16927640669324],[-106.97312453725054,48.16922342459068]]]}"
00000000000000000009,54,0.6129897803111292,0.5834720055132236,,0.5443895337103452,0.48230984829464435,0.47743971414056785,0.046357007118812285,0.05957656176278747,,0.08400423972853073,0.08765465902051335,0.08110624941662463,976.027317699,155.66163178,722.9548284792434,879.3676633348651,0.0,833.3332246668198,833.3332246668198,842.4876739801144,"{""type"":""Polygon"",""coordinates"":[[[-106.68068151979514,48.20327323030067],[-106.68065449068627,48.203264698584846],[-106.68063429329139,48.20326053085825],[-106.68060739148223,48.2032564254783],[-106.68058063426217,48.20325237655315],[-106.68055373248137,48.203248271158145],[-106.68052700112618,48.20324866366552],[-106.68050026977863,48.20324905616528],[-106.68047353843873,48.20324944865745],[-106.68044690852514,48.20324982604223],[-106.6804203475986,48.203254716430195],[-106.68040044792546,48.20325947291336],[-106.68037384384431,48.203264291726995],[-106.68036718259296,48.203264425623054],[-106.68033404449605,48.203273804672214],[-106.68030082232227,48.2032788289227],[-106.68028758389622,48.20328345149333],[-106.68028102406637,48.20328357028378],[-106.680612333052,48.20381463015756],[-106.68068818107093,48.203273096382254],[-106.68068151979514,48.20327323030067]]]}"
0000000000000000000a,4570,0.3375300182922058,0.30986524210615124,0.31797516548305477,0.2570706156690614,0.26288095719192134,0.23506977636285678,0.06309267442815253,0.0737847275837912,0.038401790573403274,0.054654954779452106,0.01764345464410113,0.02700013825561728,680.619613997,178.461850011,627.1717871572456,622.1984066832298,285.3156851974188,517.4949418011832,131.40220127479705,251.5490322935815,"{""type"":""Polygon"",""coordinates"":[[[-106.91664634803323,48.164194625234074],[-106.91662680286291,48.16420834241184],[-106.91660715927271,48.16421755086109],[-106.91660735916824,48.1642220442505],[-106.9165598201459,48.16420052797388],[-106.91651223751242,48.164178940291016],[-106.91651208131911,48.16417451829432],[-106.91649172559976,48.16416589594824],[-106.91648505435182,48.164166046331815],[-106.91596694559314,48.164773148318794],[-106.91597381672683,48.16477749140768],[-106.91665570890753,48.16426590003103],[-106.91665973425413,48.16419439583254],[-106.91665953435191,48.16418990244576],[-106.91664634803323,48.164194625234074]]]}"
0000000000000000000b,4467,0.4642751557015053,0.46825170592136833,0.41894228228999636,0.3820887267955241,0.2605491205638284,0.24513289796977106,0.1302018114704014,0.12773864710585286,0.08681036517118115,0.07100640695537923,0.03760338546476259,0.02919145499508451,1685.99513129,224.716910957,1087.5467249851602,1058.493787758023,1036.7691082225126,853.2864900775984,663.2607323440851,635.516498969583,"{""type"":""Polygon"",""coordinates"":[[[-106.90796043645062,48.16670179068406],[-106.90792073430086,48.166711375823816],[-106.90716145366173,48.16730012181871],[-106.90717529058803,48.167313318766794],[-106.90718251419145,48.16732657873264],[-106.90720302229204,48.16733962593747],[-106.907216859253,48.16735282288858],[-106.90723736738728,48.16736587009173],[-106.90725787554031,48.16737891729326],[-106.90727818499192,48.16738747078472],[-106.90729873685163,48.16740058938056],[-106.90732576118103,48.16740906450911],[-106.90734607067982,48.16741761798992],[-106.9073527855309,48.16741753963092],[-106.90735945671071,48.16741738987287],[-106.90735965544073,48.167421883583465],[-106.90738016369433,48.16743493077024],[-106.90738693212408,48.16743929005229],[-106.90743501737178,48.16747422208518],[-106.90744850068815,48.16747850299995],[-106.90746229414994,48.16749162854753],[-106.90803347993703,48.16669161465654],[-106.90796043645062,48.16670179068406]]]}"
0000000000000000000c,3795,0.42572859715643924,0.40632379975789645,0.4735909078270197,0.35529121877792985,0.37390182884937706,0.36823450004097,0.14387233268337205,0.16357163098961847,0.01447940226234452,0.13678882994884584,0.06931917012301846,0.0783718259070355,594.146625986,140.618353825,590.5595082002526,572.7589934704349,125.65109163172104,553.3878289316214,355.7494127161362,361.77019569546565,"{""type"":""Polygon"",""coordinates"":[[[-106.86447660137772,48.1613281752164],[-106.86438287589415,48.16132069591047],[-106.86365128410152,48.16139511727423],[-106.86365857954192,48.16141288822705],[-106.86365926590908,48.16143071909798],[-106.86366656135922,48.16144849006194],[-106.8636672477292,48.161466320944776],[-106.86368121015916,48.1614839453113],[-106.86368816243991,48.16149280084307],[-106.8636883122547,48.161497222860284],[-106.86433925845336,48.16140625573245],[-106.8645104589354,48.161341008821324],[-106.86447660137772,48.1613281752164]]]}"
0000000000000000000d,962,0.40637379241504257,0.44401678319147136,0.46553062247479066,0.4409636469994524,0.42261319645080786,0.3954385586679865,0.07763968242679443,0.10219350131942863,0.0635639311967964,0.10350102718177533,0.09499493988893731,0.08398917305258208,356.738517596,85.6786808857,36.36454132678462,352.65792900534234,166.12599980971393,352.65792900534234,352.65792900534234,352.65792900534234,"{""type"":""Polygon"",""coordinates"":[[[-106.71819429879443,48.19246431793189],[-106.71814106279624,48.19246953395919],[-106.71812134047771,48.19247879400794],[-106.71834137856598,48.19266757842796],[-106.71851303582383,48.192606944448904],[-106.71858499928571,48.19256118978739],[-106.71819429879443,48.19246431793189]]]}"
0000000000000000000e,670,0.46427200054697887,0.42892800321602953,0.3724951009978266,0.4148479117033704,0.38473735987708185,0.3782897806614281,0.07302459111573249,0.08098157036778514,0.0610300335964791,0.0682418071221782,0.0625103182520937,0.0651201369726533,974.788132236,259.777785537,984.3588036032286,832.636409894158,747.0960953656365,894.1101952945486,902.4810937320486,984.3588036032286,"{""type"":""Polygon"",""coordinates"":[[[-106.70907057456257,48.197298718248014],[-106.70905832442166,48.19733462556947],[-106.70905539175642,48.197446349873154],[-106.70933540599525,48.198433626899785],[-106.70934894820111,48.19843792396598],[-106.70935561068751,48.19843778804856],[-106.70938806552088,48.19800853696925],[-106.70907057456257,48.197298718248014]]]}"
0000000000000000000f,911,0.4107447179070734,0.34154857669846483,0.35004217357631773,0.3766693256242665,0.30785978068639563,0.3010386375792931,0.045312151578828015,0.08348136105762353,0.06387987562772468,0.08245822970370649,0.10919563413770494,0.12205675858436046,916.4221686,153.2859456,817.0140531652114,926.10583226821,334.60074142755246,426.6881227081897,580.7779895558077,832.1870049270929,"{""type"":""Polygon"",""coordinates"":[[[-106.71792321561189,48.193147194603256],[-106.71783535363102,48.19311726112783],[-106.71746877971908,48.19353809974103],[-106.7174571519298,48.19359184991481],[-106.71816715390398,48.19325076682867],[-106.71792321561189,48.193147194603256]]]}"
00000000000000000010,4441,0.21623731021633827,0.2572164845627708,0.24587935410641337,0.21776814758777618,,,0.02260683602279001,0.02503678947687149,0.03982860594987869,0.0,,,783.664703269,120.073449993,676.3630591897403,19.36949660357307,19.36949660357307,5.234992532169118,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-106.90566492211437,48.16565010514465],[-106.90565825137526,48.16565025476906],[-106.90564537449242,48.16566382053241],[-106.90562582685982,48.16567753592004],[-106.9056063228824,48.16569132270469],[-106.90559344597233,48.16570488847234],[-106.90558071420233,48.16571851031148],[-106.9055295893291,48.165781918691884],[-106.90551671236726,48.16579548447386],[-106.90551074833263,48.16581346562348],[-106.90549791502018,48.16582710280887],[-106.90549826837682,48.16583601858089],[-106.90547987770547,48.165880990235564],[-106.90546719920141,48.16589904962807],[-106.90546735404259,48.16590347182138],[-106.90546128848177,48.16592146833346],[-106.90545532439742,48.16593944952384],[-106.9054493166411,48.16595735932255],[-106.90544996550935,48.165975277638445],[-106.90545012034782,48.165979699838246],[-106.90594385298536,48.16597149889215],[-106.90595688482107,48.165962355204385],[-106.90566492211437,48.16565010514465]]]}"
00000000000000000011,1788,0.651800200311997,0.6315798044603239,0.4972779099028427,0.5927275355969122,0.5273023065019241,0.39676985418455124,0.054729296081284705,0.07322317953381363,0.038044012480628754,0.09375318284539572,0.08668775042298964,0.05047462306311589,641.948432549,131.930449117,626.1952225629021,626.1952225629021,449.03880606258616,626.1952225629021,626.1952225629021,219.28612784591374,"{""type"":""Polygon"",""coordinates"":[[[-106.74878611490107,48.18027922614465],[-106.74846043468503,48.17993136443511],[-106.74851429694908,48.180336950755134],[-106.74856145356877,48.18034962579953],[-106.748830149754,48.180394667578526],[-106.74885706376219,48.18039875183543],[-106.74878611490107,48.18027922614465]]]}"
00000000000000000012,4293,0.2919701067840352,0.36392307849930805,0.2934655402596705,0.33043269947049403,0.23141768940138233,0.2656696296680201,0.08203927614388988,0.09133686152137337,0.06217927774991191,0.06832901713793836,0.054864585041680874,0.03367858723062515,399.853753035,117.554916036,66.74730278463925,96.0637669581993,96.0637669581993,96.0637669581993,96.0637669581993,96.0637669581993,"{""type"":""Polygon"",""coordinates"":[[[-106.897350862828,48.16504630210396],[-106.89731326728058,48.165113901026714],[-106.89732188621345,48.165167348451035],[-106.89782694840945,48.16492233417574],[-106.89787682856185,48.16482769015484],[-106.897350862828,48.16504630210396]]]}"
