system:index,Input_FID,NDVI_mean_veg21_5,NDVI_mean_veg21_6,NDVI_mean_veg21_7,NDVI_mean_veg21_8,Shape_Area,Shape_Leng,Veg_area_m2_veg21_5,Veg_area_m2_veg21_6,Veg_area_m2_veg21_7,Veg_area_m2_veg21_8,.geo
00000000000000000000,5122,,,0.2646162959267446,0.2659369988804278,640.274250072,133.857400374,0.0,0.0,219.06849796070776,150.4951988669003,"{""type"":""Polygon"",""coordinates"":[[[-106.9524629251681,48.16964330503441],[-106.95226617186724,48.17008882868345],[-106.9523400789404,48.17010095870881],[-106.95235357524444,48.170105233212595],[-106.95238062561353,48.17011369545671],[-106.95240747172382,48.170117663988236],[-106.9524276429497,48.170121785498],[-106.95245453286884,48.17012582539526],[-106.95248137901821,48.17012979390608],[-106.95250806467372,48.17012934008195],[-106.952514783363,48.17012925846923],[-106.95252859475809,48.16961541497081],[-106.9524629251681,48.16964330503441]]]}"
00000000000000000001,6431,0.30534868901385404,0.2675613678163953,0.2741659110603766,0.27538883825599514,1196.35221196,232.687433524,174.103074017693,197.92761185589958,328.0466627233169,296.3678566427792,"{""type"":""Polygon"",""coordinates"":[[[-107.02755254531249,48.154149139879905],[-107.0273722835978,48.15414786881468],[-107.02746787753925,48.15420422873138],[-107.02865791059104,48.154589674687436],[-107.02870286684575,48.15454421740313],[-107.02870927297414,48.154539653905026],[-107.02872207449506,48.15452600402685],[-107.02872830002221,48.15451249699763],[-107.02874088771011,48.1544943551569],[-107.02874722550283,48.15448535555699],[-107.02875313565256,48.154467372027796],[-107.02755254531249,48.154149139879905]]]}"
00000000000000000002,3553,0.32157774908202036,0.26740104347815985,0.38542188865504234,0.37031365219008155,831.113882541,155.423740415,106.26706722483915,89.51558514763327,106.26706722483915,106.26706722483915,"{""type"":""Polygon"",""coordinates"":[[[-106.85609702900321,48.16756907366192],[-106.85608973691096,48.167551299977816],[-106.85608958806654,48.167546877416825],[-106.85528914497868,48.167568748472796],[-106.8552227965507,48.16757873790246],[-106.85520956682014,48.16758338114839],[-106.85606339907243,48.16774827133571],[-106.85606976894466,48.16773928006726],[-106.85608261397498,48.167725648684254],[-106.85608870050923,48.167707654143264],[-106.85609468558594,48.167689674883476],[-106.85610071420408,48.16767176705486],[-106.85610699311262,48.167658266526715],[-106.85610626708683,48.1676403619737],[-106.85610558460854,48.16762252885197],[-106.85610500358095,48.167604680460975],[-106.85610432110218,48.1675868473513],[-106.85609702900321,48.16756907366192]]]}"
00000000000000000003,3655,0.37537157379939584,0.3479233444963076,0.3762949635333652,0.3409856194590968,501.474335489,122.746793203,496.29024397906136,496.29024397906136,496.29024397906136,496.29024397906136,"{""type"":""Polygon"",""coordinates"":[[[-106.85785612677488,48.16451703160257],[-106.85784250876094,48.1645083213238],[-106.85740205409499,48.16469855407979],[-106.85730603431536,48.16481173336123],[-106.8579726205747,48.16460000292589],[-106.85785612677488,48.16451703160257]]]}"
00000000000000000004,2896,0.3139952178112801,0.2703871399916093,0.320653823182212,0.30891827595926424,1183.87371908,265.407121628,674.9046480066636,684.5872823378618,726.9813442454617,693.7465055577895,"{""type"":""Polygon"",""coordinates"":[[[-106.82015970338968,48.177232594876926],[-106.8201461821568,48.17722838714315],[-106.82002202804786,48.177306229567705],[-106.82133731178878,48.177486406963205],[-106.82169876689403,48.177511962755474],[-106.82170491300141,48.1774984054353],[-106.82170434912696,48.17748055306637],[-106.82171039410436,48.177462643658366],[-106.82170987336914,48.17744923009377],[-106.82015970338968,48.177232594876926]]]}"
00000000000000000005,5280,,0.1904480845685434,0.30030981219731845,0.25050217762589455,343.247578951,80.5437965775,0.0,230.07303933536306,340.2673405665977,340.2673405665977,"{""type"":""Polygon"",""coordinates"":[[[-106.96236524546696,48.1670405494026],[-106.96230415384287,48.16701478316734],[-106.96216294354477,48.16698594900833],[-106.9621095711719,48.16698686197817],[-106.96226001573265,48.167256750022666],[-106.96240138569256,48.16711136466107],[-106.96240737003103,48.16709345151408],[-106.96240679722752,48.16708004270065],[-106.96236524546696,48.1670405494026]]]}"
00000000000000000006,1607,0.36587776462730115,0.38279379129471847,0.4748427631001802,0.45898231645707904,1492.94856782,307.904783739,1507.5991250430834,1507.5991250430834,1507.5991250430834,1507.5991250430834,"{""type"":""Polygon"",""coordinates"":[[[-106.7410758161057,48.18627378220998],[-106.7409708463475,48.18632892917293],[-106.74096431848635,48.186333491907625],[-106.7409446001663,48.18634275544972],[-106.74093167916294,48.18635630558084],[-106.74092515129472,48.18636086831542],[-106.74091209555473,48.186369993784545],[-106.74209108122088,48.18726326047218],[-106.74223315265971,48.187314701805434],[-106.74225336271162,48.187318855047415],[-106.7410758161057,48.18627378220998]]]}"
00000000000000000007,4173,0.2861021952506639,0.22028064364876693,0.2835041233415258,0.276926341984007,721.026290746,149.20945963,86.64196908988204,70.93642153272442,158.62549258961397,167.2635136323817,"{""type"":""Polygon"",""coordinates"":[[[-106.88949494628154,48.16400563631243],[-106.88946062355849,48.16397938693458],[-106.88945356120178,48.163970548375545],[-106.8894397781297,48.16395742086122],[-106.8894192385542,48.16394429899849],[-106.88940560841938,48.16393559358798],[-106.88938520756794,48.1639270519408],[-106.88937844324177,48.1639226915796],[-106.88936471166497,48.16391400147592],[-106.88934417215613,48.16390087960628],[-106.88889378068384,48.16435938853473],[-106.88890223372947,48.1644084141326],[-106.88952897742986,48.16402288335291],[-106.88949494628154,48.16400563631243]]]}"
00000000000000000008,5431,,,0.22080025872723621,0.2401606897400184,781.632807849,134.492485187,0.0,0.0,115.16201064165901,115.16201064165901,"{""type"":""Polygon"",""coordinates"":[[[-106.97312453725054,48.16922342459068],[-106.97307560865679,48.16916617113957],[-106.97302047917199,48.16912249673504],[-106.97300718450114,48.16912271885448],[-106.97298065662002,48.16912760063468],[-106.97295417257222,48.16913255377496],[-106.97292774997372,48.16914194445675],[-106.97290757230328,48.169137827485706],[-106.97288088144361,48.169138287092245],[-106.97286086677299,48.16913859225838],[-106.9728398753688,48.16963467849752],[-106.97316113548989,48.16930759130776],[-106.97316049729781,48.16928974453453],[-106.97315996441358,48.16927640669324],[-106.97312453725054,48.16922342459068]]]}"
00000000000000000009,54,0.510797399099205,0.42880436838348324,0.4455688508004433,0.3691712737231501,976.027317699,155.66163178,969.8673400878905,969.8673400878905,969.8673400878905,947.6348058663162,"{""type"":""Polygon"",""coordinates"":[[[-106.68068151979514,48.20327323030067],[-106.68065449068627,48.203264698584846],[-106.68063429329139,48.20326053085825],[-106.68060739148223,48.2032564254783],[-106.68058063426217,48.20325237655315],[-106.68055373248137,48.203248271158145],[-106.68052700112618,48.20324866366552],[-106.68050026977863,48.20324905616528],[-106.68047353843873,48.20324944865745],[-106.68044690852514,48.20324982604223],[-106.6804203475986,48.203254716430195],[-106.68040044792546,48.20325947291336],[-106.68037384384431,48.203264291726995],[-106.68036718259296,48.203264425623054],[-106.68033404449605,48.203273804672214],[-106.68030082232227,48.2032788289227],[-106.68028758389622,48.20328345149333],[-106.68028102406637,48.20328357028378],[-106.680612333052,48.20381463015756],[-106.68068818107093,48.203273096382254],[-106.68068151979514,48.20327323030067]]]}"
0000000000000000000a,4570,,,0.2701149987114345,0.2698186472966725,680.619613997,178.461850011,0.0,0.0,534.2480822993259,532.4156083050896,"{""type"":""Polygon"",""coordinates"":[[[-106.91664634803323,48.164194625234074],[-106.91662680286291,48.16420834241184],[-106.91660715927271,48.16421755086109],[-106.91660735916824,48.1642220442505],[-106.9165598201459,48.16420052797388],[-106.91651223751242,48.164178940291016],[-106.91651208131911,48.16417451829432],[-106.91649172559976,48.16416589594824],[-106.91648505435182,48.164166046331815],[-106.91596694559314,48.164773148318794],[-106.91597381672683,48.16477749140768],[-106.91665570890753,48.16426590003103],[-106.91665973425413,48.16419439583254],[-106.91665953435191,48.16418990244576],[-106.91664634803323,48.164194625234074]]]}"
0000000000000000000b,4467,0.26422762870788574,0.19123953206069544,0.23519442634009854,0.26061879947128036,1685.99513129,224.716910957,59.93983546238319,86.37610189400468,927.3603474037319,901.18682011623,"{""type"":""Polygon"",""coordinates"":[[[-106.90796043645062,48.16670179068406],[-106.90792073430086,48.166711375823816],[-106.90716145366173,48.16730012181871],[-106.90717529058803,48.167313318766794],[-106.90718251419145,48.16732657873264],[-106.90720302229204,48.16733962593747],[-106.907216859253,48.16735282288858],[-106.90723736738728,48.16736587009173],[-106.90725787554031,48.16737891729326],[-106.90727818499192,48.16738747078472],[-106.90729873685163,48.16740058938056],[-106.90732576118103,48.16740906450911],[-106.90734607067982,48.16741761798992],[-106.9073527855309,48.16741753963092],[-106.90735945671071,48.16741738987287],[-106.90735965544073,48.167421883583465],[-106.90738016369433,48.16743493077024],[-106.90738693212408,48.16743929005229],[-106.90743501737178,48.16747422208518],[-106.90744850068815,48.16747850299995],[-106.90746229414994,48.16749162854753],[-106.90803347993703,48.16669161465654],[-106.90796043645062,48.16670179068406]]]}"
0000000000000000000c,3795,0.34673785369908605,0.2821591120466963,0.262507161832289,0.26474774860717515,594.146625986,140.618353825,298.4211861105526,219.10399726418888,590.5595082002526,590.5595082002526,"{""type"":""Polygon"",""coordinates"":[[[-106.86447660137772,48.1613281752164],[-106.86438287589415,48.16132069591047],[-106.86365128410152,48.16139511727423],[-106.86365857954192,48.16141288822705],[-106.86365926590908,48.16143071909798],[-106.86366656135922,48.16144849006194],[-106.8636672477292,48.161466320944776],[-106.86368121015916,48.1614839453113],[-106.86368816243991,48.16149280084307],[-106.8636883122547,48.161497222860284],[-106.86433925845336,48.16140625573245],[-106.8645104589354,48.161341008821324],[-106.86447660137772,48.1613281752164]]]}"
