system:index,Input_FID,NDVI_mean_veg23_3,NDVI_mean_veg23_4,NDVI_mean_veg23_5,NDVI_mean_veg23_7,NDVI_mean_veg23_8,NDVI_sd_veg23_3,NDVI_sd_veg23_4,NDVI_sd_veg23_5,NDVI_sd_veg23_7,NDVI_sd_veg23_8,Shape_Area,Shape_Leng,Veg_area_m2_veg23_3,Veg_area_m2_veg23_4,Veg_area_m2_veg23_5,Veg_area_m2_veg23_7,Veg_area_m2_veg23_8,.geo
00000000000000000000,8363,0.5781881177679433,0.5252946397451421,,0.3559376485125962,0.33828789210158117,0.1332142867936486,0.12105730953542004,,0.14423462309833568,0.13406496727928022,1068.02773391,255.593023742,805.7802952485926,805.7802952485926,0.0,615.327424471986,826.3343864889705,"{""type"":""Polygon"",""coordinates"":[[[-107.48053003074706,48.476027070583136],[-107.48051704330817,48.47603633146333],[-107.48050423306452,48.47604996605278],[-107.48049779072196,48.47605458846202],[-107.48048475789845,48.47606377783807],[-107.4818620266785,48.47661914088816],[-107.48187505956787,48.476609951228305],[-107.48188760160456,48.47659179955899],[-107.48189431208493,48.47659169376602],[-107.48193820310658,48.476528242495334],[-107.48194474822648,48.476523603884104],[-107.48053003074706,48.476027070583136]]]}"
00000000000000000001,3880,0.34961638636135567,0.3564681670561609,0.35211846848194905,0.30134617180700307,0.3067632602338774,0.14220046819575158,0.11949399591305888,0.06394299586217,0.0489856224119301,0.06788013331722964,1051.03476841,234.777157209,542.2030077466778,485.95100121591605,424.7506652233647,370.5825182148054,575.0153527951709,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-107.279821987382,48.42801551483212],[-107.27982864252742,48.428015382913266]]},{""type"":""Polygon"",""coordinates"":[[[-107.27980157344173,48.42801145010378],[-107.27977461322705,48.428007530852874],[-107.27974765302613,48.42800361159434],[-107.27972078873023,48.42800415043296],[-107.27969392444157,48.42800468926389],[-107.27967380505606,48.42800504969444],[-107.27966716264727,48.42800521226046],[-107.2796470432672,48.428005572685294],[-107.27859940320705,48.428589060522704],[-107.2786062887175,48.42859341191058],[-107.27863369019398,48.42860628775044],[-107.27865460265987,48.42862369686912],[-107.27866847620449,48.42863238381578],[-107.27868963178929,48.42865430682179],[-107.27982199373601,48.42801551609729],[-107.279821987382,48.42801551483212],[-107.27980157344173,48.42801145010378]]]}]}"
00000000000000000002,14273,0.5656918328402614,0.4702576819705382,,,0.2750255728850486,0.0576145322777731,0.028791202199688077,,,0.05312300894345457,689.928937411,153.086791126,429.40790061202716,429.40790061202716,0.0,0.0,480.04955674713744,"{""type"":""Polygon"",""coordinates"":[[[-107.58778876930813,48.30696843550126],[-107.58780233526588,48.3069725702962],[-107.58780949599812,48.30698131909886],[-107.58787835211189,48.307020016188304],[-107.58787858880191,48.30702444672032],[-107.58788616604116,48.30704214393331],[-107.58789280797045,48.307041960446675],[-107.58788668488047,48.307051076226976],[-107.58789332681138,48.307050892740214],[-107.58794609328262,48.30703631467363],[-107.58813018622732,48.306969629214265],[-107.58820200187301,48.30693229955154],[-107.58853298956161,48.30659432819284],[-107.58778876930813,48.30696843550126]]]}"
00000000000000000003,11416,0.5043254319143448,0.4171686541108596,,,0.31856590249548955,0.10542391175563783,0.11413740564285396,,,0.08081040266025354,814.646945334,183.102524742,656.1260665594363,656.1260665594363,0.0,0.0,472.1608621036305,"{""type"":""Polygon"",""coordinates"":[[[-107.54232095282178,48.39859093385485],[-107.54230700774123,48.39857789305395],[-107.54230650111292,48.39856894482835],[-107.54227831493179,48.39854275269425],[-107.54227818693086,48.39853829816839],[-107.5422779563406,48.398533859743694],[-107.54227051847892,48.39852058270587],[-107.54121965481204,48.398695709564116],[-107.54122024360383,48.398709040996934],[-107.54122780890735,48.3987267727199],[-107.54122854572942,48.398740159431746],[-107.54124413728779,48.39878449980313],[-107.54232839071707,48.39860421090542],[-107.54232811467976,48.39859970110517],[-107.54232095282178,48.39859093385485]]]}"
00000000000000000004,88,0.6263067823162508,0.49948695196262105,0.4268424189559039,0.3933148826078529,0.36131639746228794,0.12830292753364247,0.12593744136919888,0.10328633054812675,0.09857281832622977,0.08686606941820467,1181.1879066,239.569425503,913.8715972601199,925.0733575858322,925.0733575858322,945.392874025831,982.9065011117973,"{""type"":""Polygon"",""coordinates"":[[[-107.0926853839918,48.4110865862935],[-107.09268520830663,48.41108214448311],[-107.09268441683949,48.41106423399633],[-107.09267704343844,48.41104654435422],[-107.09267629633744,48.41102870550364],[-107.09266887858318,48.411010944248034],[-107.0926618565647,48.411002138228525],[-107.09266110946984,48.41098429939249],[-107.09265358942605,48.410966553768084],[-107.09265341374386,48.41096211196753],[-107.09265312032119,48.41095314112524],[-107.09147176343475,48.41159100751202],[-107.0914786675845,48.41159528462065],[-107.09148551379143,48.411599648971794],[-107.09149930851727,48.41160836205657],[-107.09270142033725,48.411148815750444],[-107.0926853839918,48.4110865862935]]]}"
00000000000000000005,1501,0.5961786297518155,0.619797211793042,0.5400579465221067,0.5248490433129229,0.4666079081519144,0.09677268085406418,0.07309162765104858,0.09216757362142143,0.0750407950845089,0.13373024732894911,783.551188877,178.768620272,672.0138220394358,672.0138220394358,672.0138220394358,672.0138220394358,793.6535410862343,"{""type"":""Polygon"",""coordinates"":[[[-107.14911148033062,48.41925071767325],[-107.14911129782378,48.41924627546197],[-107.14908947969835,48.41920648461738],[-107.14908221145107,48.41919316804332],[-107.14908202894738,48.419188725836705],[-107.14908143692776,48.419175327613466],[-107.14908125442402,48.419170885408334],[-107.14908107192028,48.41916644320357],[-107.14805655642223,48.419056038932034],[-107.14805714806684,48.419069437141175],[-107.14805129046528,48.41908743074203],[-107.1480519621182,48.419105286844434],[-107.14805255376004,48.419118685065996],[-107.14805273613867,48.41912312727192],[-107.1480401000159,48.41914121815078],[-107.14804028239284,48.41914566035863],[-107.14911870409131,48.41926396265318],[-107.14911148033062,48.41925071767325]]]}"
00000000000000000006,14,0.5692816029726939,0.5593632732743699,0.5201120182651436,0.4363077672059311,0.40852844748248124,0.12710777022160877,0.14165607708909306,0.12809758498026205,0.1105908405349274,0.10305972679410959,1027.57425583,235.200641965,686.9102155797624,686.9102155797624,686.9102155797624,572.0344442928541,538.9523170620789,"{""type"":""Polygon"",""coordinates"":[[[-107.0926674502282,48.41538776784081],[-107.09231301754384,48.41541655023953],[-107.09226636371805,48.41542186891058],[-107.09227373754572,48.415439560021625],[-107.09227448432003,48.41545740035596],[-107.09228150695222,48.415466207122336],[-107.09375931315995,48.415510780635906],[-107.09375913737732,48.415506338462215],[-107.09376240744815,48.41542139852011],[-107.0926674502282,48.41538776784081]]]}"
00000000000000000007,997,0.4592833604170938,0.5921151232076686,0.3990422999394613,0.582180472427067,0.5978942051089654,0.07382070525926798,0.05493686672639387,0.07713367853104224,0.08262594786170102,0.12671064263234702,765.421582528,167.169620645,561.3076288559857,512.0792149263269,581.8846203972312,561.3076288559857,581.8846203972312,"{""type"":""Polygon"",""coordinates"":[[[-107.12739254934512,48.419560729658485],[-107.12645397385207,48.419738817971464],[-107.1264543777844,48.419747774319845],[-107.12645481464784,48.41976111707563],[-107.12646235510222,48.4197788624592],[-107.12646301616172,48.419796719210225],[-107.12647718686955,48.419814312938996],[-107.12648472734476,48.41983205833796],[-107.1264986159801,48.41984522535878],[-107.12649897546771,48.41985411010624],[-107.12651355016257,48.41988066021762],[-107.1273150583612,48.41963359432484],[-107.12740649625056,48.419573809195896],[-107.12741936401814,48.41956023465718],[-107.12739254934512,48.419560729658485]]]}"
00000000000000000008,11057,0.5316720028133276,0.3983470886387016,,,0.2835164089228347,0.09218116209924365,0.1030496234084207,,,0.04611235270843391,787.953149649,177.937090597,672.4403141994101,569.7894615023743,0.0,0.0,390.28066328460096,"{""type"":""Polygon"",""coordinates"":[[[-107.54118093033966,48.40612842039639],[-107.54116053693286,48.406124397543486],[-107.54109267509511,48.40610803864323],[-107.54063473588839,48.406743467333044],[-107.54064162280197,48.40674772552735],[-107.54066214410314,48.40675620375402],[-107.54066884612581,48.40675609421029],[-107.54072334999964,48.406772744071276],[-107.54073693896639,48.40677689271225],[-107.54073721476442,48.40678140321436],[-107.54076439271634,48.40678970049165],[-107.54077119736371,48.406789574838136],[-107.54120145155824,48.40613689841142],[-107.54118093033966,48.40612842039639]]]}"
00000000000000000009,4181,0.3265514657014077,0.24058457175865558,0.24631880496333286,0.3840901255607605,0.23583148772672846,0.039903801636939136,0.025677919688976023,0.06663423331513,0.0,0.08658409215437032,939.107877426,143.567750102,860.5870118982654,826.2157084745521,234.8708844053979,35.933573464786306,383.81370412789136,"{""type"":""Polygon"",""coordinates"":[[[-107.28499322608353,48.43498731338912],[-107.28497998962547,48.434992026493354],[-107.28495986531003,48.43499238820228],[-107.28493319342428,48.43499737156741],[-107.28490666890416,48.435002410645616],[-107.28487999701969,48.43500739399689],[-107.28485332513587,48.435012377341224],[-107.28483364359766,48.43502169624983],[-107.28480721551529,48.43503119397458],[-107.2847875339651,48.43504051287734],[-107.28476785240909,48.43504983177786],[-107.28474782453982,48.43505465211627],[-107.28472814297463,48.435063971011346],[-107.28470151592799,48.43506902587438],[-107.28467494653847,48.435073993340666],[-107.28464807570865,48.43507453379305],[-107.28462150632372,48.435079501244964],[-107.28459483442893,48.43508448452458],[-107.28460891146932,48.43509761439116],[-107.2848182283165,48.435276559963825],[-107.28516829120672,48.43544828418996],[-107.28499322608353,48.43498731338912]]]}"
