system:index,Input_FID,NDVI_mean_veg21_3,NDVI_mean_veg21_4,NDVI_mean_veg21_5,NDVI_mean_veg21_6,NDVI_mean_veg21_7,NDVI_mean_veg21_8,NDVI_sd_veg21_3,NDVI_sd_veg21_4,NDVI_sd_veg21_5,NDVI_sd_veg21_6,NDVI_sd_veg21_7,NDVI_sd_veg21_8,Shape_Area,Shape_Leng,Veg_area_m2_veg21_3,Veg_area_m2_veg21_4,Veg_area_m2_veg21_5,Veg_area_m2_veg21_6,Veg_area_m2_veg21_7,Veg_area_m2_veg21_8,.geo
00000000000000000000,1435,0.33202236983076905,0.28929640463012124,0.2651064817749021,0.30525759987999035,0.3167690736506623,0.30961608767793003,0.07769213860507412,0.03759274946924006,0.027886578517895944,0.059513167285882324,0.07621131519727005,0.03492444750935614,1030.91685659,245.040054415,429.3603762159161,309.96316659964765,309.96316659964765,429.3603762159161,626.704898639754,493.2300903320313,"{""type"":""Polygon"",""coordinates"":[[[-107.2925439116741,48.375173432268],[-107.29254316797679,48.375155593742264],[-107.29252910744393,48.375142479349556],[-107.2925290094853,48.37513802572228],[-107.2925141604687,48.375107001349186],[-107.29251375985862,48.375098125743094],[-107.29103684195881,48.37535088072886],[-107.29103768726127,48.37536870353078],[-107.29103843021603,48.3753865421583],[-107.29104575396424,48.37539983563814],[-107.29255228240768,48.375208986090406],[-107.29255143635916,48.37519116337412],[-107.2925439116741,48.375173432268]]]}"
00000000000000000001,8426,,,,,0.241350554352215,0.21056788245819896,,,,,0.025449779308403506,0.022392263201919397,796.69093529,187.406324479,0.0,0.0,0.0,0.0,434.2316761690028,306.16188282686124,"{""type"":""Polygon"",""coordinates"":[[[-107.30230818543536,48.13584067101297],[-107.30217683593841,48.135887935913146],[-107.30146060825183,48.13628637759227],[-107.30148102519595,48.13629492512991],[-107.30150164517917,48.13630789041655],[-107.30152865397224,48.13631627605142],[-107.30154223151737,48.136320496570924],[-107.30158281790106,48.136333102709976],[-107.3015897590451,48.136337413972285],[-107.30161656486645,48.13634138183044],[-107.30162350601846,48.13634569309079],[-107.30233030400862,48.13588930953048],[-107.3024202669165,48.13581160990052],[-107.30230818543536,48.13584067101297]]]}"
00000000000000000002,571,0.3624128032527449,0.2831403014464117,0.2745934414574156,0.2616523814849663,0.3436516859568655,0.3761423721909523,0.087222741203583,0.0504764383632469,0.03494007159291177,0.04586158358801937,0.024792848411368924,0.018274347692504047,765.198213335,172.15510139,750.4084407133216,496.6251532161938,343.4163950602213,469.5268856572171,750.4084407133216,750.4084407133216,"{""type"":""Polygon"",""coordinates"":[[[-107.27549660511295,48.401487311091905],[-107.27547694192245,48.401496621776836],[-107.27545717631638,48.40150594827189],[-107.27543775595248,48.40151977056203],[-107.27541799033224,48.40152909705343],[-107.27541174904634,48.401538139307675],[-107.2753987231873,48.40154728792239],[-107.27607240362043,48.402065479698756],[-107.27607914353486,48.40206530177091],[-107.27609860890466,48.40205155072103],[-107.27611837479539,48.40204222399158],[-107.27613784014615,48.402028472940195],[-107.27615072559894,48.4020147966789],[-107.27616350863188,48.40200113623288],[-107.27549660511295,48.401487311091905]]]}"
00000000000000000003,10937,0.28892306746002216,0.2601512306445354,,0.21866128646364116,0.28345829142232287,0.24784938701741413,0.022184634528555514,2.2026896476745605E-4,,0.025075401980245306,0.04221404236966653,0.05017472465390929,736.239070981,167.266782936,131.72885092940984,48.54547418332567,0.0,363.69700685388915,231.9681559244792,260.8330818325866,"{""type"":""Polygon"",""coordinates"":[[[-107.36127165316854,48.035087556625136],[-107.36134302699617,48.035193271013334],[-107.3618298509266,48.0356433567947],[-107.36183627488762,48.0356386957058],[-107.36186241298415,48.035629255730136],[-107.36188890815662,48.0356242799179],[-107.36190816784088,48.035610454388454],[-107.36192778460118,48.03560109302552],[-107.36194734454229,48.03559181841741],[-107.3619667056512,48.03557797711488],[-107.36197954135841,48.03556881267475],[-107.36198600993612,48.03556422256937],[-107.36201867337083,48.03555010570429],[-107.36127165316854,48.035087556625136]]]}"
00000000000000000004,3616,0.33978927697701317,0.2650893849362484,0.265221935954918,0.3146953921283455,0.38063601181289264,0.3725964153176031,0.03897971413466986,0.023648720765724933,0.025626446395217065,0.021082744114812528,0.023897427138006744,0.022105673836795,745.457108304,166.879734873,197.91622969683482,197.91622969683482,197.91622969683482,197.91622969683482,102.87456961239087,102.87456961239087,"{""type"":""Polygon"",""coordinates"":[[[-107.27873026179087,48.2935019236224],[-107.27870359730139,48.29350244256921],[-107.27867683070941,48.29350297728459],[-107.27866344741614,48.29350324463942],[-107.27859653097677,48.29350458138491],[-107.2785056413812,48.294167393582974],[-107.27855882946152,48.29416183749458],[-107.27863187000843,48.294147030139044],[-107.27874384428533,48.29350608731529],[-107.27873026179087,48.2935019236224]]]}"
00000000000000000005,5904,0.2659479781123232,,,,0.29599493298406315,0.3115186704228522,0.005985245108604431,,,,0.04171919422313406,0.044450054565956396,758.116073771,164.645213828,63.29262886795343,0.0,0.0,0.0,677.3884373085172,770.7582690669041,"{""type"":""Polygon"",""coordinates"":[[[-107.267396136597,48.20755840218659],[-107.26739535566516,48.207540548269726],[-107.26738797261396,48.20752285438803],[-107.2673804431249,48.20750510497943],[-107.26736655451802,48.20749201077678],[-107.26735902504575,48.20747426137645],[-107.26735217995261,48.2074699262307],[-107.26735173856541,48.20746100715217],[-107.26734435555048,48.207443313292835],[-107.26733682609816,48.20742556390661],[-107.26642505893138,48.207657971309274],[-107.26643894711634,48.20767106569995],[-107.2664664287958,48.20768839089129],[-107.26740366610306,48.20757615161143],[-107.267396136597,48.20755840218659]]]}"
00000000000000000006,8766,0.2563088202209129,0.21884017221320506,0.28096751694910493,0.2103743797770516,0.20553181749123797,0.22229527559177759,0.06894162446994928,0.025197526706008194,0.03477945999132565,0.014863485146113962,0.029046109594271907,0.02450503806356678,1622.28205049,264.926985021,478.8879792157341,183.1196521534639,199.8859722361845,298.912050224753,936.5561563828412,505.0853094661937,"{""type"":""Polygon"",""coordinates"":[[[-107.29978951644254,48.12143350462895],[-107.29977807683986,48.1216257562523],[-107.29977832433049,48.121630243912094],[-107.29977912349688,48.12164806802355],[-107.29977926934137,48.121652571420775],[-107.30130918883769,48.12155493111812],[-107.30138773960417,48.121522090644675],[-107.29978951644254,48.12143350462895]]]}"
00000000000000000007,4555,0.25872043764575253,,,,0.21163352142927075,0.2512471034888534,0.026092262542165574,,,,0.044327431775600154,0.02627187641998171,810.657724056,191.837893344,195.17591768152573,0.0,0.0,0.0,316.1480786491843,282.4422389909333,"{""type"":""Polygon"",""coordinates"":[[[-107.26334610842498,48.25950511108341],[-107.26276858075265,48.25884652533709],[-107.26274228330695,48.25885598232981],[-107.26272259680471,48.25886527923019],[-107.26270295491982,48.25887464746305],[-107.26268346588608,48.25888837260097],[-107.26266382398713,48.25889774083027],[-107.26265089503576,48.25890693322908],[-107.26263792145662,48.258916054293046],[-107.26263140597595,48.258920658365454],[-107.26325262856918,48.25950694807702],[-107.26327304822279,48.25951545119278],[-107.26330012362246,48.25952386550781],[-107.26336774534485,48.25954041368384],[-107.26334610842498,48.25950511108341]]]}"
00000000000000000008,4358,0.2462937985601123,,,,0.20345283123955782,0.1952249140898038,0.020498291445805984,,,,0.03421699182377599,0.011267130728483664,726.328767742,160.058836106,157.011151302562,0.0,0.0,0.0,244.7907334271599,178.69456679400275,"{""type"":""Polygon"",""coordinates"":[[[-107.26334646151875,48.26526658814125],[-107.26337461787759,48.265297289803016],[-107.2633882818381,48.26530589833278],[-107.26340894676134,48.26531890239105],[-107.26342289753045,48.265332082382564],[-107.26344351785599,48.265345015096074],[-107.26346398530163,48.26535359037089],[-107.26349136447718,48.26536641848317],[-107.26351178732445,48.26537492240753],[-107.26351844412271,48.265374833558155],[-107.26355248015162,48.2653875728069],[-107.26411259002747,48.26489413770263],[-107.26334646151875,48.26526658814125]]]}"
00000000000000000009,3468,0.3505678390354798,0.37227949500083923,0.2740868628025055,0.30015693341584687,0.33790379611345434,0.3512467542252876,0.053982422743718894,0.0,0.0,0.0385456482903271,0.06010662309249319,0.0573333032457738,527.046461285,128.34542825,203.37055837593826,0.5221370323031557,1.3053289675245099,228.95522897757735,169.69325666240616,226.34490374396825,"{""type"":""Polygon"",""coordinates"":[[[-107.27826562631346,48.30140745224403],[-107.27837403859807,48.30143658066447],[-107.27852216669439,48.30145597180873],[-107.27854024152468,48.300959881231],[-107.27826562631346,48.30140745224403]]]}"
