system:index,Input_FID,SWA_t1,SWA_t2,SWA_t3,SWA_t4,SWA_t5,SWA_t6,SWA_t7,SWA_t8,containsNull_t1,containsNull_t2,containsNull_t3,containsNull_t4,containsNull_t5,containsNull_t6,containsNull_t7,containsNull_t8,riparian_area_m2,.geo
000000000000000003c4,2554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,455.8899120958522,"{""type"":""Polygon"",""coordinates"":[[[-106.99728222074768,47.998528649363564],[-106.99727638253387,47.998551157769896],[-106.99731326782953,47.998644245538244],[-106.99733156607029,47.99877344589512],[-106.99772667969987,47.9984941430122],[-106.99728222074768,47.998528649363564]]]}"
000000000000000003ec,2544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,175.72332709655166,"{""type"":""Polygon"",""coordinates"":[[[-106.9973328929275,47.99777300647039],[-106.99708710530388,47.9977861797012],[-106.99709400705086,47.99779057467646],[-106.99716254765305,47.9978429185533],[-106.99714990883689,47.99786101631351],[-106.99708390967379,47.99787555909493],[-106.99709777935404,47.99788877202608],[-106.99715172889786,47.99790569206087],[-106.99715935218299,47.9979322980425],[-106.99734741813982,47.99780400732371],[-106.9973328929275,47.99777300647039]]]}"
00000000000000000415,2930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,702.3036998379976,"{""type"":""Polygon"",""coordinates"":[[[-107.02426778828905,48.0036614292664],[-107.02428789539692,48.003665524325285],[-107.02429547188468,48.003687707153055],[-107.02435540854654,48.003691105262675],[-107.02436402471142,48.003740122268376],[-107.02444416983496,48.003747599968946],[-107.02443284938893,48.00379692995366],[-107.02448623735717,48.00380046944246],[-107.02450574552479,48.00379119831628],[-107.02451232624003,48.00378661808917],[-107.02453852828823,48.00377726121603],[-107.02459735609304,48.0037494016229],[-107.02453034046722,48.00373720236386],[-107.02443559734975,48.0036986540864],[-107.02442142802232,48.00367654160696],[-107.02447410356098,48.00366222050946],[-107.02449997804804,48.00364389012277],[-107.0245334729551,48.003647813644065],[-107.02456653927689,48.003642779002206],[-107.02468682948417,48.00365402311402],[-107.02469985800694,48.00364931680567],[-107.02472665913498,48.00365332601259],[-107.02473302549029,48.00364426670869],[-107.02463811165467,48.00360131075311],[-107.0245980677914,48.003597528743356],[-107.02460411873017,48.00358400578367],[-107.02454973501077,48.003553703403085],[-107.02454308495551,48.00355386026666],[-107.02443702192078,48.0035646418896],[-107.02444943928451,48.0035420596794],[-107.02432953458664,48.003539702289885],[-107.02424362261513,48.00355464984943],[-107.0242231881789,48.00354158125446],[-107.02420319429739,48.003541980653914],[-107.02418287302764,48.00353340651649],[-107.02415557436329,48.00351601568177],[-107.02412151258757,48.00349428721644],[-107.02411360886981,48.0034631309321],[-107.02421176751287,48.00342119345301],[-107.02423735825762,48.00339396083641],[-107.0240677423021,48.00331212789153],[-107.02406126277427,48.00331669264905],[-107.02404823438594,48.003321398837436],[-107.02411773643017,48.003570238467816],[-107.0241317923643,48.003587856484735],[-107.02418567767758,48.00360477763598],[-107.02420006106125,48.003631369200974],[-107.02422703243796,48.003639786508025],[-107.02424070373306,48.00364851749443],[-107.02426081082493,48.00365261255838],[-107.02426778828905,48.0036614292664]],[[-107.02426081082493,48.00365261255838],[-107.0242807036585,48.003652228540425],[-107.02426707614009,48.00364356867961],[-107.02426081082493,48.00365261255838]],[[-107.02451232624003,48.00378661808917],[-107.02452464253606,48.0037640511685],[-107.02450403732821,48.0037465746233],[-107.02449200469955,48.00377804398391],[-107.02451232624003,48.00378661808917]],[[-107.02436775663467,48.003664099651644],[-107.02435946790615,48.00362405626247],[-107.02433914652133,48.00361548214756],[-107.02435370052582,48.00364648164799],[-107.02436775663467,48.003664099651644]]]}"
000000000000000004f0,2914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,398.7478395574726,"{""type"":""MultiPolygon"",""coordinates"":[[[[-107.02339004263993,48.004020808836394],[-107.02338427465139,48.00404323434928],[-107.02337879004952,48.00407456238243],[-107.02338526975288,48.004069997600325],[-107.023424205277,48.00404252239111],[-107.02339004263993,48.004020808836394]]],[[[-107.02276196061932,48.00361648840373],[-107.02286483470186,48.00386476024137],[-107.0229318925311,48.00387703185353],[-107.0229522825955,48.00389002970069],[-107.0229659534793,48.00389876092075],[-107.02304609738962,48.00390623984131],[-107.02311304248819,48.003914016828254],[-107.02313293521499,48.00391363304881],[-107.02317984275425,48.003921738041775],[-107.02322031444511,48.00393447889167],[-107.02326722207579,48.003942583842885],[-107.02276196061932,48.00361648840373]]]]}"
000000000000000005c3,3006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1222.213805806823,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-107.02689299693982,47.99796516213585],[-107.02688547256732,47.997942963162345]]},{""type"":""Polygon"",""coordinates"":[[[-107.02689295810303,47.99796513785242],[-107.0268378652846,47.99791698133578],[-107.0266390524986,47.997938390170084],[-107.02599473895623,47.99813730872643],[-107.0268954407764,47.99819740128128],[-107.02691411866029,47.99816577808923],[-107.0269037181302,47.99806772502474],[-107.02692915869011,47.99804043889916],[-107.02689295810303,47.99796513785242]]]}]}"
000000000000000005df,3017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,430.22935937717557,"{""type"":""Polygon"",""coordinates"":[[[-107.02548188493,47.99693600941],[-107.02548814873387,47.99692696665176],[-107.02548145601138,47.996927052421476],[-107.02536563402992,47.99702736729165],[-107.02535969797005,47.99704538246381],[-107.02605322276825,47.99725198123377],[-107.02548188493,47.99693600941]]]}"
000000000000000005e3,3013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,526.0659322729334,"{""type"":""Polygon"",""coordinates"":[[[-107.02626621070476,47.99742239614122],[-107.02624546258677,47.99740486632441],[-107.02550477046745,47.99769040331044],[-107.02552541710266,47.997707948787934],[-107.02552558777148,47.99771235623729],[-107.02573696907011,47.99767293517678],[-107.02634190506484,47.99748802668043],[-107.02626621070476,47.99742239614122]]]}"
000000000000000005e4,2994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,126.82595316274092,"{""type"":""Polygon"",""coordinates"":[[[-107.02600715263037,47.99913311634386],[-107.0258459074037,47.99909575559907],[-107.0258138857918,47.999127621905295],[-107.02579444981217,47.9991413153691],[-107.02578253336563,47.99917727612963],[-107.02594356425706,47.999210158347275],[-107.02595004292363,47.999205593843136],[-107.02594213805206,47.999174440294226],[-107.02599480734895,47.99916011975413],[-107.02601434441831,47.99914641084895],[-107.02600715263037,47.99913311634386]]]}"
000000000000000005e5,2953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,171.66589284315705,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-107.02569652982409,48.0019077365973],[-107.02570318025879,48.001907619276786]]},{""type"":""Polygon"",""coordinates"":[[[-107.02563542176395,48.00187753878316],[-107.02563592018961,48.00189091981886],[-107.02559691821497,48.001913971514604],[-107.02565168626955,48.00195315910224],[-107.02569649836101,48.00190775378123],[-107.02563542176395,48.00187753878316]]]},{""type"":""Polygon"",""coordinates"":[[[-107.02579141043226,48.00195070734425],[-107.02575269242558,48.00198266126258],[-107.02569984840758,48.00199257473548],[-107.0258367279758,48.00208841088528],[-107.02587551562796,48.00206088007875],[-107.025894953234,48.00204718579257],[-107.02590796895302,48.002037969753985],[-107.02593367125371,48.002015231777136],[-107.02579141043226,48.00195070734425]]]},{""type"":""Polygon"",""coordinates"":[[[-107.02593598097751,48.00207321960021],[-107.0258970484168,48.00210069471768],[-107.02588380595756,48.00210092209933],[-107.02587089132942,48.00211012274909],[-107.02590473914071,48.0021273710676],[-107.02590516809502,48.0021363289444],[-107.02593263785661,48.00215812663556],[-107.02592434746332,48.00211808457699],[-107.0259235648911,48.002095801335805],[-107.02594965240034,48.00208195007853],[-107.02593598097751,48.00207321960021]]]}]}"
000000000000000005f7,2956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,122.63527497788891,"{""type"":""Polygon"",""coordinates"":[[[-107.02591109014924,48.00177885657301],[-107.02590586632711,48.00181473335799],[-107.02606690875096,48.0018476167356],[-107.02609762000901,48.00178452309832],[-107.02610189024618,48.001721955463324],[-107.02591109014924,48.00177885657301]]]}"
