system:index,E,N,NE,NW,S,SE,SW,TO_mean,TP_ID,W,first,label,minElev,.geo
000000000000000003c4_+2425+18841,39.73078434778923,88.03796065911881,55.925079496322724,37.15410637602482,52.69473668971548,43.48175559221804,87.52778799244804,55.19849762877088,2554,37.03576987652985,1,1,703.4688720703125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.99753995596917,47.99856133422266]}"
000000000000000003ec_+2451+18924,21.099769552060764,84.91532293739165,89.76877532948744,28.00327424492791,45.381702941667854,28.668365347336646,89.26317418825833,51.327080628165284,2544,23.516260484191648,1,1,703.1204223632812,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.99722712501492,47.99780743106863]}"
00000000000000000415_+427+18362,57.42034127193449,35.34870616444097,39.444612051216694,79.56221900687538,36.695638746106724,29.06720523496162,28.665579001983268,41.556910201034306,2930,26.250980130755316,1,1,707.4144897460938,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02410891570545,48.00344028176766]}"
000000000000000004f0_+520+18319,49.52407258193379,27.558587910128423,25.910610628328257,61.27778438894446,22.614575830917104,22.060978668454325,28.415275769794412,38.97442551113156,2914,74.4335183105517,1,1,706.9431762695312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02284443082534,48.003800536185516]}"
000000000000000005c3_+286+18959,29.438263457860046,85.18206244440663,29.039975325698002,28.68253311547962,96.57568516079047,29.26758770909899,30.098805731413172,44.695849850686635,3006,29.281885860746108,1,1,710.3172607421875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02625115276655,47.998111408761666]}"
000000000000000005df_+308+19057,33.79030738271018,37.41986496578894,28.275575289221052,42.29097542600636,48.60506690064809,31.282453614146682,39.338129980576475,37.321369267650056,3017,37.56858058210267,1,1,710.7597045898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02599785945017,47.99722382053434]}"
000000000000000005e3_+296+19029,29.8385516310272,35.73147844518192,51.59418450055464,33.4771423190434,41.054206796723726,32.75887074142247,35.391766716080866,36.716941604724354,3013,33.88933168776064,1,1,710.6533813476562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02614679431859,47.99747904093332]}"
000000000000000005e4_+310+18842,18.847711611366208,53.354981077453466,18.655494551708273,35.16499207827942,66.97232468766103,39.2312177297814,18.496301762113276,33.73853989219017,2994,19.18529563915827,1,1,709.119873046875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.0258800342411,47.999156797364]}"
000000000000000005e5_+300+18526,28.099165372110207,36.7936448505544,20.029690034355,46.785174956515,23.49064263947824,90.63787988840738,22.37303977550313,35.54511136612104,2953,16.151653412044993,1,1,707.8238525390625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02588023572633,48.00200149744444]}"
000000000000000005f7_+288+18550,25.237519615160977,64.26137503127387,29.308456118705536,15.603604997039511,25.960155935060413,59.8491926133826,17.217375121605457,31.66502005262314,2956,15.88248098875674,1,1,707.8726196289062,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.0260512000174,48.00178907011839]}"
000000000000000005ff_+277+18737,17.239973506538675,72.20237234917224,52.65386216396394,16.91275398663464,62.19844797576795,36.8242836047166,16.78254038809456,36.44748758773994,2982,16.76566672703089,1,1,708.4511108398438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02627776870676,48.000110463045964]}"
00000000000000000604_+289+18918,20.806586000097965,75.78932844163879,22.710790898880845,23.605546868592853,63.11716465094667,24.612783843483456,23.582526831140726,34.692653009275986,3002,23.316496539426538,1,1,709.823974609375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02619359825219,47.998479278963046]}"
00000000000000000606_+290+18994,27.760470095703376,79.99256975596654,25.398756606782527,31.27594171434442,67.62233073501346,29.510178075456558,32.16416862729561,40.763565589476336,3010,32.384109105248164,1,1,710.5164794921875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.02621237239899,47.997795509013734]}"
00000000000000000609_+291+19009,37.675540834492104,68.57911597841343,27.07680449919893,33.000646497968475,93.47913811027794,29.19857444354642,33.56381915678259,44.60484622992729,3011,34.26513031873845,1,1,710.6061401367188,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.0262053231954,47.997660326339926]}"
