system:index,Input_FID,SWA_t1,SWA_t2,SWA_t3,SWA_t4,SWA_t5,SWA_t6,SWA_t7,SWA_t8,containsNull_t1,containsNull_t2,containsNull_t3,containsNull_t4,containsNull_t5,containsNull_t6,containsNull_t7,containsNull_t8,riparian_area_m2,.geo
00000000000000003bb5,1,0.0,0.0,2.0849765758888394,0.0,0.0,2.0849765758888394,2.0849765758888394,2.0849765758888394,0,0,0,0,1,0,0,0,2.086663529276848,"{""type"":""Polygon"",""coordinates"":[[[-107.54939440605239,48.06445624164848],[-107.54938845376901,48.06446973851325],[-107.5494281356368,48.06446443596746],[-107.54939440605239,48.06445624164848]]]}"
000000000000000046e1,2,0.0,0.0,36.5251471989295,0.0,0.0,37.54534503782497,36.5251471989295,36.5251471989295,0,0,0,0,1,0,0,0,95.03815099596977,"{""type"":""Polygon"",""coordinates"":[[[-107.54940994386682,48.064366573704426],[-107.54939440605239,48.06445624164848],[-107.5494281356368,48.06446443596746],[-107.54952749105541,48.064453262347904],[-107.54954578456093,48.064417150156956],[-107.54956462025446,48.0643943719861],[-107.54940994386682,48.064366573704426]]]}"
000000000000000046c6,3,0.0,0.0,0.11801774361554314,0.0,0.0,28.48425920967962,0.11801774361554314,0.11801774361554314,0,0,0,0,1,0,0,0,134.3018043190241,"{""type"":""Polygon"",""coordinates"":[[[-107.54941980792631,48.06429488401953],[-107.54940976695349,48.064362076428296],[-107.54940994386682,48.064366573704426],[-107.54956462025446,48.0643943719861],[-107.5495957405986,48.06434906543223],[-107.54960037130289,48.064308703834726],[-107.54959927186412,48.06428640728887],[-107.54941980792631,48.06429488401953]]]}"
000000000000000046db,4,0.0,0.0,0.0,0.0,0.0,26.16590738132888,31.24068826039632,31.24068826039632,0,0,0,0,1,0,0,0,116.03046046197414,"{""type"":""Polygon"",""coordinates"":[[[-107.54959157634103,48.064264289593964],[-107.54957726978259,48.06424672214617],[-107.54955468040687,48.06419363215202],[-107.54940890122734,48.064210232137455],[-107.54943094818897,48.06424998822248],[-107.54941980792631,48.06429488401953],[-107.54959927186412,48.06428640728887],[-107.54959157634103,48.064264289593964]]]}"
000000000000000046e2,5,0.0,0.0,42.122022643743776,0.0,0.0,50.96027014910007,54.52441835567064,54.52441835567064,0,0,0,0,1,0,0,0,107.92964911460876,"{""type"":""Polygon"",""coordinates"":[[[-107.54952521644356,48.06413623976796],[-107.5495303026932,48.064104856859394],[-107.5493845238931,48.064121456769946],[-107.54939318677684,48.06416144458203],[-107.54940133764042,48.064192540791886],[-107.54940189479315,48.06420150334864],[-107.54940890122734,48.064210232137455],[-107.54955468040687,48.06419363215202],[-107.54955426999719,48.06418472453998],[-107.54952521644356,48.06413623976796]]]}"
000000000000000046dc,6,0.0,0.0,12.239813339009004,0.0,0.0,73.99493603355745,12.239813339009004,12.239813339009004,0,0,0,0,1,0,0,0,102.77312059700489,"{""type"":""Polygon"",""coordinates"":[[[-107.54950124922995,48.064056372151725],[-107.54947958251859,48.064021081509],[-107.54945208405451,48.064003871781736],[-107.54934841914306,48.06406417230104],[-107.54938232526676,48.06407686383572],[-107.5493845238931,48.064121456769946],[-107.5495303026932,48.064104856859394],[-107.54952902636052,48.06407806314745],[-107.54950124922995,48.064056372151725]]]}"
000000000000000046da,7,0.0,0.0,26.735151140830094,0.0,0.0,11.104230620814302,0.0,0.0,0,0,0,0,1,0,0,0,101.75946809351444,"{""type"":""Polygon"",""coordinates"":[[[-107.54941051272415,48.063973505000824],[-107.54935684875625,48.06396579226854],[-107.5493227092971,48.06394869041592],[-107.54925305213258,48.064021666316556],[-107.54930070732615,48.06404296277149],[-107.54934172144891,48.064064367106575],[-107.54934841914306,48.06406417230104],[-107.54945208405451,48.064003871781736],[-107.54941051272415,48.063973505000824]]]}"
000000000000000046ca,8,0.0,0.0,44.37502158623115,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,84.8180723786354,"{""type"":""Polygon"",""coordinates"":[[[-107.54931578960337,48.06394431705312],[-107.54929544445052,48.063935890994635],[-107.54926680182066,48.063896313924],[-107.5491558522756,48.063943404087105],[-107.54918380591049,48.063969592389164],[-107.5492044747006,48.063982570663626],[-107.54925305213258,48.064021666316556],[-107.5493227092971,48.06394869041592],[-107.54931578960337,48.06394431705312]]]}"
000000000000000046c8,9,61.67403638316136,0.0,61.67403638316136,0.0,0.0,61.67403638316136,0.0,0.0,0,0,0,0,1,0,0,0,88.635248452425,"{""type"":""Polygon"",""coordinates"":[[[-107.54925947180482,48.06388303299727],[-107.54922561105519,48.06387041238432],[-107.54918404015089,48.06384004557155],[-107.54916341656309,48.06382713825063],[-107.5490793215779,48.06387812014208],[-107.54909307061978,48.06388672504371],[-107.54914141433167,48.06392141035748],[-107.5491558522756,48.063943404087105],[-107.54926680182066,48.063896313924],[-107.54925947180482,48.06388303299727]]]}"
000000000000000046d5,10,21.261769488746047,0.0,38.941024275387036,0.0,0.0,38.97249601027545,0.0,17.710726521529402,0,0,0,0,1,0,0,0,91.67060062289238,"{""type"":""Polygon"",""coordinates"":[[[-107.54913528616123,48.063796452782],[-107.54907337048859,48.06375765988609],[-107.54898955415798,48.06381312287538],[-107.5490243820379,48.06384361362006],[-107.5490793215779,48.06387812014208],[-107.54916341656309,48.06382713825063],[-107.54913528616123,48.063796452782]]]}"
