system:index,E,N,NE,NW,S,SE,SW,TO_mean,TP_ID,W,first,label,minElev,.geo
00000000000000003bb5_-38907+12689,14.034234466776013,40.715488619174785,14.765081642758673,82.02432802224922,93.45878367687689,16.581841010191056,19.84256410542237,37.21946867284675,1,16.33342783932507,1,1,691.0485229492188,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.54941795010467,48.06446245801317]}"
000000000000000046e1_-38908+12689,13.682520903161091,49.13459195936992,14.72795915937401,53.13063898401895,88.50874981603407,17.86926772674569,17.408614301348834,33.58241668086886,2,14.19699059689826,1,1,691.0123901367188,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.54943136882093,48.06446268205574]}"
000000000000000046c6_-38914+12702,16.093512900827392,85.14356723102983,29.991755298375864,16.628658770265048,39.80846075394045,46.17280195425114,14.180781731352354,32.72983995445069,3,13.819180995563428,1,1,691.0230102539062,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.54951622602971,48.0643470959384]}"
000000000000000046db_-38911+12715,14.429587672620414,72.14145798555785,25.288767980424538,13.351018203703859,86.39548818665018,16.79246317678178,42.36091545742091,35.58436439622016,4,13.915216506601723,1,1,691.0298461914062,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.54948031494787,48.064229493489314]}"
000000000000000046e2_-38907+12725,14.885491826937397,84.24112566821555,21.695297126890452,25.869611314326093,32.041616815414216,14.501600303333447,44.733236602287214,31.46810057198876,5,13.776824918505724,1,1,691.0554809570312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.54942998269138,48.06413865090896]}"
000000000000000046dc_-38909+12731,18.878537234622655,19.78450768258037,78.4948089195711,13.192743635827014,88.91078484104227,18.241928585452484,15.603454244374035,33.19669048722231,6,12.4667587543086,1,1,691.0416870117188,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.54945882534773,48.06408513113353]}"
000000000000000046da_-38903+12737,24.00175530219198,24.98409303049175,68.22204808796769,19.14696653907798,23.07676942513197,16.710937277251404,95.80070860543157,36.18772357106727,7,17.558510300993788,1,1,691.2366943359375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.54938031909785,48.06402981901717]}"
000000000000000046ca_-38895+12742,17.454595640207245,25.43079031020727,86.81043888450583,27.65852508156044,18.60867629471953,15.429977015574195,56.353315278787996,36.02125811931218,8,40.42374644893494,1,1,691.4948120117188,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.5492746415696,48.06398305337278]}"
000000000000000046c8_-38885+12756,24.19038989497112,24.829360682145236,95.9216406575661,26.356181793280506,22.795141170954636,16.953979870138085,84.76658513745917,40.19120236802959,9,25.716339737721924,1,1,691.4540405273438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.54914513562422,48.0638548876995]}"
000000000000000046d5_-38877+12764,22.30051150746415,24.058198085861846,67.94652501477634,24.591537267768516,22.97029629215909,19.01982818222301,88.21997320730648,36.576779354223596,10,23.50736527622935,1,1,691.4063110351562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.5490404615608,48.06378113790949]}"
000000000000000046d7_-38871+12768,27.055905578823335,21.018149690863126,31.512409365769308,22.97684696559672,19.28961000164749,17.44240623317107,78.61941629230277,30.01146786031908,11,22.17699875437883,1,1,691.2498779296875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.54896128757797,48.06374381478967]}"
000000000000000046de_-38868+12769,23.046423575146363,21.92923393336416,30.057026430122143,23.496377118560616,18.97342378058947,15.449255833491904,71.74631640351211,28.961888499011483,12,26.997050917305103,1,1,691.3554077148438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.54892136630781,48.06373414785228]}"
000000000000000046c9_-38855+12774,21.790257177647533,29.731612189912312,85.25711874439018,24.461814230696675,12.81208753224736,11.605301026413471,25.83210005114954,33.25687258350117,13,54.564689715552255,1,1,691.4484252929688,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.54874859720722,48.06368626120372]}"
000000000000000046d6_-38844+12782,17.318466305854074,30.950446924976305,87.38662844627005,27.886059775419547,15.977511542237451,11.466831451469744,63.351412430661085,35.709170919721146,14,31.336010480880923,1,1,691.5302734375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.5486036685505,48.063611838648406]}"
000000000000000046cb_-38836+12791,13.334985746614507,32.459142902433506,59.900317715215856,28.43737975712836,19.736581284263707,10.023141277910526,89.31193563319961,35.55749014432773,15,31.25643683785575,1,1,691.5665283203125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.5484993301243,48.06352909372188]}"
000000000000000046ba_-38831+12799,13.02140556657298,52.00610216555127,31.673483953286024,27.98406955548557,26.264719469775308,10.896669908926839,70.84694124544885,32.83436586703854,16,29.981535071261476,1,1,691.4915771484375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.54843491298139,48.06345601581739]}"
000000000000000046b9_-38829+12804,12.569287665875876,76.52765761601444,22.92509097739311,25.29560683032473,32.38661200331253,12.783233171303507,44.6059245597502,31.96325208415908,17,28.612603849298225,1,1,691.5291748046875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.54840974810652,48.0634105942878]}"
000000000000000046b6_-38828+12812,13.600389843771183,87.03346349848565,22.721583083344342,25.33671675267678,73.48311430548024,16.37089134855789,30.73292144000743,36.65144979017501,18,23.93251804907652,1,1,691.589599609375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.54839900493106,48.06333841298388]}"
000000000000000046b5_-38826+12829,12.780881642209906,80.12574771431446,18.30937989465326,25.537952830008223,81.53232164952348,17.152029936659773,27.236423261273842,35.81970199717411,19,23.882879048749942,1,1,691.536865234375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.54837785307947,48.06318505572152]}"
000000000000000046b8_-38825+12835,11.162377677689065,81.70214236665971,16.773243253861295,25.37822066797689,69.89155532243805,15.928366552701803,28.973008835655953,34.25500976439425,20,24.231163438171237,1,1,691.447021484375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.54836644116978,48.06313086369461]}"
000000000000000046b3_-38823+12846,10.30555759724929,85.6980675244619,12.687677610182718,32.36482419984108,55.218164894105925,12.536000617936466,37.347424065630925,33.822075487886096,21,24.418887393680492,1,1,691.5999755859375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.5483432830055,48.06303147427748]}"
000000000000000046b2_-38825+12859,10.826657967500765,56.65020579463439,13.323790516568948,30.99422996733699,80.21755354020543,16.85695965234818,24.745209980554904,32.13446183642882,22,23.46108727228095,1,1,691.505615234375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.5483744670306,48.06291499222698]}"
000000000000000046b4_-38829+12868,13.1249708827104,28.85736093239153,16.219092865042754,24.617030770198852,36.72437642668238,36.50653638698187,20.127943962485304,24.45151033058001,23,19.434770418146996,1,1,691.122314453125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.54843114989464,48.06283493706022]}"
000000000000000046b1_-38829+12869,12.589860795211848,27.582817644526912,15.442059858606015,25.058389338285124,38.629920827728384,31.978112705838797,19.919574999335723,23.852351083193938,24,19.618072496018655,1,1,691.1240234375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.54843148429384,48.0628259424147]}"
