system:index,Input_FID,NDVI_mean_veg19_3,NDVI_mean_veg19_4,NDVI_mean_veg19_5,NDVI_mean_veg19_6,NDVI_mean_veg19_7,NDVI_mean_veg19_8,NDVI_sd_veg19_3,NDVI_sd_veg19_4,NDVI_sd_veg19_5,NDVI_sd_veg19_6,NDVI_sd_veg19_7,NDVI_sd_veg19_8,Shape_Area,Shape_Leng,Veg_area_m2_veg19_3,Veg_area_m2_veg19_4,Veg_area_m2_veg19_5,Veg_area_m2_veg19_6,Veg_area_m2_veg19_7,Veg_area_m2_veg19_8,.geo
00000000000000000000,18079,0.6504940587430128,0.4129105989151659,0.5420326876190633,0.6502291940068016,0.6758772283479052,0.6869525508214609,0.03644952418328085,0.12218859581366869,0.05763911962784485,0.044092724378241945,0.03652883817855438,0.02854852120191804,1879.3647106,248.061070867,1875.611851411707,1875.611851411707,1875.611851411707,1875.611851411707,1875.611851411707,1875.611851411707,"{""type"":""Polygon"",""coordinates"":[[[-108.35519477591495,47.91275508079081],[-108.35518815312777,47.91275531553286],[-108.3551615682182,47.91275611392332],[-108.35513503821733,47.91275682522149],[-108.35510883144673,47.91276208657514],[-108.35508262467609,47.91276734792212],[-108.35505637102322,47.912772538975794],[-108.35491273303914,47.9128124732208],[-108.35522419543392,47.91372358209503],[-108.35537378563413,47.912749880865746],[-108.35519477591495,47.91275508079081]]]}"
00000000000000000001,18078,0.6686860725106885,0.47633205651773375,0.5296090769148885,0.6603476351136806,0.6697894522194822,0.6735396944964277,0.03176397177786668,0.13303093531923593,0.08019419317262899,0.07346243269316569,0.042423320767359995,0.027140038755361202,1331.09027477,273.72714712,1352.7190384808705,1352.7190384808705,1352.7190384808705,1352.7190384808705,1352.7190384808705,1352.7190384808705,"{""type"":""Polygon"",""coordinates"":[[[-108.35491273303914,47.9128124732208],[-108.3548605489105,47.91282740530742],[-108.3548343421284,47.91283266659287],[-108.35481503442864,47.91284217294111],[-108.35478905706285,47.91285184371493],[-108.3547697493507,47.912861350057824],[-108.3547633559895,47.912865994271186],[-108.35475044163255,47.91287085639867],[-108.35472395854106,47.91287163786988],[-108.35469732678989,47.91287236584436],[-108.35469070401417,47.91287260055201],[-108.35523862495414,47.91394646020451],[-108.35522419543392,47.91372358209503],[-108.35491273303914,47.9128124732208]]]}"
00000000000000000002,18080,0.6465622709972366,0.44188669311092194,0.5177593168283298,0.6256179405679957,0.6673795709377053,0.6866708940141503,0.04124784490447318,0.14785546456981277,0.09270105257589253,0.06677946819031037,0.045715408650621916,0.032652005675288844,1427.27887919,291.906158847,1405.3243404612824,1405.3243404612824,1405.3243404612824,1405.3243404612824,1405.3243404612824,1405.3243404612824,"{""type"":""Polygon"",""coordinates"":[[[-108.35552025042831,47.91275449923332],[-108.35550005873274,47.91275065346782],[-108.35547357552916,47.91275143514891],[-108.35544709233199,47.91275221682247],[-108.35542685377787,47.9127483007546],[-108.35537378563413,47.912749880865746],[-108.35522419543392,47.91372358209503],[-108.35523862495414,47.91394646020451],[-108.35524761546563,47.913981960600964],[-108.35559406317688,47.912765724335024],[-108.35552025042831,47.91275449923332]]]}"
00000000000000000003,18103,0.6762738403197947,0.3803680527052107,0.5642036048081274,0.661617618876808,0.6763409507915912,0.69458885705023,0.032743744937289966,0.08186199586989039,0.04823875079661486,0.044091336923619544,0.04421384909848804,0.033968596411555634,3214.12385413,251.764474364,3212.296770013547,3212.296770013547,3212.296770013547,3212.296770013547,3212.296770013547,3212.296770013547,"{""type"":""Polygon"",""coordinates"":[[[-108.35841697356929,47.91275014726756],[-108.35840368069049,47.91275054692597],[-108.35838371793025,47.91275111126765],[-108.35835723396903,47.91275189377139],[-108.35833102674857,47.912757156024306],[-108.3583047726382,47.912762347985726],[-108.3582785654177,47.91276761022523],[-108.35821971093071,47.912782708832445],[-108.358132602442,47.912771885459385],[-108.3581124648032,47.912767953182566],[-108.35808587911474,47.91276875241088],[-108.35805911851807,47.91276505507086],[-108.3580458256811,47.91276545467828],[-108.35782030974175,47.91277209342361],[-108.3578071187201,47.91277247619586],[-108.35778053310882,47.91277327533689],[-108.35775404929036,47.912774057669296],[-108.35772779525051,47.912779249471264],[-108.35770821105393,47.91278427663009],[-108.35768200390177,47.912789538705624],[-108.35767533405937,47.91278970334018],[-108.35748618002204,47.91284441050876],[-108.35746659580907,47.91284943762456],[-108.35745992597045,47.91284960224409],[-108.35819496790207,47.913426678104976],[-108.3585826492012,47.91274527052931],[-108.35841697356929,47.91275014726756]]]}"
00000000000000000004,18076,0.6480644309171919,0.4607970304056207,0.4665368181292655,0.620286048387086,0.6733799899506693,0.6989624390298448,0.043025073261006526,0.13696469657417198,0.0901984137027164,0.084277347110226,0.06983319234203107,0.050175717015288966,1531.47042028,324.318611905,1528.1514468623145,1528.1514468623145,1528.1514468623145,1528.1514468623145,1528.1514468623145,1528.1514468623145,"{""type"":""Polygon"",""coordinates"":[[[-108.35525331524887,47.914071139668664],[-108.35445923450554,47.9128882512814],[-108.35443959559571,47.912893364857176],[-108.35441306568922,47.91289407595332],[-108.35438713517547,47.91290381691488],[-108.35438046553355,47.91290398131352],[-108.35423030638184,47.912944132521595],[-108.35527124946793,47.91414207036249],[-108.35525331524887,47.914071139668664]]]}"
00000000000000000005,18088,0.6263019468983131,0.3705529483867547,0.5061503029655374,0.5693652921531807,0.5755176641007625,0.6154004252278938,0.06319457053942724,0.1306984845915865,0.0695908778677225,0.05998113486203568,0.06672157548287436,0.0457471292765553,1780.52852588,253.071083175,1791.7056160721124,1791.7056160721124,1791.7056160721124,1791.7056160721124,1791.7056160721124,1791.7056160721124,"{""type"":""Polygon"",""coordinates"":[[[-108.35652088255313,47.91281460569199],[-108.3565139362715,47.912810290470695],[-108.35648762748323,47.912815569015486],[-108.35646114397447,47.91281635098045],[-108.35643489008949,47.91282154242563],[-108.35640868309001,47.912826804150036],[-108.3563824292051,47.91283199558177],[-108.35637580632759,47.91283223040922],[-108.35632362193392,47.91284716331141],[-108.3563169521723,47.91284732784879],[-108.35630365953553,47.91284772720813],[-108.35612287910634,47.91282622445507],[-108.35610931003941,47.91282214401021],[-108.35608282662537,47.91282292586747],[-108.35606953402805,47.912823325192875],[-108.35641734166879,47.91378242998653],[-108.35652740365121,47.91281438765406],[-108.35652088255313,47.91281460569199]]]}"
00000000000000000006,18105,0.6805855465024963,0.46285513876486417,0.5653159224437867,0.6382220627763958,0.6575290333399091,0.6756799677179658,0.04582911878941051,0.16986955217859603,0.09242375539602829,0.05809899988981025,0.04366990814073202,0.027401266370150914,865.784026222,217.400742572,839.3021617216223,839.3021617216223,839.3021617216223,839.3021617216223,839.3021617216223,839.3021617216223,"{""type"":""Polygon"",""coordinates"":[[[-108.35871597515822,47.91275033700035],[-108.3587093052535,47.912750501708906],[-108.35824575482012,47.913594945449226],[-108.35826187809883,47.91363909965401],[-108.35855535864053,47.91334916545811],[-108.35876959863594,47.91275771448639],[-108.35871597515822,47.91275033700035]]]}"
00000000000000000007,18089,0.6521234803017633,0.44895721477043626,0.5087559624470742,0.5681386247444491,0.5788481584635512,0.6200817493994328,0.06162683178623201,0.15868453120809445,0.10826273659856551,0.06814247684604309,0.059280249366945974,0.04115654846525295,1391.41961574,303.790011359,1335.8844335219442,1335.8844335219442,1335.8844335219442,1335.8844335219442,1335.8844335219442,1335.8844335219442,"{""type"":""Polygon"",""coordinates"":[[[-108.35652740365121,47.91281438765406],[-108.35641734166879,47.91378242998653],[-108.35645109756209,47.91409863771902],[-108.35672643337958,47.91280853407803],[-108.35652740365121,47.91281438765406]]]}"
00000000000000000008,18104,0.677849849381271,0.4395220065234983,0.5651597336171735,0.6372803648968998,0.651858654637052,0.6689190626215986,0.04807998787240069,0.1688747790202137,0.08065366084674669,0.05008336302511063,0.04427147901388007,0.025548169597992363,875.046921149,209.62637839,876.1262984930297,876.1262984930297,876.1262984930297,876.1262984930297,876.1262984930297,876.1262984930297,"{""type"":""Polygon"",""coordinates"":[[[-108.35870268223998,47.91275073670156],[-108.35867581963186,47.9127470563442],[-108.35864933559678,47.91274783893115],[-108.35863576591659,47.91274375886872],[-108.3585826492012,47.91274527052931],[-108.35819496790207,47.913426678104976],[-108.35822319138921,47.91355536549861],[-108.35824575482012,47.913594945449226],[-108.3587093052535,47.912750501708906],[-108.35870268223998,47.91275073670156]]]}"
00000000000000000009,18081,0.6386669772925722,0.4867812126655226,0.47738523201653865,0.592249946085969,0.6444493338233219,0.6688518079561986,0.05039905441172135,0.14853049169983143,0.1045659875059337,0.06040542888611331,0.0355898946354504,0.02558040788135116,1522.30447594,334.444487721,1534.2000192380422,1534.2000192380422,1534.2000192380422,1534.2000192380422,1534.2000192380422,1534.2000192380422,"{""type"":""Polygon"",""coordinates"":[[[-108.35573534256929,47.912792888922745],[-108.35571487436984,47.91278456342716],[-108.35568811467391,47.91278086539563],[-108.35566125320582,47.912777184155246],[-108.35566097679707,47.91277270438078],[-108.35559406317688,47.912765724335024],[-108.35524761546563,47.913981960600964],[-108.35525331524887,47.914071139668664],[-108.35527124946793,47.91414207036249],[-108.35528819798219,47.91419966533315],[-108.35575558124579,47.91279680492519],[-108.35573534256929,47.912792888922745]]]}"
