system:index,Input_FID,NDVI_mean_veg23_3,NDVI_mean_veg23_4,NDVI_mean_veg23_5,NDVI_mean_veg23_7,NDVI_mean_veg23_8,NDVI_sd_veg23_3,NDVI_sd_veg23_4,NDVI_sd_veg23_5,NDVI_sd_veg23_7,NDVI_sd_veg23_8,Shape_Area,Shape_Leng,Veg_area_m2_veg23_3,Veg_area_m2_veg23_4,Veg_area_m2_veg23_5,Veg_area_m2_veg23_7,Veg_area_m2_veg23_8,.geo
00000000000000000000,18079,0.6572820055854218,0.4043929646775822,,,0.2864200691673591,0.052873883518521236,0.11976319591306497,,,0.04577765755698484,1879.3647106,248.061070867,1875.611851411707,417.15075402353324,0.0,0.0,905.3193989772424,"{""type"":""Polygon"",""coordinates"":[[[-108.35519477591495,47.91275508079081],[-108.35518815312777,47.91275531553286],[-108.3551615682182,47.91275611392332],[-108.35513503821733,47.91275682522149],[-108.35510883144673,47.91276208657514],[-108.35508262467609,47.91276734792212],[-108.35505637102322,47.912772538975794],[-108.35491273303914,47.9128124732208],[-108.35522419543392,47.91372358209503],[-108.35537378563413,47.912749880865746],[-108.35519477591495,47.91275508079081]]]}"
00000000000000000001,18078,0.6794156702650027,0.3935123613813707,,,0.27014555852894545,0.03868513801757449,0.11682229313451417,,,0.0361853574691662,1331.09027477,273.72714712,1352.7190384808705,479.22211881151384,0.0,0.0,913.2083173265643,"{""type"":""Polygon"",""coordinates"":[[[-108.35491273303914,47.9128124732208],[-108.3548605489105,47.91282740530742],[-108.3548343421284,47.91283266659287],[-108.35481503442864,47.91284217294111],[-108.35478905706285,47.91285184371493],[-108.3547697493507,47.912861350057824],[-108.3547633559895,47.912865994271186],[-108.35475044163255,47.91287085639867],[-108.35472395854106,47.91287163786988],[-108.35469732678989,47.91287236584436],[-108.35469070401417,47.91287260055201],[-108.35523862495414,47.91394646020451],[-108.35522419543392,47.91372358209503],[-108.35491273303914,47.9128124732208]]]}"
00000000000000000002,18080,0.6358739761919779,0.40473539813171955,,,0.27554640735882197,0.055245383377453716,0.10789836971519082,,,0.055253358760897375,1427.27887919,291.906158847,1405.3243404612824,467.91221690458406,0.0,0.0,678.5921787935146,"{""type"":""Polygon"",""coordinates"":[[[-108.35552025042831,47.91275449923332],[-108.35550005873274,47.91275065346782],[-108.35547357552916,47.91275143514891],[-108.35544709233199,47.91275221682247],[-108.35542685377787,47.9127483007546],[-108.35537378563413,47.912749880865746],[-108.35522419543392,47.91372358209503],[-108.35523862495414,47.91394646020451],[-108.35524761546563,47.913981960600964],[-108.35559406317688,47.912765724335024],[-108.35552025042831,47.91275449923332]]]}"
00000000000000000003,18103,0.653255714910832,0.34635700876812403,,,0.2737955756349214,0.027800901283028846,0.10508310159629039,,,0.0474020133355404,3214.12385413,251.764474364,3212.296770013547,201.47413862639783,0.0,0.0,546.558576037837,"{""type"":""Polygon"",""coordinates"":[[[-108.35841697356929,47.91275014726756],[-108.35840368069049,47.91275054692597],[-108.35838371793025,47.91275111126765],[-108.35835723396903,47.91275189377139],[-108.35833102674857,47.912757156024306],[-108.3583047726382,47.912762347985726],[-108.3582785654177,47.91276761022523],[-108.35821971093071,47.912782708832445],[-108.358132602442,47.912771885459385],[-108.3581124648032,47.912767953182566],[-108.35808587911474,47.91276875241088],[-108.35805911851807,47.91276505507086],[-108.3580458256811,47.91276545467828],[-108.35782030974175,47.91277209342361],[-108.3578071187201,47.91277247619586],[-108.35778053310882,47.91277327533689],[-108.35775404929036,47.912774057669296],[-108.35772779525051,47.912779249471264],[-108.35770821105393,47.91278427663009],[-108.35768200390177,47.912789538705624],[-108.35767533405937,47.91278970334018],[-108.35748618002204,47.91284441050876],[-108.35746659580907,47.91284943762456],[-108.35745992597045,47.91284960224409],[-108.35819496790207,47.913426678104976],[-108.3585826492012,47.91274527052931],[-108.35841697356929,47.91275014726756]]]}"
00000000000000000004,18076,0.6586869178868819,0.3757931522986027,,,0.2523550512661566,0.04498547734285688,0.0973239204815102,,,0.03210298058007096,1531.47042028,324.318611905,1528.1514468623145,351.65726916743256,0.0,0.0,886.3784572227328,"{""type"":""Polygon"",""coordinates"":[[[-108.35525331524887,47.914071139668664],[-108.35445923450554,47.9128882512814],[-108.35443959559571,47.912893364857176],[-108.35441306568922,47.91289407595332],[-108.35438713517547,47.91290381691488],[-108.35438046553355,47.91290398131352],[-108.35423030638184,47.912944132521595],[-108.35527124946793,47.91414207036249],[-108.35525331524887,47.914071139668664]]]}"
00000000000000000005,18088,0.6151432776304113,0.40333662524184916,,,0.27545119517569916,0.056374655009933675,0.14900662643168305,,,0.059155850918616824,1780.52852588,253.071083175,1791.7056160721124,228.56429601931103,0.0,0.0,365.5980878343769,"{""type"":""Polygon"",""coordinates"":[[[-108.35652088255313,47.91281460569199],[-108.3565139362715,47.912810290470695],[-108.35648762748323,47.912815569015486],[-108.35646114397447,47.91281635098045],[-108.35643489008949,47.91282154242563],[-108.35640868309001,47.912826804150036],[-108.3563824292051,47.91283199558177],[-108.35637580632759,47.91283223040922],[-108.35632362193392,47.91284716331141],[-108.3563169521723,47.91284732784879],[-108.35630365953553,47.91284772720813],[-108.35612287910634,47.91282622445507],[-108.35610931003941,47.91282214401021],[-108.35608282662537,47.91282292586747],[-108.35606953402805,47.912823325192875],[-108.35641734166879,47.91378242998653],[-108.35652740365121,47.91281438765406],[-108.35652088255313,47.91281460569199]]]}"
00000000000000000006,18105,0.6654234407314946,0.41328754491612385,,,0.2915844222072163,0.05218860995336288,0.12152685522215281,,,0.05297328309258784,865.784026222,217.400742572,839.3021617216223,362.7054577696557,0.0,0.0,482.90630941951974,"{""type"":""Polygon"",""coordinates"":[[[-108.35871597515822,47.91275033700035],[-108.3587093052535,47.912750501708906],[-108.35824575482012,47.913594945449226],[-108.35826187809883,47.91363909965401],[-108.35855535864053,47.91334916545811],[-108.35876959863594,47.91275771448639],[-108.35871597515822,47.91275033700035]]]}"
00000000000000000007,18089,0.6495905427229547,0.43781026280990537,,,0.26626039080325226,0.06345399208995163,0.1421135105350708,,,0.04440301729575237,1391.41961574,303.790011359,1335.8844335219442,409.5213061164407,0.0,0.0,570.4893688426298,"{""type"":""Polygon"",""coordinates"":[[[-108.35652740365121,47.91281438765406],[-108.35641734166879,47.91378242998653],[-108.35645109756209,47.91409863771902],[-108.35672643337958,47.91280853407803],[-108.35652740365121,47.91281438765406]]]}"
00000000000000000008,18104,0.6730097650014328,0.4505574930855013,,,0.2953145175393535,0.051253784177278425,0.11804126041462952,,,0.052012291979757146,875.046921149,209.62637839,876.1262984930297,299.58059016209023,0.0,0.0,483.1698116826076,"{""type"":""Polygon"",""coordinates"":[[[-108.35870268223998,47.91275073670156],[-108.35867581963186,47.9127470563442],[-108.35864933559678,47.91274783893115],[-108.35863576591659,47.91274375886872],[-108.3585826492012,47.91274527052931],[-108.35819496790207,47.913426678104976],[-108.35822319138921,47.91355536549861],[-108.35824575482012,47.913594945449226],[-108.3587093052535,47.912750501708906],[-108.35870268223998,47.91275073670156]]]}"
00000000000000000009,18081,0.6384333081705666,0.40019345421352764,,,0.2594713327477536,0.056622239433831226,0.10751109193595647,,,0.047493592652202835,1522.30447594,334.444487721,1534.2000192380422,449.23749820484835,0.0,0.0,834.0340633616728,"{""type"":""Polygon"",""coordinates"":[[[-108.35573534256929,47.912792888922745],[-108.35571487436984,47.91278456342716],[-108.35568811467391,47.91278086539563],[-108.35566125320582,47.912777184155246],[-108.35566097679707,47.91277270438078],[-108.35559406317688,47.912765724335024],[-108.35524761546563,47.913981960600964],[-108.35525331524887,47.914071139668664],[-108.35527124946793,47.91414207036249],[-108.35528819798219,47.91419966533315],[-108.35575558124579,47.91279680492519],[-108.35573534256929,47.912792888922745]]]}"
0000000000000000000a,18071,0.6758869037149033,0.4591038075082817,,,0.2748448400123341,0.053066561474037995,0.11175918131815198,,,0.046572898557041574,1572.09775008,334.54546285,1575.744690240598,354.28586973302504,0.0,0.0,1401.3644213508157,"{""type"":""Polygon"",""coordinates"":[[[-108.35372972458353,47.913217821816914],[-108.35361206311555,47.91324808390112],[-108.35360539346443,47.9132482482467],[-108.3536056696202,47.913252728074674],[-108.35485664774538,47.91440883633334],[-108.354894886727,47.914385359880825],[-108.35490128035828,47.9143807155157],[-108.3549203125725,47.91436672893019],[-108.35493939165946,47.9143528126337],[-108.35495180080062,47.91433906078814],[-108.35372972458353,47.913217821816914]]]}"
0000000000000000000b,18073,0.6628480041358984,0.4412868555357208,,,0.2704617997862635,0.055334960626165365,0.12255014080981898,,,0.046761173362697174,1559.71324575,332.406846527,1568.1203602809533,352.4454935111252,0.0,0.0,1392.161103671205,"{""type"":""Polygon"",""coordinates"":[[[-108.35390238313856,47.91311450402787],[-108.35388946870086,47.913119366063725],[-108.35382080114535,47.913188357626844],[-108.35509363010696,47.9142723495906],[-108.35510654496639,47.91426748727234],[-108.35521703463957,47.91422849759412],[-108.35390238313856,47.91311450402787]]]}"
0000000000000000000c,18075,0.6507885132869281,0.41091747178418364,,,0.2524482012940187,0.049548858115644426,0.09483565859854086,,,0.032156093042459914,1583.2220903,338.745683489,1589.958604251637,249.60551569321578,0.0,0.0,1095.2158335966224,"{""type"":""Polygon"",""coordinates"":[[[-108.35527124946793,47.91414207036249],[-108.35423030638184,47.912944132521595],[-108.35420432895538,47.91295380315618],[-108.35419131278763,47.912958682013844],[-108.35416533535158,47.91296835264074],[-108.35414575132506,47.91297337907966],[-108.35412015188383,47.91298751270188],[-108.3541138053441,47.912992227171785],[-108.35404281879947,47.913025554424934],[-108.35527528314526,47.91420452766916],[-108.35528819798219,47.91419966533315],[-108.35527124946793,47.91414207036249]]]}"
0000000000000000000d,18077,0.6630504283551223,0.3706733875009918,,,0.2586910482471865,0.04127881467998346,0.09837229224673287,,,0.03518278055803399,1432.54237445,302.611428964,1410.8448687385114,412.15156127331306,0.0,0.0,811.1546855851717,"{""type"":""Polygon"",""coordinates"":[[[-108.35523862495414,47.91394646020451],[-108.35469070401417,47.91287260055201],[-108.35467751336719,47.912872982881204],[-108.35449200913501,47.91288284248555],[-108.35446580236538,47.91288810367471],[-108.35445923450554,47.9128882512814],[-108.35525331524887,47.914071139668664],[-108.35524761546563,47.913981960600964],[-108.35523862495414,47.91394646020451]]]}"
0000000000000000000e,18112,0.6724372681890216,0.38965068400816916,,,0.2727906785777637,0.06168422673923637,0.1383964940766656,,,0.054434074148037206,466.659560042,138.447782633,460.2822914871515,309.83590138753254,0.0,0.0,460.2822914871515,"{""type"":""Polygon"",""coordinates"":[[[-108.35893108330106,47.91371332249781],[-108.35815645439783,47.91395939944302],[-108.35815033772866,47.913968523845355],[-108.35876936597089,47.91388335203128],[-108.35887952331973,47.91383996564194],[-108.35895076987633,47.913708278179314],[-108.35893108330106,47.91371332249781]]]}"
