system:index,E,N,NE,NW,S,SE,SW,TO_mean,TP_ID,W,first,label,minElev,.geo
0000000000000000301b_+31763+211,34.17923637803027,27.135281899702555,45.051509676239704,18.538567835602265,91.68568870682851,88.5957535504879,67.35995895179332,49.32161336297432,1,22.02690990511003,1,1,627.3099975585938,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.59524173203484,48.15697341004492]}"
000000000000000031cf_+31769+228,14.569070903919723,84.43196668740677,35.14077576736554,14.527448698569899,43.46389476606842,25.452488410721898,22.94883154359384,31.812941412623076,2,13.969054523338514,1,1,627.2899780273438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.5951626158572,48.156822893222675]}"
000000000000000031d2_+31772+234,16.802784338405843,90.44647054893376,22.55305910221081,20.160564597533508,87.05585951302751,15.122052214037865,34.46219137986769,37.6359854494103,3,14.484901901265417,1,1,627.2899780273438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.59513226338304,48.15676361891685]}"
000000000000000031c9_+31775+251,20.782208642074735,101.03207065636764,31.58893400152119,24.333082806087532,55.62237494346777,28.30178132271086,44.51267059609884,40.477138278455776,4,17.643983259317622,1,1,627.3099975585938,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.59510042744232,48.156609774197655]}"
000000000000000031ca_+31775+252,21.02484168093666,100.10181307475412,29.830793984876514,23.986857536393757,59.93444686708467,27.028576899843017,47.33620658296235,40.72701918881987,5,16.572616883707923,1,1,627.3099975585938,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.59510092602164,48.15660078337792]}"
000000000000000031ce_+31772+263,41.074073206955276,28.986596143170537,94.75607208431529,13.223832639042342,94.81325962765496,32.05829870918208,15.360527169431123,41.82945181737963,6,14.36295495928539,1,1,627.3599853515625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.59514672199758,48.156502885143865]}"
000000000000000031d3_+31776+274,41.14115591492504,29.51621174828737,90.05132689254621,17.316746743801346,88.93388581731821,57.4875994200001,20.242782073241784,45.02683581220869,7,15.524977887549412,1,1,627.3499755859375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.59509845754387,48.156402651734915]}"
000000000000000031c8_+31785+286,15.31024479448746,97.3039994916162,20.637658395798027,27.63892975323831,60.54186571322276,18.368300466349623,99.92727088252109,45.716506454558285,8,26.003782139232804,1,1,627.2999877929688,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.59498350610741,48.15629175944037]}"
000000000000000031c7_+31782+298,22.66059013567758,86.2871787984628,34.34188156956944,18.93663054726197,90.62407899967546,22.03374493196155,19.439869728995816,39.2658450268858,9,19.802785503481758,1,1,627.3499755859375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.59502980062022,48.15618487041495]}"
000000000000000031cc_+31787+303,13.424111015551588,74.51195586095255,25.376842256830173,54.31225366022129,34.302516243865966,20.037657186897363,69.5001975903036,39.49391570264801,10,24.485791806561565,1,1,627.3200073242188,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.5949648587014,48.156142743667864]}"
000000000000000031cb_+31785+312,22.91183185422105,88.58628391503066,21.918497501518033,20.775803119073743,89.6169394192167,23.04985563809602,29.45807278196458,39.05628655509682,11,16.133008211653774,1,1,627.3599853515625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.59499646955669,48.156057998086844]}"
000000000000000031bc_+31783+328,21.129583794295385,89.78798694715279,23.694468834512506,19.254512436200912,88.89757781990035,25.568990779360476,18.796089041387077,38.05577638563622,12,17.317001432280264,1,1,627.3699951171875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.59503132111352,48.15591481214696]}"
000000000000000031c5_+31783+339,22.199230310624884,70.71105104234708,22.336657965435236,17.477684879644897,89.85233215258339,23.223737419853975,20.009065390682736,35.333395210778875,13,16.857402525058816,1,1,627.3599853515625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.59503680553419,48.15581591309461]}"
000000000000000031b4_+31783+342,21.71511908982599,42.799575344070966,30.49274783650327,17.944520733233702,90.1732643428712,23.716081172673782,19.329215300330333,32.97060240261982,14,17.594295401449287,1,1,627.3800048828125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.5950383012817,48.15578894062485]}"
000000000000000031cd_+31786+357,21.258797064208125,89.29756170285846,29.295975932320893,22.8289770752084,90.14668715605939,26.098843004910663,21.162645911372962,39.7921991172494,15,18.24810509105636,1,1,627.3900146484375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.59500521974275,48.15565757286087]}"
000000000000000031bd_+31785+360,22.06789832058746,89.468528583867,32.34925461412087,20.592587069656517,88.15902648031542,28.425897774653833,21.184496578662106,40.02986813618958,16,17.99125566765339,1,1,627.3900146484375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.59502040177463,48.155626438585685]}"
000000000000000031c4_+31786+376,28.0712147031847,85.14202315737639,87.1981930094114,15.695540244452133,90.42817990884318,32.58024739753606,20.29798370786402,46.92386071734193,17,15.977503610067515,1,1,627.4000244140625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.59502141133052,48.15548691400456]}"
