system:index,Input_FID,NDVI_mean_veg23_3,NDVI_mean_veg23_4,NDVI_mean_veg23_5,NDVI_mean_veg23_6,NDVI_mean_veg23_7,NDVI_mean_veg23_8,NDVI_sd_veg23_3,NDVI_sd_veg23_4,NDVI_sd_veg23_5,NDVI_sd_veg23_6,NDVI_sd_veg23_7,NDVI_sd_veg23_8,Shape_Area,Shape_Leng,Veg_area_m2_veg23_3,Veg_area_m2_veg23_4,Veg_area_m2_veg23_5,Veg_area_m2_veg23_6,Veg_area_m2_veg23_7,Veg_area_m2_veg23_8,.geo
00000000000000000000,12876,0.3271931473553736,0.3619747566316312,0.31402105791257073,0.3138167966795655,0.24309086599278937,0.20987229014551917,0.03843303647276691,0.09521223533944322,0.08295719631648178,0.060434634576434186,0.03118301022990219,0.015069253368821442,629.622528108,118.386432157,621.8047071269915,621.8047071269915,620.225189448338,511.50138418160225,362.23652014638856,67.91922068876377,"{""type"":""Polygon"",""coordinates"":[[[-107.01948258581236,47.866993448602095],[-107.0194687923522,47.86698034217247],[-107.01945505599501,47.866967149463115],[-107.01944121890982,47.86695397209598],[-107.01942075660904,47.86694095020061],[-107.0194003950662,47.866927912962616],[-107.01938014736528,47.86691935840461],[-107.01935978585716,47.86690632116253],[-107.01933286932547,47.86689785112332],[-107.0193125780238,47.86688922561524],[-107.01928591972805,47.866885293842245],[-107.01926562845468,47.86687666832561],[-107.01923892653967,47.86687266560021],[-107.01923230133818,47.866872821057065],[-107.01920559943962,47.86686881832228],[-107.01896759113843,47.867234805617635],[-107.01899396491125,47.86722985836231],[-107.01948936853721,47.866997846754074],[-107.01948258581236,47.866993448602095]]]}"
00000000000000000001,12866,0.44589320394089926,0.45102267125987705,0.38064198001685834,0.321108982520424,0.24531840307509556,0.2080176485495435,0.055015181083234145,0.08464733268533683,0.06922264533947366,0.054270140032310746,0.017985326883582505,0.013860691687192415,591.063539312,143.352374445,595.7343575271907,595.7343575271907,595.7343575271907,559.9324491613053,423.56901185278804,473.84980459774243,"{""type"":""Polygon"",""coordinates"":[[[-107.01885500454466,47.86775487044377],[-107.01802132497797,47.86765340192503],[-107.01811068121354,47.8677322019261],[-107.01815838771533,47.867762645003175],[-107.01886534175708,47.86784849631981],[-107.01885500454466,47.86775487044377]]]}"
00000000000000000002,12865,0.34453611950429924,0.32895234251309746,0.31257379320085327,0.3049713384585851,0.2495959813544608,0.21084099007887883,0.07464525603940103,0.12000402550819567,0.09327542720220261,0.0589326455635628,0.03384926051546928,0.013713543445316449,740.617917433,152.461910169,731.5691460403741,731.5691460403741,571.2507470822801,347.48911330279174,193.75157276228364,116.88278656005859,"{""type"":""Polygon"",""coordinates"":[[[-107.01890890614848,47.867945985155785],[-107.01886534175708,47.86784849631981],[-107.01815838771533,47.867762645003175],[-107.01894147458727,47.86810171033143],[-107.01890890614848,47.867945985155785]]]}"
00000000000000000003,12886,0.3780662863737437,0.3557354455930981,0.31600141235310397,0.2746456218722091,0.21188731406416209,0.19184069335460663,0.06651506928383118,0.10000777360245287,0.06397683892735266,0.01861396609129875,0.004085657253964973,0.0,490.239944115,150.883801384,497.80334538478473,497.80334538478473,408.5623313754213,288.7843232697131,46.0686585669424,0.7897493250229779,"{""type"":""Polygon"",""coordinates"":[[[-107.01959183826274,47.86775532075874],[-107.01896522027945,47.8681995796591],[-107.0189665904308,47.868235294379126],[-107.01965565313985,47.867861363677314],[-107.01959183826274,47.86775532075874]]]}"
00000000000000000004,12821,0.33006404903742487,0.27609622418281193,0.2781760880371908,0.2850515271634865,0.2643648642392947,0.23130453285243777,0.09737024427212752,0.10903124381586525,0.10867297495838399,0.07948457677869655,0.019901723207895145,0.034591738274631946,1410.99980085,225.722821027,1413.8777629179112,1413.8777629179112,752.8745942957261,368.27667891558485,154.52347869873046,236.91848485610066,"{""type"":""Polygon"",""coordinates"":[[[-107.017593100447,47.86910355643549],[-107.01751195129886,47.86906478143617],[-107.01735665067118,47.86899609730428],[-107.01728940876536,47.86897491229184],[-107.01632892015009,47.86919727007609],[-107.01775648406651,47.86920794225022],[-107.017593100447,47.86910355643549]]]}"
00000000000000000005,12878,0.3541193337540233,0.3684186815855004,0.3093769610559027,0.3111877063869947,0.26394688795212984,0.21875826242018717,0.07401990499645421,0.11453154208593123,0.09894378024811025,0.06781702041068227,0.026657674690648545,0.012277029653029315,518.779410208,109.406239609,522.2920972637103,522.2920972637103,522.2920972637103,325.1163009942747,193.49038651410274,193.49038651410274,"{""type"":""Polygon"",""coordinates"":[[[-107.01899396491125,47.86722985836231],[-107.01896759113843,47.867234805617635],[-107.01896113675373,47.867239357488046],[-107.0189550106447,47.86725285944175],[-107.01935264445717,47.86740667981439],[-107.01949952076309,47.86743086512735],[-107.0195259376354,47.86725622812634],[-107.01899396491125,47.86722985836231]]]}"
00000000000000000006,12877,0.30815440934858346,0.29560461341699307,0.2793823963487598,0.32861684569331445,0.23966676984415494,0.21630700143887535,0.042399753133749954,0.09523130401026221,0.0866667227927524,0.054075827770153365,0.03369226050294413,0.01243889626628447,622.259178696,114.816645671,617.327865899778,617.327865899778,411.46406178193934,165.05942508473115,158.47809020397708,107.67027154062308,"{""type"":""Polygon"",""coordinates"":[[[-107.01954031695263,47.86711306296374],[-107.01953966010834,47.86709516285827],[-107.01953227726455,47.867077433579865],[-107.01952499516732,47.86705968896555],[-107.01951761233707,47.86704195969781],[-107.0195103302533,47.867024215094155],[-107.01949653676868,47.867011108661366],[-107.01948936853721,47.866997846754074],[-107.01899396491125,47.86722985836231],[-107.0195259376354,47.86725622812634],[-107.0195424016676,47.8671665907549],[-107.01954168773224,47.86714877691208],[-107.01954769980627,47.867130792253434],[-107.01954031695263,47.86711306296374]]]}"
00000000000000000007,12864,0.3078420705968011,0.2955775904945804,0.33514578545347173,0.32189607737023046,0.24752188289291951,0.20043871435395416,0.08351505265274502,0.1255067708295846,0.08981184321175083,0.07190938566840831,0.040455269870771186,0.011090566744608558,1010.436904,188.990400747,1017.4545569326364,940.3230779012046,482.53510751163253,349.3313976811428,272.98930490531177,209.0198398066502,"{""type"":""Polygon"",""coordinates"":[[[-107.01895656818873,47.868146119930785],[-107.01894147458727,47.86810171033143],[-107.01815838771533,47.867762645003175],[-107.01822886642711,47.86786860456831],[-107.01895822070004,47.868360477566135],[-107.0189665904308,47.868235294379126],[-107.01896522027945,47.8681995796591],[-107.01895656818873,47.868146119930785]]]}"
00000000000000000008,12885,0.41173912812874586,0.3836746774101674,0.30846685809441476,0.2645368383900724,0.21071717888116837,0.19033138104603053,0.06875128503706354,0.10070704558935789,0.060876438684043806,0.031351919860450654,0.010525081676550689,0.0018410870018535697,571.180443972,159.179472078,574.4095531987208,574.4095531987208,547.5582709218942,408.2999194874483,175.85066659964767,110.03840595320159,"{""type"":""Polygon"",""coordinates"":[[[-107.01952748077836,47.8676358604566],[-107.01895656818873,47.868146119930785],[-107.01896522027945,47.8681995796591],[-107.01959183826274,47.86775532075874],[-107.01952748077836,47.8676358604566]]]}"
00000000000000000009,12875,0.3708402498743752,0.45082084298133857,0.38706600323319434,0.36325614225458014,0.2681303612589562,0.2047081599632899,0.0324235985920807,0.04599113443994498,0.04363636471162046,0.03963158510641021,0.018764716130533432,0.014304584818167428,580.707121645,118.497154029,579.1582477045994,579.1582477045994,579.1582477045994,579.1582477045994,572.0503817988376,335.6482521505917,"{""type"":""Polygon"",""coordinates"":[[[-107.01885841892326,47.866816868370336],[-107.01896759113843,47.867234805617635],[-107.01920559943962,47.86686881832228],[-107.01885841892326,47.866816868370336]]]}"
