system:index,Input_FID,NDVI_mean_veg21_5,NDVI_mean_veg21_6,NDVI_mean_veg21_7,NDVI_mean_veg21_8,Shape_Area,Shape_Leng,Veg_area_m2_veg21_5,Veg_area_m2_veg21_6,Veg_area_m2_veg21_7,Veg_area_m2_veg21_8,.geo
00000000000000000000,12876,,,0.20454073246168844,0.22352404286409389,629.622528108,118.386432157,0.0,0.0,228.24042798210593,526.2436245787377,"{""type"":""Polygon"",""coordinates"":[[[-107.01948258581236,47.866993448602095],[-107.0194687923522,47.86698034217247],[-107.01945505599501,47.866967149463115],[-107.01944121890982,47.86695397209598],[-107.01942075660904,47.86694095020061],[-107.0194003950662,47.866927912962616],[-107.01938014736528,47.86691935840461],[-107.01935978585716,47.86690632116253],[-107.01933286932547,47.86689785112332],[-107.0193125780238,47.86688922561524],[-107.01928591972805,47.866885293842245],[-107.01926562845468,47.86687666832561],[-107.01923892653967,47.86687266560021],[-107.01923230133818,47.866872821057065],[-107.01920559943962,47.86686881832228],[-107.01896759113843,47.867234805617635],[-107.01899396491125,47.86722985836231],[-107.01948936853721,47.866997846754074],[-107.01948258581236,47.866993448602095]]]}"
00000000000000000001,12866,,,0.22874753390584154,0.2711719874280352,591.063539312,143.352374445,0.0,0.0,411.7226463168275,559.9324491613053,"{""type"":""Polygon"",""coordinates"":[[[-107.01885500454466,47.86775487044377],[-107.01802132497797,47.86765340192503],[-107.01811068121354,47.8677322019261],[-107.01815838771533,47.867762645003175],[-107.01886534175708,47.86784849631981],[-107.01885500454466,47.86775487044377]]]}"
00000000000000000002,12865,,,0.21342208436754065,0.24376686858352903,740.617917433,152.461910169,0.0,0.0,307.47527944527417,411.458590518727,"{""type"":""Polygon"",""coordinates"":[[[-107.01890890614848,47.867945985155785],[-107.01886534175708,47.86784849631981],[-107.01815838771533,47.867762645003175],[-107.01894147458727,47.86810171033143],[-107.01890890614848,47.867945985155785]]]}"
00000000000000000003,12886,,,0.22703173150772818,0.2358606495336717,490.239944115,150.883801384,0.0,0.0,288.7843232697131,288.7843232697131,"{""type"":""Polygon"",""coordinates"":[[[-107.01959183826274,47.86775532075874],[-107.01896522027945,47.8681995796591],[-107.0189665904308,47.868235294379126],[-107.01965565313985,47.867861363677314],[-107.01959183826274,47.86775532075874]]]}"
00000000000000000004,12821,,0.26665837640241113,0.24358984941717773,0.24382832128680895,1410.99980085,225.722821027,0.0,121.61815813849954,334.58158668069285,473.5738191492418,"{""type"":""Polygon"",""coordinates"":[[[-107.017593100447,47.86910355643549],[-107.01751195129886,47.86906478143617],[-107.01735665067118,47.86899609730428],[-107.01728940876536,47.86897491229184],[-107.01632892015009,47.86919727007609],[-107.01775648406651,47.86920794225022],[-107.017593100447,47.86910355643549]]]}"
00000000000000000005,12878,,,0.22905184735938963,0.23720789017996044,518.779410208,109.406239609,0.0,0.0,216.65652732101142,447.0019996194279,"{""type"":""Polygon"",""coordinates"":[[[-107.01899396491125,47.86722985836231],[-107.01896759113843,47.867234805617635],[-107.01896113675373,47.867239357488046],[-107.0189550106447,47.86725285944175],[-107.01935264445717,47.86740667981439],[-107.01949952076309,47.86743086512735],[-107.0195259376354,47.86725622812634],[-107.01899396491125,47.86722985836231]]]}"
00000000000000000006,12877,,,0.21401514167405444,0.24319999689975993,622.259178696,114.816645671,0.0,0.0,158.47809020397708,165.05942508473115,"{""type"":""Polygon"",""coordinates"":[[[-107.01954031695263,47.86711306296374],[-107.01953966010834,47.86709516285827],[-107.01953227726455,47.867077433579865],[-107.01952499516732,47.86705968896555],[-107.01951761233707,47.86704195969781],[-107.0195103302533,47.867024215094155],[-107.01949653676868,47.867011108661366],[-107.01948936853721,47.866997846754074],[-107.01899396491125,47.86722985836231],[-107.0195259376354,47.86725622812634],[-107.0195424016676,47.8671665907549],[-107.01954168773224,47.86714877691208],[-107.01954769980627,47.867130792253434],[-107.01954031695263,47.86711306296374]]]}"
00000000000000000007,12864,,,0.21751122563728134,0.2529493787657843,1010.436904,188.990400747,0.0,0.0,269.5670578302122,304.3159213196998,"{""type"":""Polygon"",""coordinates"":[[[-107.01895656818873,47.868146119930785],[-107.01894147458727,47.86810171033143],[-107.01815838771533,47.867762645003175],[-107.01822886642711,47.86786860456831],[-107.01895822070004,47.868360477566135],[-107.0189665904308,47.868235294379126],[-107.01896522027945,47.8681995796591],[-107.01895656818873,47.868146119930785]]]}"
00000000000000000008,12885,,,0.22176114392691645,0.2489837035813328,571.180443972,159.179472078,0.0,0.0,343.5406390919405,354.5971484913545,"{""type"":""Polygon"",""coordinates"":[[[-107.01952748077836,47.8676358604566],[-107.01895656818873,47.868146119930785],[-107.01896522027945,47.8681995796591],[-107.01959183826274,47.86775532075874],[-107.01952748077836,47.8676358604566]]]}"
00000000000000000009,12875,,,0.20473645684415168,0.26347062937238,580.707121645,118.497154029,0.0,0.0,572.0503817988376,579.1582477045994,"{""type"":""Polygon"",""coordinates"":[[[-107.01885841892326,47.866816868370336],[-107.01896759113843,47.867234805617635],[-107.01920559943962,47.86686881832228],[-107.01885841892326,47.866816868370336]]]}"
