system:index,Input_FID,SWA_t5,SWA_t6,SWA_t7,SWA_t8,containsNull_t5,containsNull_t6,containsNull_t7,containsNull_t8,riparian_area_m2,.geo
000000000000000037e2,1,362.9634991589714,420.69728482798035,420.69728482798035,452.09087881247206,0,0,0,0,570.6831007301807,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-107.09222303413883,48.41632924623256],[-107.09222321733203,48.41633370899416]]},{""type"":""Polygon"",""coordinates"":[[[-107.09222324077446,48.41633370222133],[-107.09221023520338,48.41634290078219],[-107.09218407735995,48.41636124189153],[-107.09213121957801,48.4163800522186],[-107.0921183895558,48.41639369303098],[-107.0920986100471,48.41640298478914],[-107.09234424463521,48.41666648359062],[-107.09237179392927,48.41668383942706],[-107.09241085533195,48.41665631512627],[-107.09245001901208,48.41662877520507],[-107.0924494921687,48.41661544838644],[-107.09251575157646,48.41659639531852],[-107.09256849203392,48.41657305517517],[-107.09222324077446,48.41633370222133]]]}]}"
000000000000000029d1,2,225.9389309616649,266.2280955064531,266.2280955064531,339.2810199227988,0,0,0,0,410.5983358323574,"{""type"":""Polygon"",""coordinates"":[[[-107.0926880630815,48.416544060279044],[-107.0926877117932,48.416535175749374],[-107.09266016235689,48.416517820055205],[-107.09265274378214,48.41650005699485],[-107.09231416385816,48.41626062708112],[-107.09224758283604,48.41627518161659],[-107.09225567461512,48.41630632739305],[-107.09222904799111,48.41631125450431],[-107.09222306518544,48.41632925997155],[-107.09256849203392,48.41657305517517],[-107.09264750803979,48.41653590323611],[-107.09266230083247,48.416571357754805],[-107.09269622863101,48.41657966405189],[-107.0926880630815,48.416544060279044]]]}"
00000000000000002625,3,252.5660457512912,252.5660457512912,252.5660457512912,337.114161751317,0,0,0,0,334.57488775253296,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-107.09263190010758,48.41648260567313],[-107.0926456465962,48.416491269557014],[-107.09265271710818,48.41650007310369]]},{""type"":""Polygon"",""coordinates"":[[[-107.09240543788536,48.41619643643661],[-107.09239203679583,48.416196678889136],[-107.09235240472294,48.416210804582235],[-107.09235315151321,48.41622864517298],[-107.09234787119614,48.41626441958972],[-107.09231416385816,48.41626062708112],[-107.09263186603475,48.41648262368191],[-107.09263190010758,48.41648260567313],[-107.09268443067383,48.416454841271076],[-107.09270934354336,48.41640971882137],[-107.09240543788536,48.41619643643661]]]}]}"
00000000000000002626,4,291.41500646927767,261.5843049376618,291.41500646927767,336.3669895041223,0,0,0,0,340.40297904610634,"{""type"":""Polygon"",""coordinates"":[[[-107.09249649168626,48.41612773192572],[-107.09247026076231,48.4161416151808],[-107.09245839773797,48.41617761041022],[-107.09241844338119,48.416187237876485],[-107.09240543788536,48.41619643643661],[-107.09270934354336,48.41640971882137],[-107.09271589747651,48.416405111691795],[-107.09274195292559,48.41638678604484],[-107.09279583575034,48.416390242644496],[-107.09282136418666,48.41635859023274],[-107.09249649168626,48.41612773192572]]]}"
000000000000000029bc,5,269.68563755072785,261.87109476257757,273.0042178845872,348.27161040212593,0,0,0,0,348.890871822834,"{""type"":""Polygon"",""coordinates"":[[[-107.09255433591056,48.41606417547406],[-107.09252155115813,48.41608266581434],[-107.09249649168626,48.41612773192572],[-107.09282136418666,48.41635859023274],[-107.0928729615295,48.416308453297844],[-107.09288394590973,48.416250246733185],[-107.09255433591056,48.41606417547406]]]}"
000000000000000029ba,6,257.83660013582204,257.83660013582204,259.2822932397618,279.36056114458574,0,0,0,0,293.3425528407097,"{""type"":""Polygon"",""coordinates"":[[[-107.09259339655621,48.41603665143746],[-107.09258056676985,48.41605029221783],[-107.09255433591056,48.41606417547406],[-107.09288394590973,48.416250246733185],[-107.0929227576345,48.41621382237023],[-107.09294841717109,48.41618654063752],[-107.0929615249271,48.416177326387036],[-107.09297998576669,48.416136795614676],[-107.09259339655621,48.41603665143746]]]}"
00000000000000002606,7,194.32787566886233,194.32787566886233,194.74986332164096,289.24130074650634,0,0,0,0,302.96423730254173,"{""type"":""Polygon"",""coordinates"":[[[-107.09266407025942,48.41595945427357],[-107.09263277948715,48.41601362563255],[-107.09259999479244,48.4160321159806],[-107.09259339655621,48.41603665143746],[-107.09297998576669,48.416136795614676],[-107.09298626163107,48.41612776188285],[-107.09305095261641,48.41606856972763],[-107.09305733077457,48.41605952038307],[-107.09266407025942,48.41595945427357]]]}"
000000000000000025c1,8,198.69918452127308,198.80858907115226,244.3546440996376,247.34763475843508,0,0,0,0,307.7789321541786,"{""type"":""Polygon"",""coordinates"":[[[-107.0927347437073,48.41588225717577],[-107.09272216299965,48.41590479797595],[-107.09266389461378,48.41595501205713],[-107.09266407025942,48.41595945427357],[-107.09305733077457,48.41605952038307],[-107.09307671430305,48.41604127241887],[-107.09310237363782,48.41601399073829],[-107.09312785723803,48.41598226684919],[-107.0927347437073,48.41588225717577]]]}"
000000000000000025c4,9,200.07481580738934,279.4739195475392,282.6779047056741,283.3812208682884,0,0,0,0,293.96633154153824,"{""type"":""Polygon"",""coordinates"":[[[-107.09280003477701,48.415840849909024],[-107.09275349793226,48.41585069833419],[-107.09276097441607,48.41586837392144],[-107.0927347437073,48.41588225717577],[-107.09312785723803,48.41598226684919],[-107.0931277838552,48.41597780901281],[-107.0931534431182,48.41595052735283],[-107.09315159732533,48.41590596197535],[-107.09316470495409,48.415896747748796],[-107.09279846739054,48.415800711188126],[-107.09279248493165,48.415818716509996],[-107.09280623726963,48.415827358414575],[-107.09280003477701,48.415840849909024]],[[-107.09280623726963,48.415827358414575],[-107.09281946261913,48.415822673703296],[-107.09280566590941,48.41581396017084],[-107.09280623726963,48.415827358414575]]]}"
000000000000000025c6,10,216.88962914756704,229.33571840033818,229.33571840033818,305.92431156635297,0,0,0,0,353.6435152590275,"{""type"":""Polygon"",""coordinates"":[[[-107.09274026371318,48.41569010919448],[-107.09269442968213,48.4157177263401],[-107.09283735199526,48.4157687449975],[-107.09281094570218,48.41577818604373],[-107.09279059520296,48.41577407959398],[-107.0927982917273,48.415796268985574],[-107.09279846739054,48.415800711188126],[-107.09316470495409,48.415896747748796],[-107.09320376522378,48.415869223560286],[-107.09322147843181,48.41581085254589],[-107.09274026371318,48.41569010919448]]]}"
