system:index,E,N,NE,NW,S,SE,SW,TO_mean,TP_ID,W,first,label,minElev,.geo
000000000000000037e2_-6074-27369,65.97616829001902,89.50069354849704,71.46909927897447,85.4026689072933,34.416732012583076,76.32787428301003,42.1116515411316,64.7083558356139,1,52.461958823402725,1,1,648.3599853515625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.09238494185267,48.41649289890186]}"
000000000000000029d1_-6079-27363,77.26088871186424,87.16276831489472,69.84991546656336,83.71116294818152,71.82593285307425,84.84891246378942,39.70463610636477,74.97660875751356,2,85.44865319537624,1,1,648.3499755859375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.09245496924767,48.416440332630636]}"
00000000000000002625_-6077-27347,33.7098489097427,39.304266907410565,22.894055801026752,88.24831558588274,88.44468388332243,56.5218611451282,85.92555340332794,61.82222553266912,3,79.52921862551169,1,1,648.3699951171875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.09243459999202,48.41629591676832]}"
00000000000000002626_-6081-27339,25.739611429433623,29.329948372415252,20.573700233350493,54.46015836451002,92.01143074807018,68.52063640361914,83.90358463868095,57.037998736470456,4,81.76491970168398,1,1,648.3800048828125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.09249195061945,48.41622509113589]}"
000000000000000029bc_-6102-27344,79.67973669358238,84.2308055519222,77.14629805705903,82.44716009100605,28.669961006970745,59.90234370133571,22.581081165099306,56.415841593854,5,16.66934648385653,1,1,648.3400268554688,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.09277352230936,48.416275853569694]}"
000000000000000029ba_-6109-27337,90.00845779408554,85.4322383651983,82.44749529582018,31.48482878985658,27.943640028032753,94.1338176817841,17.56065292742774,55.77679381640923,6,17.20321964906873,1,1,648.4099731445312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.09286401720429,48.416219205965696]}"
00000000000000002606_-6113-27325,78.8307332012243,56.6820170146649,68.31182288036374,58.230581582837104,45.34779892973307,92.43486864117206,16.84246636537631,54.171433497397416,7,16.691179363807862,1,1,648.510009765625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.09292302805311,48.4161124143744]}"
000000000000000025c1_-6108-27305,32.548135684402624,78.26255391063145,28.66690063315179,87.30982471474829,52.82098567695909,45.82246966676981,64.53724804358288,59.76676625620017,8,88.16601171935544,1,1,648.3200073242188,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.09287075871758,48.415926846066355]}"
000000000000000025c4_-6110-27302,32.60928959692758,77.09484395873245,42.02733647239885,84.64801761195523,52.74659224778976,54.54565482609386,83.95823093849333,63.883089936056116,9,83.43475383605782,1,1,648.3200073242188,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.09289901832722,48.41590042457756]}"
000000000000000025c6_-6111-27289,26.096432043547942,43.154476261269046,24.34730489196329,88.82217771009779,94.12399906818871,76.38981326332319,91.47187737336098,66.69084920153533,10,89.12071300053172,1,1,648.3300170898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.09291792316358,48.41578381229169]}"
