system:index,E,N,NE,NW,S,SE,SW,TO_mean,TP_ID,W,first,label,minElev,.geo
00000000000000002c47_-19313-27453,20.05246244293643,19.735541250196007,16.60747948730426,89.99323814777766,21.33953378434181,87.56754865495203,18.30669212793576,36.88748619481351,1,21.49739366306416,1,1,657.3499755859375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27118553874938,48.42077250952061]}"
00000000000000002c61_-19320-27445,18.039324767723386,24.417030729421313,13.558897261112008,87.34100560885433,23.219263473964418,87.66323786196801,17.583019620992133,36.149600510672926,2,17.375024761347873,1,1,657.3699951171875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27128317866905,48.42070236494033]}"
00000000000000002c71_-19321-27442,16.375860760750683,25.80888223878931,12.0718389855315,89.03744026659413,35.59768293831035,62.83633880369323,16.884631638752055,34.636821611836616,3,18.481897262271673,1,1,657.3800048828125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27129784126905,48.42067564481743]}"
00000000000000002c64_-19326-27437,19.73674260918871,27.488888735770843,19.569485001396586,78.73551701324129,23.629202490126218,75.62225530577406,15.69592317283933,34.310983141170766,4,14.009850801029089,1,1,657.4099731445312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27136730922801,48.42063196435514]}"
00000000000000002c48_-19335-27429,32.49229147138888,34.02762833588423,26.904633757836237,85.58957895694327,16.70069909956426,95.64853328944099,18.434474552729938,40.81115903954157,5,16.691432852544793,1,1,657.510009765625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27149196680067,48.42056233143594]}"
00000000000000002c3c_-19342-27423,34.78788111922261,27.33045693267077,27.78082903266543,87.09589059205108,18.8201746921807,93.38898247747159,17.720528450415216,40.37444498911646,6,16.07081661625432,1,1,657.530029296875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27158883702852,48.42051017063207]}"
00000000000000002c3a_-19351-27415,36.48934155690479,25.760411947560797,27.48300713282736,53.84774287262655,15.916844325414417,67.09394992994943,15.506731686072087,33.12149517908246,7,22.873931981304196,1,1,657.5599975585938,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.2717133018035,48.420445033483276]}"
00000000000000002c41_-19358-27411,37.218641183924255,29.02170113370483,25.799641548086896,86.03063802073513,16.779276967202605,57.91258767507503,16.33286835691787,36.95259124501353,8,26.525375074461657,1,1,657.72998046875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27180959498567,48.420406360525085]}"
00000000000000002c3d_-19369-27404,34.529535560593985,14.826181207829961,24.371347244147657,27.319690361180562,20.6201522739768,42.23473058937905,30.84402283111112,29.32185750101699,9,39.829199939916776,1,1,657.72998046875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27196088509922,48.4203462308599]}"
00000000000000002c40_-19374-27407,87.71071706828896,26.516059457554057,29.741807200254954,25.787050160885244,16.346639552264875,20.035852559793824,21.145524889498134,38.3709698740947,10,79.68410810421753,1,1,657.7100219726562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27204078617055,48.420374742019675]}"
00000000000000002c34_-19384-27409,72.19997701475239,23.128320628502777,36.8960819158503,26.786963271279305,15.490323851267632,15.484833647705074,22.633743328251995,32.35166549115446,11,46.19308027162621,1,1,657.72998046875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.2721615988005,48.420395028601206]}"
00000000000000002c38_-19399-27413,32.938074707200975,23.439252736389108,32.733938892490364,21.792642973459124,22.67828854363397,19.457617049305185,54.85018523043136,28.90010332984987,12,23.31082650588887,1,1,657.7000122070312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27236269718664,48.420434833976046]}"
00000000000000002c42_-19402-27419,21.18955042667517,23.834903448740477,90.60545882235733,22.817090580317185,22.489250807185684,15.511076955985516,67.35827275786713,36.093239753637526,13,24.94031422997176,1,1,657.72998046875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27240091852742,48.420489553527446]}"
00000000000000002c33_-19407-27426,17.955758433917282,30.23413668029623,72.16617184895897,25.29510363913718,23.940469490663105,16.653758013016812,85.35308384574022,36.76175053519485,14,22.495522329829,1,1,657.75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27246577381752,48.42055377668125]}"
00000000000000002c36_-19416-27443,19.89823905133052,50.986590575080875,25.462474173332637,21.44314828305471,87.26973795273706,29.831932298439035,24.046255901231376,34.42743545767282,15,16.4811054261764,1,1,657.719970703125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27258082294024,48.42070894315855]}"
00000000000000002c46_-19416-27445,19.08369280275042,61.896803875294665,26.002063105139307,21.239910398872723,80.90158111813747,29.93773134597403,23.17258263832788,34.845817271440566,16,16.532172887028025,1,1,657.739990234375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27258005439302,48.42072692720227]}"
00000000000000002c45_-19414-27455,18.204237199217246,87.98523008566822,20.643220507686948,25.852894885581506,39.38654244827653,24.228760323836937,21.88507049826059,32.196064927785855,17,19.382563473758864,1,1,657.7100219726562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27254919334554,48.42081633584897]}"
00000000000000002c49_-19417-27467,20.146068429818143,69.37746192480608,31.584730810342393,20.301579367135673,64.68883086198517,17.33717560674374,24.28398217501301,33.25167809300628,18,18.293595568206015,1,1,657.72998046875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27258491738087,48.42092950346282]}"
00000000000000002c72_-19419-27475,14.517111484275361,39.94628826807612,23.19678986003109,18.633825710113612,41.17282535707509,15.562836057457119,28.734937613154173,24.998556364177045,19,18.22383656323379,1,1,657.6900024414062,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27260905371625,48.420997455178025]}"
00000000000000002c60_-19424-27489,18.554465325514286,33.20752756173609,34.02960188072099,20.089089088916282,91.18416502568158,24.68954578391329,25.350268294508794,33.07508733712438,20,17.496035736003776,1,1,657.72998046875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27267122007106,48.42112462233801]}"
00000000000000002c63_-19424-27495,16.49813607790827,63.077690982442604,21.03877735262182,22.754979953317275,81.40564051435587,14.787070240061837,23.914772511521264,32.91703316736058,21,19.859197706655678,1,1,657.72998046875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27266891450289,48.42117857445669]}"
00000000000000002c67_-19427-27508,14.150764661707939,66.99040738031087,33.90650645836066,21.707696343034556,77.81527226491144,36.85341959134973,22.17904784092876,36.044304105233934,22,14.751318301267546,1,1,657.7100219726562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27270425478982,48.42130073402835]}"
00000000000000002c62_-19426-27515,14.256860121575343,88.63273462990908,21.601383788596024,21.391349383235976,44.364682484561754,38.15129206450441,16.931281121613395,32.986031255051145,23,18.55866644641317,1,1,657.7000122070312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27268805569662,48.42136342239147]}"
00000000000000002c6e_-19422-27526,11.703980531558088,55.432549018272574,14.05869077543855,35.25782162874391,61.812367013646224,25.660772144985344,20.489688582134022,30.695065812143525,24,21.144656802369454,1,1,657.739990234375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27262998368869,48.4214568154908]}"
00000000000000002c6c_-19418-27538,11.948190272510928,38.32780105702517,13.869097178356029,45.080107281794994,104.25137137395278,17.351944281887725,36.003986605828416,36.46871655548977,25,24.91723439256215,1,1,657.739990234375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27257133505071,48.42156369658203]}"
00000000000000002c75_-19418-27548,10.049859837053688,86.56635599679332,18.94614634849998,23.886811114162498,84.57403355255262,22.301869814150606,20.960734117912253,35.59295098869844,26,17.45779712846256,1,1,657.719970703125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.2725740547733,48.421658240651574]}"
00000000000000002c6f_-19416-27559,10.372281660122212,70.37804294499503,11.051768557384776,60.30192686621578,57.644444035064126,13.562306602213141,61.9732451575626,37.93620416747431,27,18.205617516236842,1,1,657.7100219726562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27253624632345,48.421752017360625]}"
00000000000000002c79_-19420-27564,19.030306993018456,86.64639243213922,34.288770708256195,16.264630454832442,63.86374623094234,34.07823571932189,16.940921833661662,35.89220495213752,28,16.02463524492792,1,1,657.760009765625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27258836250068,48.421798000578]}"
00000000000000002c77_-19420-27578,13.54158929672333,85.8578372740376,34.59857302062742,17.01997467274562,29.632993775959946,16.42111957300176,83.32439313164961,37.10271133113633,29,16.42520990434531,1,1,657.719970703125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27258298256464,48.42192388879673]}"
00000000000000002c78_-19428-27584,29.04186472871848,17.649553085720385,81.67936501813071,17.355086796224413,104.97041619604259,32.68953957783077,80.12767638778385,47.44872009314739,30,16.07625895472789,1,1,657.8699951171875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27268875249507,48.42197988709528]}"
00000000000000002c7d_-19429-27601,20.71390932459154,73.70522282068332,28.476547207617713,80.03463032671893,18.81311792168006,15.887706381375068,24.13947911528055,43.50959531733423,31,86.30614944072671,1,1,657.6900024414062,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27269572947712,48.42213300711796]}"
00000000000000002c7a_-19438-27601,92.71831389051084,42.15219196276005,82.66533454648452,46.485817270196954,17.77684517195209,28.081698601761296,21.330613357054446,45.33348127810714,32,31.45703542413699,1,1,657.72998046875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27282406967042,48.42213543685302]}"
00000000000000002c7c_-19451-27593,48.376679585249626,14.44721058168335,15.038536997452596,84.96844060013291,23.6113557194455,89.04980241726408,21.925167533714216,39.89108721689866,33,21.711504300247057,1,1,657.7100219726562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27299601206337,48.4220666975345]}"
00000000000000002c53_-19452-27594,64.33319390433215,16.238826765284685,18.1820323281692,88.92583791573013,22.129756914473887,66.3559526394414,21.365623495731654,39.66725377654501,34,19.80680624919698,1,1,657.72998046875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.2730091373315,48.422075945284064]}"
00000000000000002c66_-19463-27582,15.506622669612995,31.221774445646396,14.31876543261032,81.54848953557888,20.427001880405598,88.99811882641329,16.834823241645765,35.59583375964476,35,15.911074045244817,1,1,657.7100219726562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27316235182063,48.42197085405381]}"
00000000000000002c68_-19466-27574,14.087897973073538,63.586650675100415,12.322409359448258,48.788658512001085,63.33973241576244,32.522763521209896,16.960300457924504,33.91093666606619,36,19.67908041400942,1,1,657.7000122070312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27320595358206,48.42189968505518]}"
00000000000000002c6b_-19472-27561,12.12706153340244,51.97244775524778,13.146001668784791,84.98613537726816,45.35831136944006,48.09919815607879,17.63143723204189,36.27485918943537,37,16.878280423219067,1,1,657.719970703125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27329200427214,48.42178432305548]}"
00000000000000002c70_-19472-27556,10.772114103694435,26.542310257935952,10.847295404664095,89.4551463830808,83.61724692689864,38.877453345684636,19.06383527253675,39.194184384923545,38,34.37807338489302,1,1,657.6900024414062,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27329392506425,48.42173936296311]}"
00000000000000002c73_-19484-27548,51.50731955712638,28.100456373010687,21.78382723867061,84.75373007461609,18.030771753805766,89.74036981843155,18.86605283986667,41.489223718710356,39,19.13126209415516,1,1,657.719970703125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27345911084277,48.421670495101]}"
00000000000000002c6d_-19485-27544,27.16257933413756,24.206849278617966,13.689459108247334,86.45812925769293,31.60769653244575,86.07883251848422,18.573307729907114,38.97302411157062,40,24.007339133032104,1,1,657.72998046875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27347415672614,48.42163478270297]}"
00000000000000002c69_-19497-27535,28.732232865896833,15.578185305179034,18.096286746324353,19.557705742232358,20.376367203189034,82.98874194458082,23.78503632925191,37.417762609183406,41,90.2275447368129,1,1,657.72998046875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.2736397260324,48.421556922562765]}"
00000000000000002c65_-19509-27535,89.54794888226226,16.553703156888403,19.094843538105167,64.67765900743717,17.495535026709092,23.98999670763361,18.826873061699132,35.248998424343405,42,31.805428014012413,1,1,657.75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27380183822697,48.421559990379116]}"
00000000000000002c7b_-19513-27534,82.97187372669983,17.389819966183893,18.75908185730262,66.6334409033843,17.685697820011583,25.254897109216742,19.814122012629355,34.664962750174666,43,28.810768605969024,1,1,657.6699829101562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.2738562596892,48.42155202091351]}"
00000000000000002c58_-19524-27528,41.76513823642343,16.30966959514589,17.100964224249736,54.35939772412329,19.365626550892742,36.577412679059684,19.270962506835502,28.394827200240606,44,22.409446085194574,1,1,657.719970703125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27400022004824,48.42150524888276]}"
00000000000000002c6a_-19533-27519,16.87854707281305,18.564186487817594,15.698570981458175,79.5918763234615,22.43516779009883,66.29067414355545,20.715443492519142,32.49853935192265,45,19.813848523657484,1,1,657.75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.27413201486348,48.42142674899067]}"
00000000000000002c5c_-19538-27516,21.056991966577797,19.626693856622694,17.218446379668734,59.60462684813527,20.839252032756633,64.85839857686955,18.632553247754686,30.94350772373453,46,25.71109888149087,1,1,657.72998046875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.2742009054501,48.42139655491042]}"
