system:index,Input_FID,NDVI_mean_veg19_5,NDVI_mean_veg19_6,NDVI_mean_veg19_7,NDVI_mean_veg19_8,Shape_Area,Shape_Leng,Veg_area_m2_veg19_5,Veg_area_m2_veg19_6,Veg_area_m2_veg19_7,Veg_area_m2_veg19_8,.geo
00000000000000000000,12876,0.3166636219098344,0.3612674303497933,0.345714151783579,0.43427104600701266,629.622528108,118.386432157,621.8047071269915,621.8047071269915,621.8047071269915,621.8047071269915,"{""type"":""Polygon"",""coordinates"":[[[-107.01948258581236,47.866993448602095],[-107.0194687923522,47.86698034217247],[-107.01945505599501,47.866967149463115],[-107.01944121890982,47.86695397209598],[-107.01942075660904,47.86694095020061],[-107.0194003950662,47.866927912962616],[-107.01938014736528,47.86691935840461],[-107.01935978585716,47.86690632116253],[-107.01933286932547,47.86689785112332],[-107.0193125780238,47.86688922561524],[-107.01928591972805,47.866885293842245],[-107.01926562845468,47.86687666832561],[-107.01923892653967,47.86687266560021],[-107.01923230133818,47.866872821057065],[-107.01920559943962,47.86686881832228],[-107.01896759113843,47.867234805617635],[-107.01899396491125,47.86722985836231],[-107.01948936853721,47.866997846754074],[-107.01948258581236,47.866993448602095]]]}"
00000000000000000001,12866,0.4258619519497934,0.44811937502670546,0.4123934962504004,0.41280417479459447,591.063539312,143.352374445,595.7343575271907,595.7343575271907,595.7343575271907,595.7343575271907,"{""type"":""Polygon"",""coordinates"":[[[-107.01885500454466,47.86775487044377],[-107.01802132497797,47.86765340192503],[-107.01811068121354,47.8677322019261],[-107.01815838771533,47.867762645003175],[-107.01886534175708,47.86784849631981],[-107.01885500454466,47.86775487044377]]]}"
00000000000000000002,12865,0.35120726936838964,0.3524829544858908,0.32471563102702267,0.40694333337608707,740.617917433,152.461910169,731.5691460403741,731.5691460403741,731.5691460403741,683.9210179946001,"{""type"":""Polygon"",""coordinates"":[[[-107.01890890614848,47.867945985155785],[-107.01886534175708,47.86784849631981],[-107.01815838771533,47.867762645003175],[-107.01894147458727,47.86810171033143],[-107.01890890614848,47.867945985155785]]]}"
00000000000000000003,12886,0.35809088355331187,0.3644636811433426,0.32359722248780426,0.39176825365019124,490.239944115,150.883801384,497.80334538478473,497.80334538478473,497.80334538478473,497.80334538478473,"{""type"":""Polygon"",""coordinates"":[[[-107.01959183826274,47.86775532075874],[-107.01896522027945,47.8681995796591],[-107.0189665904308,47.868235294379126],[-107.01965565313985,47.867861363677314],[-107.01959183826274,47.86775532075874]]]}"
00000000000000000004,12821,0.351309795338356,0.33802993355616806,0.2991099526786289,0.45108280793245753,1410.99980085,225.722821027,1413.8777629179112,1413.8777629179112,1413.8777629179112,1413.8777629179112,"{""type"":""Polygon"",""coordinates"":[[[-107.017593100447,47.86910355643549],[-107.01751195129886,47.86906478143617],[-107.01735665067118,47.86899609730428],[-107.01728940876536,47.86897491229184],[-107.01632892015009,47.86919727007609],[-107.01775648406651,47.86920794225022],[-107.017593100447,47.86910355643549]]]}"
00000000000000000005,12878,0.3493527099039526,0.3838109671318484,0.3506610132453424,0.43592947400024823,518.779410208,109.406239609,522.2920972637103,522.2920972637103,522.2920972637103,522.2920972637103,"{""type"":""Polygon"",""coordinates"":[[[-107.01899396491125,47.86722985836231],[-107.01896759113843,47.867234805617635],[-107.01896113675373,47.867239357488046],[-107.0189550106447,47.86725285944175],[-107.01935264445717,47.86740667981439],[-107.01949952076309,47.86743086512735],[-107.0195259376354,47.86725622812634],[-107.01899396491125,47.86722985836231]]]}"
00000000000000000006,12877,0.3140433277402606,0.3313502314375408,0.2917474770978062,0.4745709988735378,622.259178696,114.816645671,617.327865899778,617.327865899778,617.327865899778,617.327865899778,"{""type"":""Polygon"",""coordinates"":[[[-107.01954031695263,47.86711306296374],[-107.01953966010834,47.86709516285827],[-107.01953227726455,47.867077433579865],[-107.01952499516732,47.86705968896555],[-107.01951761233707,47.86704195969781],[-107.0195103302533,47.867024215094155],[-107.01949653676868,47.867011108661366],[-107.01948936853721,47.866997846754074],[-107.01899396491125,47.86722985836231],[-107.0195259376354,47.86725622812634],[-107.0195424016676,47.8671665907549],[-107.01954168773224,47.86714877691208],[-107.01954769980627,47.867130792253434],[-107.01954031695263,47.86711306296374]]]}"
00000000000000000007,12864,0.3221715883056682,0.3337786581044364,0.3020521846926382,0.4153929956510872,1010.436904,188.990400747,1017.4545569326364,1017.4545569326364,1017.4545569326364,997.9741067923752,"{""type"":""Polygon"",""coordinates"":[[[-107.01895656818873,47.868146119930785],[-107.01894147458727,47.86810171033143],[-107.01815838771533,47.867762645003175],[-107.01822886642711,47.86786860456831],[-107.01895822070004,47.868360477566135],[-107.0189665904308,47.868235294379126],[-107.01896522027945,47.8681995796591],[-107.01895656818873,47.868146119930785]]]}"
00000000000000000008,12885,0.38328181677024165,0.38685219153748224,0.3407895171128754,0.4077755242422238,571.180443972,159.179472078,574.4095531987208,574.4095531987208,574.4095531987208,574.4095531987208,"{""type"":""Polygon"",""coordinates"":[[[-107.01952748077836,47.8676358604566],[-107.01895656818873,47.868146119930785],[-107.01896522027945,47.8681995796591],[-107.01959183826274,47.86775532075874],[-107.01952748077836,47.8676358604566]]]}"
00000000000000000009,12875,0.3516420084779913,0.4244651253521443,0.43120918314565315,0.3860836297273636,580.707121645,118.497154029,579.1582477045994,579.1582477045994,579.1582477045994,579.1582477045994,"{""type"":""Polygon"",""coordinates"":[[[-107.01885841892326,47.866816868370336],[-107.01896759113843,47.867234805617635],[-107.01920559943962,47.86686881832228],[-107.01885841892326,47.866816868370336]]]}"
0000000000000000000a,12874,0.3632338944030407,0.44094794131844384,0.441977940069459,0.4020138535280977,1000.74176805,162.535029407,1016.4235459271599,1016.4235459271599,1016.4235459271599,1016.4235459271599,"{""type"":""Polygon"",""coordinates"":[[[-107.01885841892326,47.866816868370336],[-107.01848432476125,47.8667564468871],[-107.01846446282897,47.866756755873546],[-107.01843776132839,47.86675275292398],[-107.01841117354844,47.866753232638196],[-107.01838447207224,47.86674922967345],[-107.01835809874866,47.866754176704085],[-107.01833161172881,47.86675464105583],[-107.01830523841014,47.866759588072334],[-107.01896113675373,47.867239357488046],[-107.01896759113843,47.867234805617635],[-107.01885841892326,47.866816868370336]]]}"
0000000000000000000b,12879,0.42252160293482427,0.47241624302664587,0.43326463832648077,0.42472503560258795,339.887719082,90.4088776382,327.2220324048809,327.2220324048809,327.2220324048809,327.2220324048809,"{""type"":""Polygon"",""coordinates"":[[[-107.0189550106447,47.86725285944175],[-107.01890975936048,47.86728496604269],[-107.01886593521908,47.86735270047792],[-107.0188546109831,47.867401985758676],[-107.01885472473792,47.867406468484596],[-107.01935264445717,47.86740667981439],[-107.0189550106447,47.86725285944175]]]}"
0000000000000000000c,12873,0.3493768305925119,0.4079506937741032,0.378238470013715,0.4192521335870752,1122.39422835,181.313698534,1095.924953355976,1095.924953355976,1095.924953355976,1095.924953355976,"{""type"":""Polygon"",""coordinates"":[[[-107.01830523841014,47.866759588072334],[-107.01827875140168,47.86676005240924],[-107.01825259251329,47.866769466745176],[-107.01823284430941,47.86677425835647],[-107.01820668541271,47.86678367268267],[-107.01818693720547,47.86678846428592],[-107.01816084833168,47.8668022903389],[-107.01814135817477,47.86681162021247],[-107.0181218243676,47.866820879143766],[-107.01810240422326,47.866834620752506],[-107.01808298406831,47.86684836236123],[-107.01807033340182,47.866862004196534],[-107.01805753834472,47.86687559043333],[-107.01890975936048,47.86728496604269],[-107.0189550106447,47.86725285944175],[-107.01896113675373,47.867239357488046],[-107.01830523841014,47.866759588072334]]]}"
0000000000000000000d,12871,0.3347315347585015,0.3521510112052236,0.30738010359198714,0.47622364211107243,1549.57865343,218.827083105,1519.4942875581628,1519.4942875581628,1519.4942875581628,1519.4942875581628,"{""type"":""Polygon"",""coordinates"":[[[-107.0178628114783,47.86699066400854],[-107.01779719950414,47.86700973231197],[-107.01777099681107,47.867019075625436],[-107.01775150652352,47.867028405462094],[-107.01773208620786,47.86704214705517],[-107.01771255226268,47.867051405947784],[-107.01769323266677,47.86706513220027],[-107.01767381232185,47.867078873792025],[-107.0176610607385,47.86709253097776],[-107.01764174111197,47.86710625723151],[-107.01762894586741,47.86711984347985],[-107.01761640860347,47.867137968039785],[-107.01761028212027,47.86715146989075],[-107.01759770119402,47.867169523518896],[-107.01759802914027,47.86717847360239],[-107.0188546109831,47.867401985758676],[-107.01886593521908,47.86735270047792],[-107.0178628114783,47.86699066400854]]]}"
0000000000000000000e,12881,0.39294172528985744,0.4295856852968175,0.37429813483097885,0.4280629120431504,440.246376531,115.602456473,438.312650792739,438.312650792739,438.312650792739,438.312650792739,"{""type"":""Polygon"",""coordinates"":[[[-107.0188386879959,47.86750504098256],[-107.0188282346324,47.86757669408525],[-107.018838142788,47.86766138482886],[-107.01884509634566,47.86767017955047],[-107.0194616522942,47.86748070151193],[-107.0188386879959,47.86750504098256]]]}"
0000000000000000000f,12870,0.3661489475075807,0.37759042429987677,0.3277462061479669,0.48937449000865346,988.077601485,216.226447921,985.8785296870213,985.8785296870213,985.8785296870213,985.8785296870213,"{""type"":""Polygon"",""coordinates"":[[[-107.01759802914027,47.86717847360239],[-107.01759168830186,47.86718750808953],[-107.01758577614217,47.86720547732696],[-107.01757406540442,47.86724589853736],[-107.01757449408255,47.86725483329505],[-107.01756836756343,47.86726833517464],[-107.01883814525904,47.867491623461476],[-107.01885472473792,47.867406468484596],[-107.0188546109831,47.867401985758676],[-107.01759802914027,47.86717847360239]]]}"
